rel_bp	reads_sum	sites_n
-995	82299	136
-985	47732	112
-975	41212	111
-965	70951	120
-955	48106	106
-945	65251	117
-935	84105	134
-925	66974	131
-915	35289	100
-905	51249	109
-895	38096	109
-885	42376	129
-875	65146	134
-865	86841	123
-855	51685	105
-845	45325	122
-835	73944	111
-825	83962	122
-815	88065	147
-805	59164	135
-795	45230	112
-785	54243	115
-775	54960	112
-765	49006	114
-755	36843	105
-745	85450	124
-735	63581	121
-725	52254	120
-715	48284	104
-705	72297	135
-695	91996	131
-685	41003	85
-675	39016	117
-665	49389	104
-655	67982	146
-645	59030	122
-635	45883	100
-625	54089	101
-615	49415	100
-605	45034	106
-595	52051	111
-585	59726	119
-575	58307	118
-565	41713	108
-555	40189	114
-545	39667	101
-535	46156	104
-525	45922	100
-515	51087	125
-505	53674	114
-495	49431	111
-485	56272	100
-475	50463	93
-465	42076	92
-455	52741	108
-445	54379	99
-435	54568	103
-425	41764	97
-415	53692	120
-405	56461	118
-395	44388	125
-385	45596	101
-375	47444	109
-365	52520	118
-355	49858	120
-345	47225	112
-335	40118	97
-325	54374	124
-315	76969	139
-305	48775	111
-295	45579	111
-285	39243	108
-275	59246	95
-265	41016	103
-255	58901	114
-245	74562	124
-235	41764	98
-225	33771	95
-215	72166	134
-205	54366	130
-195	66887	126
-185	43193	129
-175	51680	134
-165	52529	144
-155	55296	148
-145	51308	143
-135	54459	106
-125	57446	111
-115	52849	104
-105	67180	125
-95	48682	111
-85	54908	144
-75	49298	128
-65	63264	140
-55	55389	156
-45	52159	135
-35	67833	156
-25	83677	158
-15	67896	184
-5	41636	132
5	69936	184
15	78770	202
25	84236	191
35	80241	226
45	87460	241
55	79261	210
65	86336	229
75	78213	235
85	69829	255
95	85886	250
105	94655	259
115	97927	248
125	105610	254
135	108466	300
145	158367	312
155	97359	277
165	80626	257
175	104907	272
185	107300	280
195	92616	269
205	108671	263
215	86579	271
225	99264	272
235	107267	284
245	93232	265
255	97428	276
265	91183	236
275	94673	257
285	87184	246
295	102130	235
305	91695	246
315	86353	206
325	69786	185
335	98999	232
345	84735	219
355	100638	215
365	60750	182
375	89025	201
385	79986	176
395	56830	154
405	41070	150
415	55027	174
425	52159	167
435	55995	163
445	67462	148
455	54739	143
465	59810	160
475	54111	131
485	65392	142
495	39217	112
505	54790	129
515	54666	119
525	68265	154
535	75760	158
545	54061	130
555	46318	104
565	55579	131
575	67461	140
585	47517	132
595	72781	123
605	76926	143
615	58695	122
625	47055	134
635	58819	123
645	49844	125
655	41198	98
665	44088	100
675	43685	86
685	51696	112
695	39938	91
705	40450	104
715	35197	98
725	25857	84
735	28913	87
745	50676	108
755	45021	87
765	39956	91
775	51222	102
785	43698	85
795	30873	78
805	45200	80
815	44509	68
825	37503	90
835	40092	86
845	31461	89
855	37697	72
865	20856	65
875	32700	85
885	28131	64
895	31948	84
905	30822	69
915	27772	70
925	26761	55
935	25358	50
945	24006	54
955	28758	68
965	16996	48
975	27323	60
985	28601	58
995	22022	46
1005	1018	7
