rel_bp	reads_sum	sites_n
-995	53572	137
-985	50685	117
-975	49360	122
-965	34968	123
-955	43605	149
-945	42733	124
-935	54590	129
-925	69636	137
-915	66503	150
-905	66542	142
-895	61479	128
-885	59044	159
-875	84673	155
-865	80345	152
-855	55218	149
-845	63231	160
-835	58897	155
-825	71294	166
-815	92628	179
-805	78859	195
-795	74399	221
-785	83787	213
-775	79330	202
-765	55441	173
-755	88164	204
-745	91493	211
-735	68097	201
-725	87270	233
-715	98881	221
-705	89164	217
-695	87482	237
-685	88654	227
-675	131923	273
-665	71014	256
-655	105977	275
-645	120788	280
-635	112171	276
-625	120483	286
-615	109937	278
-605	99866	275
-595	127912	329
-585	109790	277
-575	153138	312
-565	139712	306
-555	144392	309
-545	125610	331
-535	124288	312
-525	132349	331
-515	165797	368
-505	145863	384
-495	129712	383
-485	163327	397
-475	208340	385
-465	184428	400
-455	127853	409
-445	193713	442
-435	223633	434
-425	172224	450
-415	190610	468
-405	221098	469
-395	206083	448
-385	189716	500
-375	208151	504
-365	186230	481
-355	220067	532
-345	264458	517
-335	197870	518
-325	230613	581
-315	212576	554
-305	263016	588
-295	212168	548
-285	237999	596
-275	252894	591
-265	251872	601
-255	209178	611
-245	259541	611
-235	235770	635
-225	272417	671
-215	246683	658
-205	258186	646
-195	225503	658
-185	281257	693
-175	248083	706
-165	237606	618
-155	205452	563
-145	192144	547
-135	234941	582
-125	244794	594
-115	251410	628
-105	205496	495
-95	173367	481
-85	163563	427
-75	163172	327
-65	108527	312
-55	92666	284
-45	66220	236
-35	63769	188
-25	65577	185
-15	47632	175
-5	36023	115
5	46147	170
15	46520	164
25	44129	185
35	54451	175
45	50044	185
55	55632	199
65	58057	197
75	59701	197
85	59378	173
95	71750	220
105	59290	187
115	64694	194
125	59845	177
135	64936	188
145	52434	160
155	66705	171
165	54300	180
175	59594	171
185	77457	171
195	64175	146
205	59092	177
215	58518	153
225	52010	161
235	52514	153
245	47240	160
255	58422	159
265	52145	153
275	45392	127
285	42861	139
295	36586	135
305	60222	140
315	49302	135
325	46296	122
335	42350	109
345	47033	120
355	48121	107
365	56591	149
375	59432	152
385	38325	137
395	47050	129
405	52853	142
415	39572	121
425	47906	121
435	57809	147
445	37292	120
455	37870	103
465	57044	110
475	31053	110
485	30849	113
495	40932	129
505	36314	104
515	45662	98
525	35184	102
535	31886	126
545	29024	115
555	42188	115
565	37570	117
575	42128	129
585	37238	127
595	31253	110
605	33659	100
615	26333	103
625	37134	112
635	34523	115
645	35393	120
655	37423	102
665	33961	90
675	45012	107
685	39572	103
695	42269	104
705	49202	98
715	48025	124
725	38231	106
735	39049	103
745	38973	111
755	33973	104
765	29067	115
775	25664	82
785	33775	77
795	21444	88
805	28691	77
815	25949	85
825	30132	84
835	32948	85
845	23341	93
855	28695	83
865	19006	90
875	32113	88
885	29182	85
895	23125	73
905	16445	76
915	30722	82
925	14911	56
935	17731	71
945	29676	88
955	27611	86
965	29861	81
975	20013	69
985	20622	78
995	25631	86
1005	7467	14
