rel_bp	reads_sum	sites_n
-995	3656	9
-985	1	1
-975	574	4
-965	104	2
-955	2758	3
-945	9166	10
-935	6680	5
-925	4101	5
-915	4455	6
-905	1835	2
-895	753	3
-885	1725	6
-875	677	3
-865	1837	3
-855	2479	4
-845	1771	4
-835	2002	9
-825	7308	6
-815	4216	6
-805	464	2
-795	3561	6
-785	129	3
-775	3479	7
-765	1158	2
-755	3759	7
-745	2749	5
-735	19	4
-725	684	6
-715	3338	4
-705	251	3
-695	1880	4
-685	1936	2
-675	5174	7
-665	7001	5
-655	3273	8
-645	4753	7
-635	295	4
-625	2472	3
-615	2878	6
-605	2479	5
-595	3925	4
-585	11242	11
-575	6206	13
-565	1556	8
-555	5340	8
-545	1039	2
-535	3924	6
-525	3096	7
-515	2094	9
-505	5601	8
-495	2059	9
-485	7667	13
-475	11749	14
-465	4566	11
-455	3597	5
-445	3126	9
-435	1597	6
-425	1347	6
-415	4016	7
-405	2968	9
-395	5148	10
-385	4032	10
-375	2518	6
-365	4742	11
-355	2666	10
-345	8435	14
-335	11480	12
-325	6502	16
-315	1410	7
-305	6806	8
-295	4976	13
-285	3260	11
-275	10684	15
-265	3247	6
-255	2546	10
-245	7799	16
-235	2290	7
-225	4552	9
-215	9051	10
-205	3681	8
-195	2874	9
-185	10221	15
-175	11326	17
-165	18822	26
-155	22559	32
-145	15019	24
-135	15251	36
-125	17649	38
-115	14681	35
-105	16617	16
-95	2624	7
-85	529	3
-75	1261	1
-65	1976	2
-55	2973	5
-45	1879	5
-35	4153	6
-25	2119	4
-15	3470	12
-5	2077	8
5	7410	23
15	3977	11
25	7948	14
35	2547	8
45	388	4
55	5160	14
65	14223	29
75	15415	39
85	27319	44
95	25900	47
105	12828	31
115	9813	24
125	13396	35
135	22927	31
145	11912	24
155	23447	27
165	8624	18
175	5547	16
185	8577	14
195	3118	10
205	1313	7
215	11465	15
225	12066	23
235	11278	12
245	6425	14
255	7051	16
265	9672	15
275	7178	14
285	13510	19
295	7494	11
305	5236	10
315	2772	9
325	2664	9
335	15622	11
345	15398	14
355	6407	11
365	3465	9
375	7768	11
385	11299	10
395	14690	8
405	17805	19
415	6080	8
425	13121	14
435	5467	8
445	4277	5
455	7645	14
465	7420	11
475	5241	11
485	3872	7
495	4301	7
505	3493	5
515	5813	13
525	3237	4
535	6717	5
545	2816	6
555	7484	8
565	837	2
575	479	3
585	4209	2
595	6998	4
605	1719	6
615	3020	9
625	1805	4
635	1468	5
645	1158	4
655	2672	7
665	2154	5
675	5478	9
685	4849	7
695	5417	7
705	215	3
715	3	2
725	736	4
735	630	5
745	1755	5
755	1351	3
765	1349	2
775	694	2
785	1132	5
795	3181	9
805	2996	4
815	2244	5
825	2351	3
835	110	1
845	8166	11
855	4823	11
865	1298	2
875	2772	5
885	1361	5
895	1314	5
905	3194	4
915	2695	4
925	3780	7
935	1162	3
945	4587	5
955	9498	9
965	5761	6
975	6411	5
985	6665	9
995	3490	6
