bin_start_bp	mean_reads_across_arms	n_arms
0	4669.23	22
1000	7222.5	22
2000	12091.3	22
3000	4308.45	22
4000	11524.4	22
5000	9102.77	22
6000	6528.05	22
7000	6198.09	22
8000	3206.77	22
9000	6174.09	22
10000	5614.41	22
11000	3771.77	22
12000	3809.73	22
13000	6808.41	22
14000	3628.45	22
15000	3589.95	22
16000	5319.23	22
17000	5167.91	22
18000	6335.5	22
19000	2401.09	22
20000	4124.36	22
21000	6705.82	22
22000	5495	22
23000	8975.73	22
24000	5314.95	22
25000	2867.55	22
26000	6092.23	22
27000	3333.27	22
28000	6524.09	22
29000	3963.14	22
30000	6962.95	22
31000	5014.91	22
32000	3982.32	22
33000	2484.41	22
34000	4138.36	22
35000	3309.32	22
36000	3731.95	22
37000	4516.45	22
38000	1675.5	22
39000	2002.95	22
40000	4276.55	22
41000	3409	22
42000	5939.32	22
43000	3984.68	22
44000	2457.5	22
45000	5242.18	22
46000	1668.09	22
47000	2051.05	22
48000	3317.32	22
49000	3746.95	22
50000	4751.68	22
51000	2237.36	22
52000	2821.05	22
53000	5682.55	22
54000	2859.95	22
55000	3153.73	22
56000	3071.36	22
57000	2239.82	22
58000	2609.55	22
59000	3396.64	22
60000	2655.5	22
61000	2952.91	22
62000	4501.27	22
63000	4415.45	22
64000	3648.09	22
65000	2634.45	22
66000	4432.73	22
67000	4017.18	22
68000	4210.05	22
69000	3227.18	22
70000	1851.36	22
71000	5047.32	22
72000	4412.09	22
73000	1517.59	22
74000	1581.59	22
75000	1606.36	22
76000	1518.23	22
77000	816.909	22
78000	1414.23	22
79000	2399.18	22
80000	3175.05	22
81000	7861.45	22
82000	6850.41	22
83000	4611.59	22
84000	3442.73	22
85000	4553.18	22
86000	3710.55	22
87000	1743.5	22
88000	679.318	22
89000	1583.91	22
90000	1412.32	22
91000	1894.41	22
92000	1485	22
93000	1841.91	22
94000	1731.27	22
95000	439.545	22
96000	1441.86	22
97000	1419.68	22
98000	2980.18	22
99000	5156.36	22
100000	2914.27	22
101000	2707.27	22
102000	1487.27	22
103000	1376.59	22
104000	2596.09	22
105000	2895	22
106000	795.727	22
107000	917.773	22
108000	1793.36	22
109000	3619.64	22
110000	2285.77	22
111000	1916.32	22
112000	957.818	22
113000	2741.95	22
114000	2423.5	22
115000	647.864	22
116000	2413.23	22
117000	2592.05	22
118000	2199.77	22
119000	1734.59	22
120000	1308.23	22
121000	1290.36	22
122000	1398.41	22
123000	1203.55	22
124000	752.909	22
125000	2886.64	22
126000	639.455	22
127000	2596.36	22
128000	3043.45	22
129000	1872.09	22
130000	1178.59	22
131000	1139.59	22
132000	2075.95	22
133000	1464.09	22
134000	1021.73	22
135000	758.909	22
136000	1234.59	22
137000	2455.68	22
138000	970	22
139000	443.409	22
140000	2187.14	22
141000	848.636	22
142000	1016.86	22
143000	1360.45	22
144000	972.5	22
145000	908.136	22
146000	1191.73	22
147000	965.636	22
148000	1314.09	22
149000	1716.14	22
150000	3286.45	22
151000	1275.23	22
152000	1542.18	22
153000	1175.91	22
154000	2630.27	22
155000	1520.95	22
156000	1242.23	22
157000	2046	22
158000	1363.32	22
159000	826.545	22
160000	521.864	22
161000	1009.86	22
162000	1445.82	22
163000	1814.05	22
164000	1867.73	22
165000	1116.23	22
166000	1794.36	22
167000	2618.86	22
168000	1606.91	22
169000	2433.5	22
170000	2425.64	22
171000	1058.32	22
172000	1856.05	22
173000	1509.36	22
174000	3006.05	22
175000	4232.23	22
176000	2098.09	22
177000	1205.05	22
178000	1285.32	22
179000	2755.64	22
180000	2266.77	22
181000	1396.23	22
182000	2185.77	22
183000	1108.32	22
184000	2772.18	22
185000	874.545	22
186000	1816.45	22
187000	1293.18	22
188000	943.455	22
189000	2519.23	22
190000	1904.55	22
191000	1162.45	22
192000	1189.55	22
193000	933.136	22
194000	1378.05	22
195000	1748.45	22
196000	1318.91	22
197000	1098.05	22
198000	1543	22
199000	994	22
200000	1294.32	22
201000	1665.18	22
202000	1408.18	22
203000	3222.32	22
204000	2529.09	22
205000	1301.05	22
206000	1651.68	22
207000	834	22
208000	1803.27	22
209000	1088.73	22
210000	895.636	22
211000	1865.27	22
212000	1349.05	22
213000	1414.36	22
214000	1368.14	22
215000	3007.82	22
216000	1067.55	22
217000	581.727	22
218000	1385.27	22
219000	549.091	22
220000	2302	22
221000	1561.18	22
222000	409.182	22
223000	1518.14	22
224000	607.818	22
225000	687.818	22
226000	1523.27	22
227000	463.136	22
228000	194.955	22
229000	748.909	22
230000	1202.95	22
231000	458.318	22
232000	1495	22
233000	2814.59	22
234000	548.909	22
235000	632.227	22
236000	2897.36	22
237000	960.909	22
238000	254.5	22
239000	1062	22
240000	1978.36	22
241000	1247.5	22
242000	683.409	22
243000	50.7727	22
244000	208.773	22
245000	724.409	22
246000	789.727	22
247000	1461.09	22
248000	2193.55	22
249000	722.636	22
250000	792.727	22
251000	1024.18	22
252000	1041.82	22
253000	1016.41	22
254000	1499.95	22
255000	504.318	22
256000	947.727	22
257000	608.136	22
258000	1896.77	22
259000	2435	22
260000	454.545	22
261000	603.5	22
262000	211	22
263000	597.455	22
264000	1013.36	22
265000	1466.32	22
266000	1442.68	22
267000	953.182	22
268000	727.909	22
269000	595.909	22
270000	478.727	22
271000	578.455	22
272000	252.273	22
273000	547.864	22
274000	411	22
275000	527.727	22
276000	273.773	22
277000	541.318	22
278000	1210.64	22
279000	685.909	22
280000	883.818	22
281000	775.409	22
282000	289.545	22
283000	377.182	22
284000	650.818	22
285000	143.818	22
286000	286.318	22
287000	3663.95	22
288000	348.864	22
289000	607.455	22
290000	747.227	22
291000	950.591	22
292000	762.273	22
293000	449.636	22
294000	289.636	22
295000	455.364	22
296000	389.182	22
297000	400.091	22
298000	227.409	22
299000	490.682	22
300000	1063.32	22
301000	925.636	22
302000	798.636	22
303000	1251.09	22
304000	628.591	22
305000	711.045	22
306000	1077.5	22
307000	1082.82	22
308000	1122.55	22
309000	1433.82	22
310000	458.773	22
311000	892.864	22
312000	780.955	22
313000	1281.77	22
314000	481.364	22
315000	1943.59	22
316000	1393.36	22
317000	1572.32	22
318000	1731.59	22
319000	1334.23	22
320000	717.545	22
321000	130.818	22
322000	1284.77	22
323000	169.955	22
324000	223.455	22
325000	759.409	22
326000	270.773	22
327000	434.409	22
328000	950.864	22
329000	1386.36	22
330000	763.409	22
331000	503.636	22
332000	812.5	22
333000	613.5	22
334000	453.5	22
335000	333.409	22
336000	494.091	22
337000	342.955	22
338000	1314.45	22
339000	1192.32	22
340000	385.273	22
341000	435.045	22
342000	402	22
343000	959.636	22
344000	322.955	22
345000	96.0909	22
346000	639.455	22
347000	1109.64	22
348000	775.364	22
349000	951.5	22
350000	685.545	22
351000	2498.27	22
