sample,total_records,primary_records,primary_mapped,primary_unmapped,percent_mapped,primary_duplicates,percent_duplicates,mapq_ge_threshold,percent_mapq_ge_threshold,avg_mapq_mapped_primary,alignment_path
S1a_R1,8868205,8868205,8041992,826213,90.683,0,0.0,7665095,95.313,39.85,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/S1a_R1/S1a_R1.sam
S1b_R1,9011547,9011547,8095183,916364,89.831,0,0.0,7687069,94.959,39.7,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/S1b_R1/S1b_R1.sam
S1c_R1,9845338,9845338,8886857,958481,90.265,0,0.0,8457536,95.169,39.79,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/S1c_R1/S1c_R1.sam
yH298-H2O2-treated-facs-pool1,24890305,24890305,21544116,3346189,86.556,0,0.0,19547013,90.73,37.75,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1.sam
yH298-H2O2-treated-facs-pool2,23078175,23078175,20620599,2457576,89.351,0,0.0,18790684,91.126,37.93,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/yH298-H2O2-treated-facs-pool2/yH298-H2O2-treated-facs-pool2.sam
yH298-parent-pool1,28449916,28449916,25663870,2786046,90.207,0,0.0,24416746,95.141,39.78,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/yH298-parent-pool1/yH298-parent-pool1.sam
yH298-parent-pool2,42752505,42752505,36231656,6520849,84.747,0,0.0,33901264,93.568,39.04,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/yH298-parent-pool2/yH298-parent-pool2.sam
yH299-H2O2-treated-facs-pool3,25776101,25776101,23901119,1874982,92.726,0,0.0,22233874,93.024,38.79,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/yH299-H2O2-treated-facs-pool3/yH299-H2O2-treated-facs-pool3.sam
yH299-H2O2-treated-facs-pool4,25648565,25648565,22762799,2885766,88.749,0,0.0,20766254,91.229,37.97,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/yH299-H2O2-treated-facs-pool4/yH299-H2O2-treated-facs-pool4.sam
yH299-parent-pool3,30610920,30610920,27759864,2851056,90.686,0,0.0,25534450,91.983,38.36,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/yH299-parent-pool3/yH299-parent-pool3.sam
yH299-parent-pool4,26238059,26238059,19301460,6936599,73.563,0,0.0,17785287,92.145,38.39,/old_Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/mapfastq/yH299-parent-pool4/yH299-parent-pool4.sam
