norm_target,sample,input_path,total_reads,unique_sites,jackpot_top_frac,jackpot_frac_reads,n_jackpot_sites,midlc_est,depth_ratio_R_over_midlc,per_gene_top_site_removed,per_gene_sites_removed,normalize_target,reads_target,thinning_p,reads_after_norm,normalized_written,normalized_output,midlc_points,midlc_max_sampled,seqbias_done,centromere_done
T020,yH298-parent-pool1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,22330212,60015,0.001,0.0364482,61,102400,218.068,1,3528,20.0,2048000,0.0917143,2049082,1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/sample_normalization/T020/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,10,22330212,1,0
T020,yH298-parent-pool2,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,30969301,86966,0.001,0.0439386,87,409600,75.6086,1,4001,20.0,8192000,0.26452,8196754,1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/sample_normalization/T020/yH298-parent-pool2/yH298-parent-pool2_normalized_hits.txt,11,30969301,1,0
T020,yH299-parent-pool3,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH299-parent-pool3/yH299-parent-pool3_hits.txt,22573394,40862,0.001,0.0333501,41,102400,220.443,1,2971,20.0,2048000,0.0907263,2047521,1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/sample_normalization/T020/yH299-parent-pool3/yH299-parent-pool3_normalized_hits.txt,10,22573394,1,0
T020,yH299-parent-pool4,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH299-parent-pool4/yH299-parent-pool4_hits.txt,15373276,24023,0.001,0.0268068,25,102400,150.13,1,2370,20.0,2048000,0.133218,2049279,1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/sample_normalization/T020/yH299-parent-pool4/yH299-parent-pool4_normalized_hits.txt,10,15373276,1,0
T030,yH298-parent-pool1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,22330212,60015,0.001,0.0364482,61,102400,218.068,1,3528,30.0,3072000,0.137571,3072679,1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/sample_normalization/T030/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,10,22330212,1,0
T030,yH298-parent-pool2,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,30969301,86966,0.001,0.0439386,87,409600,75.6086,1,4001,30.0,12288000,0.39678,12286190,1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/sample_normalization/T030/yH298-parent-pool2/yH298-parent-pool2_normalized_hits.txt,11,30969301,1,0
T030,yH299-parent-pool3,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH299-parent-pool3/yH299-parent-pool3_hits.txt,22573394,40862,0.001,0.0333501,41,102400,220.443,1,2971,30.0,3072000,0.136089,3069446,1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/sample_normalization/T030/yH299-parent-pool3/yH299-parent-pool3_normalized_hits.txt,10,22573394,1,0
T030,yH299-parent-pool4,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH299-parent-pool4/yH299-parent-pool4_hits.txt,15373276,24023,0.001,0.0268068,25,102400,150.13,1,2370,30.0,3072000,0.199827,3071546,1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/sample_normalization/T030/yH299-parent-pool4/yH299-parent-pool4_normalized_hits.txt,10,15373276,1,0
T040,yH298-parent-pool1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,22330212,60015,0.001,0.0364482,61,102400,218.068,1,3528,40.0,4096000,0.183429,4097088,1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/sample_normalization/T040/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,10,22330212,1,0
T040,yH298-parent-pool2,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,30969301,86966,0.001,0.0439386,87,409600,75.6086,1,4001,40.0,16384000,0.52904,16390042,1,/Users/jayelazuno/workspace/ytab/output/projects/H2O2_screen_v1/sample_normalization/T040/yH298-parent-pool2/yH298-parent-pool2_normalized_hits.txt,11,30969301,1,0
