Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048230.1-0,3,1209
CP048230.1-1,1,1229
CP048230.1-2,2,1220
CP048230.1-3,27,596
CP048230.1-4,25,642
CP048230.1-5,78,97
CP048230.1-6,77,104
CP048230.1-7,160,12
CP048230.1-8,65,150
CP048230.1-9,139,21
CP048230.1-10,38,406
CP048230.1-11,22,729
CP048230.1-12,136,24
CP048230.1-13,53,236
CP048230.1-14,130,28
CP048230.1-15,59,188
CP048230.1-16,29,548
CP048230.1-17,40,375
CP048230.1-18,103,50
CP048230.1-19,63,166
CP048230.1-20,50,259
CP048230.1-21,9,1088
CP048230.1-22,4,1190
CP048230.1-23,56,218
CP048230.1-24,16,888
CP048230.1-25,50,260
CP048230.1-26,68,135
CP048230.1-27,40,376
CP048230.1-28,15,926
CP048230.1-29,11,1035
CP048230.1-30,4,1191
CP048230.1-31,16,889
CP048230.1-32,33,482
CP048230.1-33,33,483
CP048230.1-34,37,420
CP048230.1-35,46,303
CP048230.1-36,18,831
CP048230.1-37,58,197
CP048230.1-38,15,927
CP048230.1-39,11,1036
CP048230.1-40,23,697
CP048230.1-41,39,389
CP048230.1-42,18,832
CP048230.1-43,47,295
CP048230.1-44,68,136
CP048230.1-45,17,860
CP048230.1-46,23,698
CP048230.1-47,40,377
CP048230.1-48,46,304
CP048230.1-49,6,1158
CP048230.1-50,2,1221
CP048231.1-0,3,1210
CP048231.1-1,24,664
CP048231.1-2,20,788
CP048231.1-3,39,390
CP048231.1-4,49,274
CP048231.1-5,52,242
CP048231.1-6,31,513
CP048231.1-7,51,251
CP048231.1-8,30,528
CP048231.1-9,78,98
CP048231.1-10,24,665
CP048231.1-11,22,730
CP048231.1-12,14,957
CP048231.1-13,14,958
CP048231.1-14,23,699
CP048231.1-15,24,666
CP048231.1-16,10,1066
CP048231.1-17,20,789
CP048231.1-18,16,890
CP048231.1-19,22,731
CP048231.1-20,26,613
CP048231.1-21,3,1211
CP048231.1-22,29,549
CP048231.1-23,95,61
CP048231.1-24,37,421
CP048231.1-25,42,344
CP048231.1-26,49,275
CP048231.1-27,76,106
CP048231.1-28,88,70
CP048231.1-29,116,41
CP048231.1-30,101,53
CP048231.1-31,28,571
CP048231.1-32,22,732
CP048231.1-33,17,861
CP048231.1-34,33,484
CP048231.1-35,136,25
CP048231.1-36,20,790
CP048231.1-37,110,45
CP048231.1-38,153,17
CP048231.1-39,49,276
CP048231.1-40,35,446
CP048231.1-41,76,107
CP048231.1-42,76,108
CP048231.1-43,82,89
CP048231.1-44,183,8
CP048231.1-45,129,30
CP048231.1-46,99,54
CP048231.1-47,130,29
CP048231.1-48,145,19
CP048231.1-49,8,1119
CP048231.1-50,1,1230
CP048231.1-51,6,1159
CP048232.1-0,0,1248
CP048232.1-1,9,1089
CP048232.1-2,17,862
CP048232.1-3,26,614
CP048232.1-4,30,529
CP048232.1-5,43,336
CP048232.1-6,22,733
CP048232.1-7,32,498
CP048232.1-8,25,643
CP048232.1-9,10,1067
CP048232.1-10,31,514
CP048232.1-11,25,644
CP048232.1-12,26,615
CP048232.1-13,17,863
CP048232.1-14,24,667
CP048232.1-15,24,668
CP048232.1-16,69,132
CP048232.1-17,12,1008
CP048232.1-18,59,189
CP048232.1-19,24,669
CP048232.1-20,16,891
CP048232.1-21,26,616
CP048232.1-22,32,499
CP048232.1-23,59,190
CP048232.1-24,72,126
CP048232.1-25,13,979
CP048232.1-26,23,700
CP048232.1-27,47,296
CP048232.1-28,44,320
CP048232.1-29,28,572
CP048232.1-30,24,670
CP048232.1-31,83,86
CP048232.1-32,55,222
CP048232.1-33,33,485
CP048232.1-34,60,183
CP048232.1-35,48,288
CP048232.1-36,81,92
CP048232.1-37,102,51
CP048232.1-38,79,96
CP048232.1-39,88,71
CP048232.1-40,124,33
CP048232.1-41,127,32
CP048232.1-42,138,23
CP048232.1-43,262,2
CP048232.1-44,108,46
CP048232.1-45,121,34
CP048232.1-46,55,223
CP048232.1-47,92,65
CP048232.1-48,37,422
CP048232.1-49,39,391
CP048232.1-50,35,447
CP048232.1-51,25,645
CP048232.1-52,28,573
CP048232.1-53,7,1136
CP048232.1-54,1,1231
CP048233.1-0,1,1232
CP048233.1-1,16,892
CP048233.1-2,121,35
CP048233.1-3,37,423
CP048233.1-4,17,864
CP048233.1-5,49,277
CP048233.1-6,23,701
CP048233.1-7,36,434
CP048233.1-8,40,378
CP048233.1-9,92,66
CP048233.1-10,71,128
CP048233.1-11,3,1212
CP048233.1-12,40,379
CP048233.1-13,32,500
CP048233.1-14,23,702
CP048233.1-15,11,1037
CP048233.1-16,42,345
CP048233.1-17,6,1160
CP048233.1-18,69,133
CP048233.1-19,15,928
CP048233.1-20,13,980
CP048233.1-21,29,550
CP048233.1-22,13,981
CP048233.1-23,5,1174
CP048233.1-24,57,206
CP048233.1-25,19,813
CP048233.1-26,13,982
CP048233.1-27,10,1068
CP048233.1-28,1,1233
CP048233.1-29,16,893
CP048233.1-30,27,597
CP048233.1-31,15,929
CP048233.1-32,4,1192
CP048233.1-33,22,734
CP048233.1-34,15,930
CP048233.1-35,19,814
CP048233.1-36,14,959
CP048233.1-37,15,931
CP048233.1-38,28,574
CP048233.1-39,23,703
CP048233.1-40,29,551
CP048233.1-41,13,983
CP048233.1-42,34,466
CP048233.1-43,26,617
CP048233.1-44,36,435
CP048233.1-45,21,758
CP048233.1-46,18,833
CP048233.1-47,56,219
CP048233.1-48,18,834
CP048233.1-49,51,252
CP048233.1-50,33,486
CP048233.1-51,31,515
CP048233.1-52,13,984
CP048233.1-53,87,74
CP048233.1-54,67,140
CP048233.1-55,112,43
CP048233.1-56,42,346
CP048233.1-57,87,75
CP048233.1-58,83,87
CP048233.1-59,62,174
CP048233.1-60,121,36
CP048233.1-61,69,134
CP048233.1-62,57,207
CP048233.1-63,49,278
CP048233.1-64,163,10
CP048233.1-65,22,735
CP048233.1-66,104,49
CP048233.1-67,37,424
CP048233.1-68,86,80
CP048233.1-69,4,1193
CP048233.1-70,1,1234
CP048234.1-0,1,1235
CP048234.1-1,7,1137
CP048234.1-2,0,1249
CP048234.1-3,3,1213
CP048234.1-4,14,960
CP048234.1-5,15,932
CP048234.1-6,11,1038
CP048234.1-7,16,894
CP048234.1-8,21,759
CP048234.1-9,29,552
CP048234.1-10,14,961
CP048234.1-11,15,933
CP048234.1-12,50,261
CP048234.1-13,54,230
CP048234.1-14,41,356
