Bin index,yH-parent-combined-T060,yH-parent-combined-T060 rank
CP048230.1-0,5,1224
CP048230.1-1,1,1249
CP048230.1-2,5,1225
CP048230.1-3,68,638
CP048230.1-4,77,567
CP048230.1-5,177,129
CP048230.1-6,221,71
CP048230.1-7,341,20
CP048230.1-8,165,154
CP048230.1-9,366,16
CP048230.1-10,125,274
CP048230.1-11,51,817
CP048230.1-12,309,31
CP048230.1-13,127,265
CP048230.1-14,295,34
CP048230.1-15,140,225
CP048230.1-16,76,577
CP048230.1-17,102,393
CP048230.1-18,258,47
CP048230.1-19,150,188
CP048230.1-20,138,230
CP048230.1-21,24,1108
CP048230.1-22,12,1188
CP048230.1-23,121,297
CP048230.1-24,31,1036
CP048230.1-25,145,208
CP048230.1-26,154,181
CP048230.1-27,97,427
CP048230.1-28,54,796
CP048230.1-29,33,1014
CP048230.1-30,7,1217
CP048230.1-31,29,1056
CP048230.1-32,85,501
CP048230.1-33,100,409
CP048230.1-34,106,373
CP048230.1-35,113,337
CP048230.1-36,40,935
CP048230.1-37,145,209
CP048230.1-38,59,737
CP048230.1-39,47,862
CP048230.1-40,52,811
CP048230.1-41,96,436
CP048230.1-42,60,725
CP048230.1-43,108,362
CP048230.1-44,160,171
CP048230.1-45,59,738
CP048230.1-46,77,568
CP048230.1-47,102,394
CP048230.1-48,112,341
CP048230.1-49,5,1226
CP048230.1-50,5,1227
CP048231.1-0,2,1239
CP048231.1-1,66,658
CP048231.1-2,62,705
CP048231.1-3,90,470
CP048231.1-4,106,374
CP048231.1-5,126,269
CP048231.1-6,83,510
CP048231.1-7,123,284
CP048231.1-8,79,542
CP048231.1-9,203,87
CP048231.1-10,68,639
CP048231.1-11,60,726
CP048231.1-12,29,1057
CP048231.1-13,37,967
CP048231.1-14,48,848
CP048231.1-15,52,812
CP048231.1-16,36,978
CP048231.1-17,48,849
CP048231.1-18,59,739
CP048231.1-19,60,727
CP048231.1-20,58,750
CP048231.1-21,12,1189
CP048231.1-22,85,502
CP048231.1-23,223,68
CP048231.1-24,78,554
CP048231.1-25,118,315
CP048231.1-26,122,290
CP048231.1-27,176,131
CP048231.1-28,211,78
CP048231.1-29,287,35
CP048231.1-30,219,73
CP048231.1-31,80,533
CP048231.1-32,65,676
CP048231.1-33,62,706
CP048231.1-34,114,334
CP048231.1-35,306,33
CP048231.1-36,74,596
CP048231.1-37,221,72
CP048231.1-38,394,13
CP048231.1-39,147,200
CP048231.1-40,94,445
CP048231.1-41,201,91
CP048231.1-42,211,79
CP048231.1-43,199,98
CP048231.1-44,400,11
CP048231.1-45,337,22
CP048231.1-46,266,43
CP048231.1-47,359,18
CP048231.1-48,331,24
CP048231.1-49,26,1089
CP048231.1-50,1,1250
CP048231.1-51,12,1190
CP048232.1-0,3,1234
CP048232.1-1,35,992
CP048232.1-2,49,838
CP048232.1-3,77,569
CP048232.1-4,64,689
CP048232.1-5,97,428
CP048232.1-6,78,555
CP048232.1-7,75,586
CP048232.1-8,74,597
CP048232.1-9,27,1080
CP048232.1-10,77,570
CP048232.1-11,64,690
CP048232.1-12,42,907
CP048232.1-13,55,784
CP048232.1-14,67,650
CP048232.1-15,57,765
CP048232.1-16,170,139
CP048232.1-17,30,1047
CP048232.1-18,136,239
CP048232.1-19,80,534
CP048232.1-20,30,1048
CP048232.1-21,69,628
CP048232.1-22,64,691
CP048232.1-23,146,205
CP048232.1-24,211,80
CP048232.1-25,40,936
CP048232.1-26,63,695
CP048232.1-27,99,415
CP048232.1-28,111,346
CP048232.1-29,78,556
CP048232.1-30,63,696
CP048232.1-31,193,103
CP048232.1-32,125,275
CP048232.1-33,81,523
CP048232.1-34,157,176
CP048232.1-35,102,395
CP048232.1-36,210,81
CP048232.1-37,247,53
CP048232.1-38,200,95
CP048232.1-39,252,50
CP048232.1-40,328,25
CP048232.1-41,349,19
CP048232.1-42,323,27
CP048232.1-43,506,2
CP048232.1-44,287,36
CP048232.1-45,284,39
CP048232.1-46,126,270
CP048232.1-47,240,58
CP048232.1-48,112,342
CP048232.1-49,86,493
CP048232.1-50,119,307
CP048232.1-51,59,740
CP048232.1-52,68,640
CP048232.1-53,31,1037
CP048232.1-54,1,1251
CP048232.1-55,1,1252
CP048233.1-0,2,1240
CP048233.1-1,41,926
CP048233.1-2,167,145
CP048233.1-3,71,620
CP048233.1-4,28,1069
CP048233.1-5,121,298
CP048233.1-6,69,629
CP048233.1-7,99,416
CP048233.1-8,115,328
CP048233.1-9,229,63
CP048233.1-10,171,136
CP048233.1-11,12,1191
CP048233.1-12,116,323
CP048233.1-13,77,571
CP048233.1-14,65,677
CP048233.1-15,31,1038
CP048233.1-16,87,483
CP048233.1-17,16,1166
CP048233.1-18,155,179
CP048233.1-19,51,818
CP048233.1-20,29,1058
CP048233.1-21,58,751
CP048233.1-22,29,1059
CP048233.1-23,21,1131
CP048233.1-24,105,378
CP048233.1-25,36,979
CP048233.1-26,33,1015
CP048233.1-27,28,1070
CP048233.1-28,2,1241
CP048233.1-29,26,1090
CP048233.1-30,65,678
CP048233.1-31,40,937
CP048233.1-32,10,1205
CP048233.1-33,50,829
CP048233.1-34,26,1091
CP048233.1-35,47,863
CP048233.1-36,31,1039
CP048233.1-37,31,1040
CP048233.1-38,86,494
CP048233.1-39,77,572
CP048233.1-40,68,641
CP048233.1-41,33,1016
CP048233.1-42,73,608
CP048233.1-43,70,625
CP048233.1-44,79,543
CP048233.1-45,61,717
CP048233.1-46,50,830
CP048233.1-47,115,329
CP048233.1-48,48,850
CP048233.1-49,141,221
CP048233.1-50,104,385
CP048233.1-51,73,609
CP048233.1-52,40,938
CP048233.1-53,197,101
CP048233.1-54,148,198
CP048233.1-55,250,51
CP048233.1-56,123,285
CP048233.1-57,203,88
CP048233.1-58,192,106
CP048233.1-59,212,76
CP048233.1-60,272,41
CP048233.1-61,163,160
CP048233.1-62,167,146
CP048233.1-63,141,222
CP048233.1-64,334,23
CP048233.1-65,78,557
CP048233.1-66,242,57
CP048233.1-67,96,437
CP048233.1-68,201,92
CP048233.1-69,9,1208
CP048233.1-70,4,1228
CP048234.1-0,2,1242
CP048234.1-1,18,1153
CP048234.1-2,2,1243
CP048234.1-3,4,1229
CP048234.1-4,40,939
CP048234.1-5,43,895
CP048234.1-6,40,940
CP048234.1-7,40,941
CP048234.1-8,63,697
CP048234.1-9,62,707
CP048234.1-10,35,993
CP048234.1-11,44,889
CP048234.1-12,148,199
CP048234.1-13,122,291
CP048234.1-14,124,282
CP048234.1-15,65,679
CP048234.1-16,49,839
CP048234.1-17,66,659
CP048234.1-18,66,660
CP048234.1-19,161,168
CP048234.1-20,183,121
CP048234.1-21,142,218
CP048234.1-22,199,99
CP048234.1-23,465,5
CP048234.1-24,186,115
CP048234.1-25,225,66
CP048234.1-26,286,37
CP048234.1-27,180,126
CP048234.1-28,155,180
CP048234.1-29,150,189
CP048234.1-30,189,110
CP048234.1-31,234,61
CP048234.1-32,139,227
CP048234.1-33,130,256
CP048234.1-34,39,955
CP048234.1-35,50,831
CP048234.1-36,199,100
CP048234.1-37,108,363
CP048234.1-38,84,506
CP048234.1-39,186,116
CP048234.1-40,44,890
CP048234.1-41,99,417
CP048234.1-42,55,785
CP048234.1-43,163,161
CP048234.1-44,214,75
CP048234.1-45,87,484
CP048234.1-46,122,292
CP048234.1-47,99,418
CP048234.1-48,57,766
CP048234.1-49,162,166
CP048234.1-50,145,210
CP048234.1-51,21,1132
CP048234.1-52,98,423
CP048234.1-53,67,651
CP048234.1-54,21,1133
CP048234.1-55,42,908
CP048234.1-56,105,379
CP048234.1-57,163,162
CP048234.1-58,129,261
CP048234.1-59,63,698
CP048234.1-60,25,1101
CP048234.1-61,102,396
CP048234.1-62,188,112
CP048234.1-63,101,404
CP048234.1-64,101,405
CP048234.1-65,74,598
CP048234.1-66,104,386
CP048234.1-67,42,909
CP048234.1-68,8,1214
CP048234.1-69,0,1257
CP048234.1-70,4,1230
CP048235.1-0,11,1198
CP048235.1-1,0,1258
CP048235.1-2,9,1209
CP048235.1-3,126,271
CP048235.1-4,165,155
CP048235.1-5,210,82
CP048235.1-6,13,1183
CP048235.1-7,144,213
CP048235.1-8,218,74
CP048235.1-9,67,652
CP048235.1-10,90,471
CP048235.1-11,57,767
CP048235.1-12,74,599
CP048235.1-13,62,708
CP048235.1-14,245,54
CP048235.1-15,107,368
CP048235.1-16,321,28
CP048235.1-17,43,896
CP048235.1-18,163,163
CP048235.1-19,160,172
CP048235.1-20,200,96
CP048235.1-21,57,768
CP048235.1-22,97,429
CP048235.1-23,222,69
CP048235.1-24,480,3
CP048235.1-25,237,59
CP048235.1-26,105,380
CP048235.1-27,178,128
CP048235.1-28,66,661
CP048235.1-29,93,453
CP048235.1-30,196,102
CP048235.1-31,65,680
CP048235.1-32,51,819
CP048235.1-33,75,587
CP048235.1-34,126,272
CP048235.1-35,113,338
CP048235.1-36,55,786
CP048235.1-37,149,193
CP048235.1-38,23,1120
CP048235.1-39,35,994
CP048235.1-40,47,864
CP048235.1-41,76,578
CP048235.1-42,115,330
CP048235.1-43,224,67
CP048235.1-44,14,1179
CP048235.1-45,52,813
CP048235.1-46,107,369
CP048235.1-47,168,142
CP048235.1-48,125,276
CP048235.1-49,53,804
CP048235.1-50,122,293
CP048235.1-51,66,662
CP048235.1-52,22,1126
CP048235.1-53,141,223
CP048235.1-54,32,1022
CP048235.1-55,116,324
CP048235.1-56,32,1023
CP048235.1-57,37,968
CP048235.1-58,36,980
CP048235.1-59,28,1071
CP048235.1-60,100,410
CP048235.1-61,105,381
CP048235.1-62,92,458
CP048235.1-63,78,558
CP048235.1-64,55,787
CP048235.1-65,12,1192
CP048235.1-66,35,995
CP048235.1-67,26,1092
CP048235.1-68,47,865
CP048235.1-69,105,382
CP048235.1-70,125,277
CP048235.1-71,41,927
CP048235.1-72,40,942
CP048235.1-73,59,741
CP048235.1-74,102,397
CP048235.1-75,174,134
CP048235.1-76,46,874
CP048235.1-77,49,840
CP048235.1-78,25,1102
CP048235.1-79,50,832
CP048235.1-80,82,515
CP048235.1-81,91,465
CP048235.1-82,66,663
CP048235.1-83,58,752
CP048235.1-84,34,1005
CP048235.1-85,24,1109
CP048235.1-86,110,352
CP048235.1-87,34,1006
CP048235.1-88,134,243
CP048235.1-89,71,621
CP048235.1-90,138,231
CP048235.1-91,75,588
CP048235.1-92,55,788
CP048235.1-93,13,1184
CP048236.1-0,16,1167
CP048236.1-1,1,1253
CP048236.1-2,16,1168
CP048236.1-3,177,130
CP048236.1-4,230,62
CP048236.1-5,374,14
CP048236.1-6,77,573
CP048236.1-7,137,235
CP048236.1-8,286,38
CP048236.1-9,245,55
CP048236.1-10,71,622
CP048236.1-11,255,48
CP048236.1-12,227,64
CP048236.1-13,168,143
CP048236.1-14,101,406
CP048236.1-15,125,278
CP048236.1-16,159,175
CP048236.1-17,76,579
CP048236.1-18,26,1093
CP048236.1-19,124,283
CP048236.1-20,161,169
CP048236.1-21,28,1072
CP048236.1-22,43,897
CP048236.1-23,100,411
CP048236.1-24,50,833
CP048236.1-25,59,742
CP048236.1-26,99,419
CP048236.1-27,121,299
CP048236.1-28,150,190
CP048236.1-29,92,459
CP048236.1-30,22,1127
CP048236.1-31,90,472
CP048236.1-32,53,805
CP048236.1-33,74,600
CP048236.1-34,15,1172
CP048236.1-35,68,642
CP048236.1-36,106,375
CP048236.1-37,61,718
CP048236.1-38,66,664
CP048236.1-39,146,206
CP048236.1-40,29,1060
CP048236.1-41,26,1094
CP048236.1-42,87,485
CP048236.1-43,42,910
CP048236.1-44,87,486
CP048236.1-45,20,1139
CP048236.1-46,43,898
CP048236.1-47,176,132
CP048236.1-48,29,1061
CP048236.1-49,36,981
CP048236.1-50,45,881
CP048236.1-51,137,236
CP048236.1-52,45,882
CP048236.1-53,74,601
CP048236.1-54,46,875
CP048236.1-55,99,420
CP048236.1-56,60,728
CP048236.1-57,134,244
CP048236.1-58,81,524
CP048236.1-59,92,460
CP048236.1-60,82,516
CP048236.1-61,14,1180
CP048236.1-62,48,851
CP048236.1-63,109,357
CP048236.1-64,122,294
CP048236.1-65,34,1007
CP048236.1-66,69,630
CP048236.1-67,55,789
CP048236.1-68,26,1095
CP048236.1-69,36,982
CP048236.1-70,149,194
CP048236.1-71,49,841
CP048236.1-72,36,983
CP048236.1-73,96,438
CP048236.1-74,69,631
CP048236.1-75,23,1121
CP048236.1-76,19,1149
CP048236.1-77,86,495
CP048236.1-78,42,911
CP048236.1-79,47,866
CP048236.1-80,9,1210
CP048236.1-81,44,891
CP048236.1-82,86,496
CP048236.1-83,59,743
CP048236.1-84,75,589
CP048236.1-85,4,1231
CP048236.1-86,87,487
CP048236.1-87,119,308
CP048236.1-88,59,744
CP048236.1-89,82,517
CP048236.1-90,36,984
CP048236.1-91,78,559
CP048236.1-92,107,370
CP048236.1-93,139,228
CP048236.1-94,56,774
CP048236.1-95,23,1122
CP048236.1-96,91,466
CP048236.1-97,15,1173
CP048236.1-98,115,331
CP048236.1-99,20,1140
CP048236.1-100,8,1215
CP048237.1-0,2,1244
CP048237.1-1,1,1254
CP048237.1-2,75,590
CP048237.1-3,88,481
CP048237.1-4,94,446
CP048237.1-5,54,797
CP048237.1-6,28,1073
CP048237.1-7,145,211
CP048237.1-8,81,525
CP048237.1-9,32,1024
CP048237.1-10,35,996
CP048237.1-11,47,867
CP048237.1-12,38,961
CP048237.1-13,58,753
CP048237.1-14,59,745
CP048237.1-15,25,1103
CP048237.1-16,25,1104
CP048237.1-17,47,868
CP048237.1-18,66,665
CP048237.1-19,80,535
CP048237.1-20,55,790
CP048237.1-21,50,834
CP048237.1-22,65,681
CP048237.1-23,56,775
CP048237.1-24,120,304
CP048237.1-25,54,798
CP048237.1-26,20,1141
CP048237.1-27,24,1110
CP048237.1-28,60,729
CP048237.1-29,27,1081
CP048237.1-30,16,1169
CP048237.1-31,23,1123
CP048237.1-32,79,544
CP048237.1-33,41,928
CP048237.1-34,85,503
CP048237.1-35,75,591
CP048237.1-36,63,699
CP048237.1-37,31,1041
CP048237.1-38,138,232
CP048237.1-39,118,316
CP048237.1-40,147,201
CP048237.1-41,27,1082
CP048237.1-42,42,912
CP048237.1-43,42,913
CP048237.1-44,68,643
CP048237.1-45,20,1142
CP048237.1-46,67,653
CP048237.1-47,42,914
CP048237.1-48,129,262
CP048237.1-49,62,709
CP048237.1-50,3,1235
CP048237.1-51,137,237
CP048237.1-52,40,943
CP048237.1-53,54,799
CP048237.1-54,133,247
CP048237.1-55,63,700
CP048237.1-56,11,1199
CP048237.1-57,96,439
CP048237.1-58,30,1049
CP048237.1-59,7,1218
CP048237.1-60,101,407
CP048237.1-61,120,305
CP048237.1-62,47,869
CP048237.1-63,60,730
CP048237.1-64,120,306
CP048237.1-65,84,507
CP048237.1-66,68,644
CP048237.1-67,76,580
CP048237.1-68,62,710
CP048237.1-69,66,666
CP048237.1-70,53,806
CP048237.1-71,56,776
CP048237.1-72,24,1111
CP048237.1-73,203,89
CP048237.1-74,97,430
CP048237.1-75,105,383
CP048237.1-76,40,944
CP048237.1-77,32,1025
CP048237.1-78,77,574
CP048237.1-79,64,692
CP048237.1-80,65,682
CP048237.1-81,169,141
CP048237.1-82,181,123
CP048237.1-83,134,245
CP048237.1-84,59,746
CP048237.1-85,166,151
CP048237.1-86,201,93
CP048237.1-87,163,164
CP048237.1-88,128,264
CP048237.1-89,69,632
CP048237.1-90,139,229
CP048237.1-91,321,29
CP048237.1-92,176,133
CP048237.1-93,89,476
CP048237.1-94,97,431
CP048237.1-95,338,21
CP048237.1-96,144,214
CP048237.1-97,583,1
CP048237.1-98,272,42
CP048237.1-99,477,4
CP048237.1-100,127,266
CP048237.1-101,99,421
CP048237.1-102,97,432
CP048237.1-103,80,536
CP048237.1-104,117,319
CP048237.1-105,58,754
CP048238.1-0,14,1181
CP048238.1-1,0,1259
CP048238.1-2,87,488
CP048238.1-3,61,719
CP048238.1-4,156,178
CP048238.1-5,73,610
CP048238.1-6,170,140
CP048238.1-7,118,317
CP048238.1-8,108,364
CP048238.1-9,40,945
CP048238.1-10,67,654
CP048238.1-11,102,398
CP048238.1-12,110,353
CP048238.1-13,86,497
CP048238.1-14,57,769
CP048238.1-15,166,152
CP048238.1-16,91,467
CP048238.1-17,171,137
CP048238.1-18,129,263
CP048238.1-19,123,286
CP048238.1-20,62,711
CP048238.1-21,34,1008
CP048238.1-22,60,731
CP048238.1-23,34,1009
CP048238.1-24,40,946
CP048238.1-25,81,526
CP048238.1-26,80,537
CP048238.1-27,186,117
