Bin index,yH299-parent-pool4_normalized,yH299-parent-pool4_normalized rank
CP048230.1-0,1,1178
CP048230.1-1,0,1222
CP048230.1-2,1,1179
CP048230.1-3,9,748
CP048230.1-4,11,632
CP048230.1-5,32,147
CP048230.1-6,35,125
CP048230.1-7,72,27
CP048230.1-8,30,175
CP048230.1-9,89,11
CP048230.1-10,26,237
CP048230.1-11,9,749
CP048230.1-12,71,29
CP048230.1-13,28,197
CP048230.1-14,51,60
CP048230.1-15,18,394
CP048230.1-16,11,633
CP048230.1-17,20,340
CP048230.1-18,53,55
CP048230.1-19,27,220
CP048230.1-20,22,294
CP048230.1-21,4,1014
CP048230.1-22,2,1121
CP048230.1-23,23,277
CP048230.1-24,3,1063
CP048230.1-25,23,278
CP048230.1-26,28,198
CP048230.1-27,27,221
CP048230.1-28,9,750
CP048230.1-29,8,792
CP048230.1-30,1,1180
CP048230.1-31,2,1122
CP048230.1-32,18,395
CP048230.1-33,21,315
CP048230.1-34,14,523
CP048230.1-35,20,341
CP048230.1-36,2,1123
CP048230.1-37,31,162
CP048230.1-38,7,842
CP048230.1-39,7,843
CP048230.1-40,6,904
CP048230.1-41,18,396
CP048230.1-42,11,634
CP048230.1-43,21,316
CP048230.1-44,30,176
CP048230.1-45,6,905
CP048230.1-46,11,635
CP048230.1-47,25,252
CP048230.1-48,15,484
CP048230.1-49,3,1064
CP048230.1-50,3,1065
CP048231.1-0,1,1181
CP048231.1-1,9,751
CP048231.1-2,6,906
CP048231.1-3,20,342
CP048231.1-4,15,485
CP048231.1-5,27,222
CP048231.1-6,19,363
CP048231.1-7,18,397
CP048231.1-8,15,486
CP048231.1-9,41,83
CP048231.1-10,11,636
CP048231.1-11,7,844
CP048231.1-12,6,907
CP048231.1-13,8,793
CP048231.1-14,8,794
CP048231.1-15,6,908
CP048231.1-16,7,845
CP048231.1-17,8,795
CP048231.1-18,13,555
CP048231.1-19,6,909
CP048231.1-20,11,637
CP048231.1-21,2,1124
CP048231.1-22,11,638
CP048231.1-23,43,75
CP048231.1-24,15,487
CP048231.1-25,24,261
CP048231.1-26,25,253
CP048231.1-27,43,76
CP048231.1-28,44,72
CP048231.1-29,75,24
CP048231.1-30,56,47
CP048231.1-31,12,590
CP048231.1-32,13,556
CP048231.1-33,12,591
CP048231.1-34,15,488
CP048231.1-35,78,18
CP048231.1-36,10,692
CP048231.1-37,66,34
CP048231.1-38,81,14
CP048231.1-39,21,317
CP048231.1-40,18,398
CP048231.1-41,39,88
CP048231.1-42,22,295
CP048231.1-43,38,96
CP048231.1-44,92,10
CP048231.1-45,64,38
CP048231.1-46,45,71
CP048231.1-47,78,19
CP048231.1-48,63,39
CP048231.1-49,0,1223
CP048231.1-50,1,1182
CP048232.1-0,1,1183
CP048232.1-1,3,1066
CP048232.1-2,11,639
CP048232.1-3,17,433
CP048232.1-4,15,489
CP048232.1-5,20,343
CP048232.1-6,10,693
CP048232.1-7,11,640
CP048232.1-8,18,399
CP048232.1-9,3,1067
CP048232.1-10,8,796
CP048232.1-11,14,524
CP048232.1-12,10,694
CP048232.1-13,16,454
CP048232.1-14,11,641
CP048232.1-15,7,846
CP048232.1-16,36,115
CP048232.1-17,1,1184
CP048232.1-18,26,238
CP048232.1-19,15,490
CP048232.1-20,4,1015
CP048232.1-21,15,491
CP048232.1-22,11,642
CP048232.1-23,30,177
CP048232.1-24,35,126
CP048232.1-25,2,1125
CP048232.1-26,12,592
CP048232.1-27,13,557
CP048232.1-28,19,364
CP048232.1-29,19,365
CP048232.1-30,13,558
CP048232.1-31,52,57
CP048232.1-32,23,279
CP048232.1-33,13,559
CP048232.1-34,29,185
CP048232.1-35,18,400
CP048232.1-36,37,106
CP048232.1-37,53,56
CP048232.1-38,32,148
CP048232.1-39,54,50
CP048232.1-40,76,23
CP048232.1-41,80,15
CP048232.1-42,68,33
CP048232.1-43,124,2
CP048232.1-44,60,42
CP048232.1-45,58,43
CP048232.1-46,17,434
CP048232.1-47,65,36
CP048232.1-48,16,455
CP048232.1-49,17,435
