RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00011,EPA19,ORF,CP048230.1,3287,16984,C,13698,0,0,0.0,0.0,0.0,13698,1.0,1.0,-24.0841809194736,0,0,0,0,0.0,9999,6367.0
GWK60_A00033,EPA24,ORF,CP048230.1,26433,28541,C,2109,0,0,0.0,0.0,0.0,2109,1.0,0.9999999948794296,-24.0841809194736,0,0,0,0,0.0,9999,14683.0
GWK60_A00055,GWK60_A00055,ORF,CP048230.1,32665,33504,C,840,0,0,0.0,0.0,0.0,840,1.0,0.9983411989198255,-24.0841809194736,0,0,0,0,0.0,9999,741.7857142857143
GWK60_A00077,GWK60_A00077,ORF,CP048230.1,34115,36385,C,2271,1,3292,0.00044033465433729633,0.24966974900924704,1.8061682825172571,2053,0.9040070453544694,0.90400704443839,-12.398994122878253,0,0,0,0,0.0,2271.0,567.0
GWK60_A00099,GWK60_A00099,ORF,CP048230.1,36888,39068,W,2181,0,0,0.0,0.0,0.0,2181,1.0,0.9999999975075509,-24.0841809194736,0,0,0,0,0.0,9999,433.57894736842104
GWK60_A00121,GWK60_A00121,ORF,CP048230.1,39869,42250,W,2382,2,1172,0.0008396305625524769,0.19109003803032548,0.16854566017602396,1625,0.6821998320738875,0.68219983184606,-13.88819362144509,0,0,0,0,0.0,1191.0,227.58823529411765
GWK60_A00143,GWK60_A00143,ORF,CP048230.1,42544,43215,C,672,0,0,0.0,0.0,0.0,672,1.0,0.9911635995393923,-24.0841809194736,1,0,0,0,0.0,9999,148.91176470588235
GWK60_A00165,GWK60_A00165,ORF,CP048230.1,43698,44498,W,801,0,0,0.0,0.0,0.0,801,1.0,0.9975519196246999,-24.0841809194736,0,0,0,0,0.0,9999,139.6764705882353
GWK60_A00187,GWK60_A00187,ORF,CP048230.1,44808,45404,C,597,0,0,0.0,0.0,0.0,597,1.0,0.9814761750367006,-24.0841809194736,1,0,0,0,0.0,9999,121.05128205128206
GWK60_A00209,GWK60_A00209,ORF,CP048230.1,45607,47136,W,1530,1,705,0.00065359477124183,0.09532428355957767,0.10756992310570851,1264,0.8261437908496732,0.8261424074798218,-14.620656546202419,0,0,0,0,0.0,1530.0,145.84615384615384
GWK60_A00231,GWK60_A00231,ORF,CP048230.1,47685,48254,W,570,2,1487,0.0035087719298245615,0.4559691912708601,0.4969622382675556,376,0.6596491228070176,0.643733754292906,-13.545022108365568,0,0,0,0,0.0,285.0,129.9512195121951
GWK60_A00253,GWK60_A00253,ORF,CP048230.1,48624,50978,C,2355,9,8894,0.003821656050955414,0.5303763752171395,0.833539631251986,807,0.34267515923566877,0.34267515908575674,-10.965402029319076,0,0,0,0,0.0,261.6666666666667,138.78181818181818
GWK60_A00275,GWK60_A00275,ORF,CP048230.1,51806,55015,C,3210,6,7530,0.001869158878504673,0.21847487471217664,0.44491867211563274,1659,0.516822429906542,0.5168224299064983,-11.205555189668242,0,0,0,0,0.0,535.0,116.8840579710145
GWK60_A00297,SCL1,ORF,CP048230.1,56199,56963,W,765,0,0,0.0,0.0,0.0,765,1.0,0.9964948127799336,-24.0841809194736,0,0,0,0,0.0,9999,108.23076923076923
GWK60_A00319,ERG4,ORF,CP048230.1,57279,58673,C,1395,0,0,0.0,0.0,0.0,1395,1.0,0.9999935408088644,-24.0841809194736,0,0,0,0,0.0,9999,114.07692307692308
GWK60_A00341,PDR1,ORF,CP048230.1,62211,65534,W,3324,1,155,0.00030084235860409147,0.02973074608904934,0.00631756064611793,2275,0.6844163658243081,0.6844163658242896,-16.79877870061135,0,0,0,0,0.0,3324.0,98.825
GWK60_A00363,GWK60_A00363,ORF,CP048230.1,65791,68151,C,2361,3,281,0.0012706480304955528,0.11966053304469229,0.014178071685069894,1241,0.5256247352816603,0.5256247350651034,-15.944629567074806,0,0,0,0,0.0,787.0,94.17283950617283
GWK60_A00385,PMA1,ORF,CP048230.1,69666,72374,C,2709,0,0,0.0,0.0,0.0,2709,1.0,0.9999999999873073,-24.0841809194736,0,0,0,0,0.0,9999,84.50649350649351
GWK60_A00407,GWK60_A00407,ORF,CP048230.1,73476,76844,W,3369,14,35107,0.004155535767289997,0.34648974285009554,0.9012805461148454,728,0.21608785989907986,0.2160878598990761,-8.984668727478375,4,0,0,0,0.0,240.64285714285714,83.38028169014085
GWK60_A00429,GWK60_A00429,ORF,CP048230.1,77062,77871,C,810,3,1924,0.003703703703703704,0.32001028806584364,0.20890949149235002,490,0.6049382716049383,0.6035845113883637,-13.173538189003974,0,0,0,0,0.0,270.0,86.40277777777777
