feature_id,sample,condition,background,pool,reads,total_feature_reads,cpm
GWK60_A00011,yH298-H2O2-treated-facs-pool1,treated,H298,1,0,4654293,0
GWK60_A00011,yH298-H2O2-treated-facs-pool2,treated,H298,2,44,4754213,9.254949241861903
GWK60_A00011,yH298-parent-pool1,parent,H298,1,0,5503956,0
GWK60_A00011,yH298-parent-pool2,parent,H298,2,0,8119668,0
GWK60_A00011,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00011,yH299-H2O2-treated-facs-pool4,treated,H299,4,2,5747369,0.3479853129318824
GWK60_A00011,yH299-parent-pool3,parent,H299,3,0,6388828,0
GWK60_A00011,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00033,yH298-H2O2-treated-facs-pool1,treated,H298,1,0,4654293,0
GWK60_A00033,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00033,yH298-parent-pool1,parent,H298,1,0,5503956,0
GWK60_A00033,yH298-parent-pool2,parent,H298,2,0,8119668,0
GWK60_A00033,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00033,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00033,yH299-parent-pool3,parent,H299,3,254,6388828,39.75690063967914
GWK60_A00033,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00055,yH298-H2O2-treated-facs-pool1,treated,H298,1,0,4654293,0
GWK60_A00055,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00055,yH298-parent-pool1,parent,H298,1,125,5503956,22.71093736941211
GWK60_A00055,yH298-parent-pool2,parent,H298,2,591,8119668,72.78622722012771
GWK60_A00055,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00055,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00055,yH299-parent-pool3,parent,H299,3,1,6388828,0.1565232308648785
GWK60_A00055,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00077,yH298-H2O2-treated-facs-pool1,treated,H298,1,0,4654293,0
GWK60_A00077,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00077,yH298-parent-pool1,parent,H298,1,36,5503956,6.540749962390688
GWK60_A00077,yH298-parent-pool2,parent,H298,2,46,8119668,5.665256264172378
GWK60_A00077,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00077,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00077,yH299-parent-pool3,parent,H299,3,0,6388828,0
GWK60_A00077,yH299-parent-pool4,parent,H299,4,3292,4223882,779.3778329981756
GWK60_A00099,yH298-H2O2-treated-facs-pool1,treated,H298,1,0,4654293,0
GWK60_A00099,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00099,yH298-parent-pool1,parent,H298,1,6,5503956,1.0901249937317812
GWK60_A00099,yH298-parent-pool2,parent,H298,2,2,8119668,0.24631548974662512
GWK60_A00099,yH299-H2O2-treated-facs-pool3,treated,H299,3,205,5043889,40.64324175254451
GWK60_A00099,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00099,yH299-parent-pool3,parent,H299,3,0,6388828,0
GWK60_A00099,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00121,yH298-H2O2-treated-facs-pool1,treated,H298,1,863,4654293,185.42021312366882
GWK60_A00121,yH298-H2O2-treated-facs-pool2,treated,H298,2,2711,4754213,570.2310771519914
GWK60_A00121,yH298-parent-pool1,parent,H298,1,1059,5503956,192.4070613936594
GWK60_A00121,yH298-parent-pool2,parent,H298,2,2667,8119668,328.4617055771246
GWK60_A00121,yH299-H2O2-treated-facs-pool3,treated,H299,3,1314,5043889,260.513266648017
GWK60_A00121,yH299-H2O2-treated-facs-pool4,treated,H299,4,36,5747369,6.263735632773884
GWK60_A00121,yH299-parent-pool3,parent,H299,3,2457,6388828,384.57757823500646
GWK60_A00121,yH299-parent-pool4,parent,H299,4,1172,4223882,277.4698725011731
GWK60_A00143,yH298-H2O2-treated-facs-pool1,treated,H298,1,2,4654293,0.42971080677559403
GWK60_A00143,yH298-H2O2-treated-facs-pool2,treated,H298,2,1,4754213,0.21033975549686143
GWK60_A00143,yH298-parent-pool1,parent,H298,1,411,5503956,74.67356207062701
GWK60_A00143,yH298-parent-pool2,parent,H298,2,132,8119668,16.256822323277255
GWK60_A00143,yH299-H2O2-treated-facs-pool3,treated,H299,3,1095,5043889,217.09438887334753
GWK60_A00143,yH299-H2O2-treated-facs-pool4,treated,H299,4,2594,5747369,451.33695087265147
GWK60_A00143,yH299-parent-pool3,parent,H299,3,1,6388828,0.1565232308648785
GWK60_A00143,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00165,yH298-H2O2-treated-facs-pool1,treated,H298,1,0,4654293,0
GWK60_A00165,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00165,yH298-parent-pool1,parent,H298,1,20,5503956,3.6337499791059376
GWK60_A00165,yH298-parent-pool2,parent,H298,2,7,8119668,0.8621042141131878
GWK60_A00165,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00165,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00165,yH299-parent-pool3,parent,H299,3,576,6388828,90.15738097817001
GWK60_A00165,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00187,yH298-H2O2-treated-facs-pool1,treated,H298,1,13,4654293,2.7931202440413614
GWK60_A00187,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00187,yH298-parent-pool1,parent,H298,1,0,5503956,0
GWK60_A00187,yH298-parent-pool2,parent,H298,2,0,8119668,0
GWK60_A00187,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00187,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00187,yH299-parent-pool3,parent,H299,3,0,6388828,0
GWK60_A00187,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00209,yH298-H2O2-treated-facs-pool1,treated,H298,1,93,4654293,19.981552515065122
GWK60_A00209,yH298-H2O2-treated-facs-pool2,treated,H298,2,1758,4754213,369.7772901634824
GWK60_A00209,yH298-parent-pool1,parent,H298,1,1618,5503956,293.9703733096703
GWK60_A00209,yH298-parent-pool2,parent,H298,2,1885,8119668,232.15234908619416
GWK60_A00209,yH299-H2O2-treated-facs-pool3,treated,H299,3,506,5043889,100.31941622823183
GWK60_A00209,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00209,yH299-parent-pool3,parent,H299,3,37,6388828,5.791359542000505
GWK60_A00209,yH299-parent-pool4,parent,H299,4,705,4223882,166.90807176905037
GWK60_A00231,yH298-H2O2-treated-facs-pool1,treated,H298,1,2938,4654293,631.2451751533476
GWK60_A00231,yH298-H2O2-treated-facs-pool2,treated,H298,2,1997,4754213,420.04849172723226
GWK60_A00231,yH298-parent-pool1,parent,H298,1,2136,5503956,388.08449776851415
GWK60_A00231,yH298-parent-pool2,parent,H298,2,2657,8119668,327.2301281283914
GWK60_A00231,yH299-H2O2-treated-facs-pool3,treated,H299,3,1302,5043889,258.1341500576242
GWK60_A00231,yH299-H2O2-treated-facs-pool4,treated,H299,4,2967,5747369,516.2362117344476
GWK60_A00231,yH299-parent-pool3,parent,H299,3,1740,6388828,272.3504217048886
GWK60_A00231,yH299-parent-pool4,parent,H299,4,1487,4223882,352.04581946181264
GWK60_A00253,yH298-H2O2-treated-facs-pool1,treated,H298,1,3253,4654293,698.9246272205037
GWK60_A00253,yH298-H2O2-treated-facs-pool2,treated,H298,2,4257,4754213,895.416339150139
GWK60_A00253,yH298-parent-pool1,parent,H298,1,6478,5503956,1176.9716182324132
GWK60_A00253,yH298-parent-pool2,parent,H298,2,8594,8119668,1058.417659441248
GWK60_A00253,yH299-H2O2-treated-facs-pool3,treated,H299,3,4621,5043889,916.1581470171132
GWK60_A00253,yH299-H2O2-treated-facs-pool4,treated,H299,4,3560,5747369,619.4138570187506
GWK60_A00253,yH299-parent-pool3,parent,H299,3,3572,6388828,559.100980649346
GWK60_A00253,yH299-parent-pool4,parent,H299,4,8894,4223882,2105.645943707708
GWK60_A00275,yH298-H2O2-treated-facs-pool1,treated,H298,1,9862,4654293,2118.903988210454
GWK60_A00275,yH298-H2O2-treated-facs-pool2,treated,H298,2,6219,4754213,1308.1029394349812
GWK60_A00275,yH298-parent-pool1,parent,H298,1,9107,5503956,1654.6280529858886
GWK60_A00275,yH298-parent-pool2,parent,H298,2,21479,8119668,2645.3052021338804
GWK60_A00275,yH299-H2O2-treated-facs-pool3,treated,H299,3,2388,5043889,473.44420148817704
GWK60_A00275,yH299-H2O2-treated-facs-pool4,treated,H299,4,3171,5747369,551.7307136534995
GWK60_A00275,yH299-parent-pool3,parent,H299,3,8216,6388828,1285.9948647858419
GWK60_A00275,yH299-parent-pool4,parent,H299,4,7530,4223882,1782.72025591624
GWK60_A00297,yH298-H2O2-treated-facs-pool1,treated,H298,1,0,4654293,0
GWK60_A00297,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00297,yH298-parent-pool1,parent,H298,1,0,5503956,0
GWK60_A00297,yH298-parent-pool2,parent,H298,2,0,8119668,0
GWK60_A00297,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00297,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00297,yH299-parent-pool3,parent,H299,3,0,6388828,0
GWK60_A00297,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00319,yH298-H2O2-treated-facs-pool1,treated,H298,1,0,4654293,0
GWK60_A00319,yH298-H2O2-treated-facs-pool2,treated,H298,2,630,4754213,132.51404596302268
GWK60_A00319,yH298-parent-pool1,parent,H298,1,0,5503956,0
GWK60_A00319,yH298-parent-pool2,parent,H298,2,0,8119668,0
GWK60_A00319,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00319,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00319,yH299-parent-pool3,parent,H299,3,0,6388828,0
GWK60_A00319,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00341,yH298-H2O2-treated-facs-pool1,treated,H298,1,744,4654293,159.85242012052097
GWK60_A00341,yH298-H2O2-treated-facs-pool2,treated,H298,2,1890,4754213,397.5421378890681
GWK60_A00341,yH298-parent-pool1,parent,H298,1,3068,5503956,557.4172467948508
GWK60_A00341,yH298-parent-pool2,parent,H298,2,4717,8119668,580.9350825674153
GWK60_A00341,yH299-H2O2-treated-facs-pool3,treated,H299,3,2518,5043889,499.2179645507662
GWK60_A00341,yH299-H2O2-treated-facs-pool4,treated,H299,4,87,5747369,15.137361112536883
GWK60_A00341,yH299-parent-pool3,parent,H299,3,298,6388828,46.643922797733794
GWK60_A00341,yH299-parent-pool4,parent,H299,4,155,4223882,36.696100885394046
GWK60_A00363,yH298-H2O2-treated-facs-pool1,treated,H298,1,2509,4654293,539.0722070999827
GWK60_A00363,yH298-H2O2-treated-facs-pool2,treated,H298,2,4285,4754213,901.3058523040512
GWK60_A00363,yH298-parent-pool1,parent,H298,1,2152,5503956,390.99149775179893
GWK60_A00363,yH298-parent-pool2,parent,H298,2,3245,8119668,399.64688211389927
GWK60_A00363,yH299-H2O2-treated-facs-pool3,treated,H299,3,4458,5043889,883.8418133309436
GWK60_A00363,yH299-H2O2-treated-facs-pool4,treated,H299,4,2095,5747369,364.5146152961468
GWK60_A00363,yH299-parent-pool3,parent,H299,3,2814,6388828,440.45637165376814
GWK60_A00363,yH299-parent-pool4,parent,H299,4,281,4223882,66.52647966964986
GWK60_A00385,yH298-H2O2-treated-facs-pool1,treated,H298,1,183,4654293,39.318538819966854
GWK60_A00385,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00385,yH298-parent-pool1,parent,H298,1,214,5503956,38.88112477643353
GWK60_A00385,yH298-parent-pool2,parent,H298,2,72,8119668,8.867357630878505
GWK60_A00385,yH299-H2O2-treated-facs-pool3,treated,H299,3,700,5043889,138.78180110624956
GWK60_A00385,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00385,yH299-parent-pool3,parent,H299,3,1,6388828,0.1565232308648785
GWK60_A00385,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00407,yH298-H2O2-treated-facs-pool1,treated,H298,1,18709,4654293,4019.729741982295
GWK60_A00407,yH298-H2O2-treated-facs-pool2,treated,H298,2,47216,4754213,9931.401895539808
GWK60_A00407,yH298-parent-pool1,parent,H298,1,14747,5503956,2679.3455470937633
GWK60_A00407,yH298-parent-pool2,parent,H298,2,37341,8119668,4598.833351314364
GWK60_A00407,yH299-H2O2-treated-facs-pool3,treated,H299,3,11023,5043889,2185.4168479916984
GWK60_A00407,yH299-H2O2-treated-facs-pool4,treated,H299,4,18988,5747369,3303.7725609752915
GWK60_A00407,yH299-parent-pool3,parent,H299,3,20540,6388828,3214.987161964604
GWK60_A00407,yH299-parent-pool4,parent,H299,4,35107,4223882,8311.548476022768
GWK60_A00429,yH298-H2O2-treated-facs-pool1,treated,H298,1,44,4654293,9.45363774906307
GWK60_A00429,yH298-H2O2-treated-facs-pool2,treated,H298,2,695,4754213,146.18613007031868
GWK60_A00429,yH298-parent-pool1,parent,H298,1,633,5503956,115.00818683870293
GWK60_A00429,yH298-parent-pool2,parent,H298,2,634,8119668,78.08201024968017
GWK60_A00429,yH299-H2O2-treated-facs-pool3,treated,H299,3,591,5043889,117.17149207684785
GWK60_A00429,yH299-H2O2-treated-facs-pool4,treated,H299,4,794,5747369,138.1501692339573
GWK60_A00429,yH299-parent-pool3,parent,H299,3,1103,6388828,172.64512364396097
GWK60_A00429,yH299-parent-pool4,parent,H299,4,1924,4223882,455.50514905482686
GWK60_A00451,yH298-H2O2-treated-facs-pool1,treated,H298,1,57943,4654293,12449.366638499123
GWK60_A00451,yH298-H2O2-treated-facs-pool2,treated,H298,2,29302,4754213,6163.375515569033
GWK60_A00451,yH298-parent-pool1,parent,H298,1,52703,5503956,9575.476257441012
GWK60_A00451,yH298-parent-pool2,parent,H298,2,67440,8119668,8305.7583142562
GWK60_A00451,yH299-H2O2-treated-facs-pool3,treated,H299,3,46764,5043889,9271.417352760936
GWK60_A00451,yH299-H2O2-treated-facs-pool4,treated,H299,4,43298,5747369,7533.534039662321
GWK60_A00451,yH299-parent-pool3,parent,H299,3,56148,6388828,8788.466366601198
GWK60_A00451,yH299-parent-pool4,parent,H299,4,33348,4223882,7895.1069182330375
GWK60_A00473,yH298-H2O2-treated-facs-pool1,treated,H298,1,1661,4654293,356.87482502713084
GWK60_A00473,yH298-H2O2-treated-facs-pool2,treated,H298,2,674,4754213,141.7689952048846
GWK60_A00473,yH298-parent-pool1,parent,H298,1,2704,5503956,491.2829971751228
GWK60_A00473,yH298-parent-pool2,parent,H298,2,2831,8119668,348.65957573634785
GWK60_A00473,yH299-H2O2-treated-facs-pool3,treated,H299,3,2180,5043889,432.20618058803433
GWK60_A00473,yH299-H2O2-treated-facs-pool4,treated,H299,4,2583,5747369,449.4230316515261
GWK60_A00473,yH299-parent-pool3,parent,H299,3,990,6388828,154.95799855622974
GWK60_A00473,yH299-parent-pool4,parent,H299,4,1082,4223882,256.1624590838475
GWK60_A00495,yH298-H2O2-treated-facs-pool1,treated,H298,1,621,4654293,133.42520550382196
GWK60_A00495,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00495,yH298-parent-pool1,parent,H298,1,1328,5503956,241.28099861263425
GWK60_A00495,yH298-parent-pool2,parent,H298,2,422,8119668,51.9725683365379
GWK60_A00495,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00495,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00495,yH299-parent-pool3,parent,H299,3,27,6388828,4.226127233351719
GWK60_A00495,yH299-parent-pool4,parent,H299,4,48,4223882,11.363953822573642
GWK60_A00517,yH298-H2O2-treated-facs-pool1,treated,H298,1,17,4654293,3.6525418575925492
GWK60_A00517,yH298-H2O2-treated-facs-pool2,treated,H298,2,135,4754213,28.395866992076293
GWK60_A00517,yH298-parent-pool1,parent,H298,1,388,5503956,70.49474959465519
