rel_bp	reads_sum	sites_n
-995	1	1
-955	1	1
-945	2	1
-935	6	2
-925	8	6
-905	1	1
-895	1	1
-885	2	2
-875	2	2
-835	2	2
-825	1	1
-815	2	2
-805	2	2
-785	1	1
-755	1	1
-745	2	1
-735	2	2
-725	1	1
-715	1	1
-705	3	3
-685	1	1
-675	1	1
-665	3	2
-645	3	2
-635	1	1
-615	1	1
-595	1	1
-575	4	4
-565	1	1
-555	3	2
-535	2	2
-525	2	2
-515	4	4
-505	2	2
-495	2	2
-485	2	2
-475	4	2
-465	4	4
-445	2	2
-435	2	2
-425	2	2
-415	3	3
-395	2	2
-375	1	1
-365	1	1
-345	3	1
-335	6	5
-325	4	4
-305	4	4
-295	1	1
-285	1	1
-265	5	5
-245	2	2
-235	3	3
-225	4	4
-215	5	4
-205	2	2
-185	8	6
-175	12	8
-165	14	10
-155	8	5
-145	7	6
-135	9	9
-125	5	5
-115	9	6
-105	4	4
-85	1	1
-75	1	1
-15	2	2
-5	2	2
5	4	3
25	1	1
55	2	2
65	8	6
75	6	4
85	15	12
95	22	17
105	4	4
115	5	5
125	11	10
135	6	4
145	5	5
155	17	10
165	8	4
175	3	3
185	7	6
195	1	1
205	2	2
215	2	2
225	1	1
235	3	3
245	3	3
255	4	3
265	5	4
275	6	6
285	4	3
295	2	2
305	3	2
315	1	1
325	4	3
335	4	2
345	5	2
355	4	2
365	1	1
375	4	4
395	5	1
405	7	2
415	1	1
425	4	4
435	1	1
445	1	1
455	3	3
465	1	1
475	1	1
485	4	4
515	1	1
525	2	2
535	1	1
545	1	1
555	9	6
575	2	1
585	1	1
605	2	2
625	2	2
645	1	1
655	1	1
665	3	2
675	1	1
685	4	3
705	1	1
725	1	1
785	1	1
795	1	1
825	1	1
845	2	2
855	1	1
875	4	4
885	2	2
895	2	2
915	1	1
935	1	1
945	1	1
955	2	2
965	2	2
975	1	1
985	2	2
