rel_bp	reads_sum	sites_n
-995	17	16
-985	16	11
-975	19	17
-965	12	10
-955	12	12
-945	14	11
-935	17	15
-925	19	16
-915	24	20
-905	22	19
-895	24	18
-885	32	24
-875	28	21
-865	55	34
-855	37	27
-845	21	19
-835	27	18
-825	28	18
-815	17	16
-805	28	25
-795	28	21
-785	34	31
-775	25	25
-765	29	25
-755	25	24
-745	25	21
-735	20	17
-725	31	24
-715	34	27
-705	36	33
-695	29	27
-685	27	26
-675	31	25
-665	42	35
-655	40	34
-645	45	36
-635	48	39
-625	41	28
-615	45	30
-605	49	43
-595	36	33
-585	37	34
-575	73	42
-565	59	42
-555	41	35
-545	46	41
-535	49	40
-525	51	35
-515	53	39
-505	60	46
-495	56	48
-485	63	48
-475	55	46
-465	57	47
-455	42	36
-445	89	59
-435	99	59
-425	66	59
-415	62	47
-405	70	49
-395	69	44
-385	58	51
-375	69	56
-365	76	63
-355	78	66
-345	106	87
-335	78	63
-325	69	62
-315	77	62
-305	84	58
-295	76	69
-285	87	73
-275	80	68
-265	108	89
-255	101	78
-245	84	71
-235	85	71
-225	98	83
-215	114	92
-205	78	65
-195	85	74
-185	85	73
-175	77	61
-165	97	82
-155	87	68
-145	77	60
-135	87	72
-125	79	58
-115	91	71
-105	93	72
-95	55	50
-85	52	46
-75	43	38
-65	35	34
-55	41	31
-45	25	21
-35	15	15
-25	18	18
-15	15	14
-5	17	13
5	22	22
15	17	14
25	21	20
35	21	20
45	15	12
55	31	28
65	23	20
75	18	16
85	19	16
95	25	23
105	33	25
115	31	27
125	35	29
135	31	24
145	18	15
155	25	19
165	31	29
175	22	17
185	26	20
195	21	15
205	24	19
215	23	21
225	25	21
235	23	21
245	20	17
255	27	24
265	17	15
275	27	22
285	10	9
295	21	18
305	16	13
315	29	24
325	16	13
335	19	16
345	31	19
355	17	13
365	18	17
375	33	25
385	10	7
395	20	16
405	24	21
415	15	13
425	24	20
435	17	16
445	12	12
455	11	11
465	14	12
475	19	18
485	15	13
495	13	11
505	11	10
515	14	13
525	9	8
535	9	8
545	20	17
555	18	15
565	18	14
575	14	13
585	11	9
595	17	16
605	14	10
615	13	10
625	11	10
635	12	10
645	18	14
655	16	14
665	14	11
675	12	11
685	16	11
695	14	13
705	21	16
715	18	16
725	19	16
735	25	19
745	13	11
755	17	16
765	5	5
775	14	10
785	12	10
795	17	15
805	5	4
815	7	5
825	9	9
835	17	11
845	12	10
855	12	11
865	7	7
875	12	10
885	10	8
895	11	8
905	6	6
915	13	12
925	6	6
935	9	9
945	4	3
955	10	10
965	7	6
975	5	4
985	8	6
995	8	8
1005	5	2
