rel_bp	reads_sum	sites_n
-995	1	1
-985	1	1
-975	2	1
-945	9	1
-935	4	2
-925	4	3
-875	1	1
-855	1	1
-845	3	3
-825	1	1
-765	5	3
-755	3	2
-745	1	1
-715	3	2
-705	3	3
-695	1	1
-685	1	1
-675	4	2
-665	7	4
-655	4	3
-645	2	1
-635	1	1
-625	2	2
-615	2	2
-595	1	1
-585	5	5
-565	3	2
-555	3	2
-545	1	1
-535	2	2
-525	4	3
-515	3	2
-505	1	1
-495	1	1
-485	5	5
-475	5	5
-465	1	1
-455	2	2
-435	2	1
-425	1	1
-405	1	1
-385	5	4
-365	2	2
-355	2	2
-345	5	3
-335	1	1
-325	1	1
-315	1	1
-305	2	2
-285	2	2
-275	1	1
-265	7	4
-255	3	3
-245	1	1
-225	3	2
-215	2	2
-205	2	2
-195	3	3
-185	2	2
-175	6	4
-165	9	7
-155	12	11
-145	3	3
-135	5	5
-125	3	3
-115	2	2
-105	7	4
-95	2	2
-85	1	1
-65	2	1
-55	1	1
-45	1	1
-35	2	1
-15	1	1
5	3	2
15	1	1
25	2	2
35	1	1
45	1	1
55	1	1
65	2	2
75	7	6
85	6	6
95	16	11
105	8	5
115	3	3
125	6	6
135	11	6
145	12	10
155	22	8
165	1	1
175	5	5
185	4	4
195	1	1
205	2	2
215	1	1
225	8	5
235	2	2
245	5	4
255	5	4
265	6	4
275	4	4
285	8	3
295	7	5
305	6	5
315	1	1
325	3	3
335	6	1
345	8	2
355	10	7
365	1	1
375	1	1
385	3	2
395	9	1
405	13	3
415	4	3
425	3	3
435	2	1
445	2	2
465	1	1
475	1	1
485	4	2
495	2	1
505	1	1
515	2	2
525	1	1
555	3	3
565	1	1
575	1	1
585	1	1
595	3	3
605	2	2
615	3	3
635	5	3
645	2	2
655	4	2
665	1	1
675	1	1
685	2	2
695	1	1
705	2	2
715	1	1
725	1	1
735	4	1
745	1	1
815	1	1
825	1	1
835	1	1
845	5	3
855	2	2
875	2	2
885	1	1
895	2	2
925	1	1
935	3	3
955	1	1
965	1	1
975	3	2
