rel_bp	reads_sum	sites_n
-995	35	30
-985	19	14
-975	27	15
-965	30	24
-955	16	13
-945	29	22
-935	39	21
-925	25	18
-915	24	18
-905	22	15
-895	19	19
-885	23	20
-875	30	17
-865	31	14
-855	8	6
-845	27	18
-835	25	20
-825	31	20
-815	33	25
-805	25	19
-795	24	18
-785	22	19
-775	13	11
-765	29	21
-755	25	16
-745	39	23
-735	23	17
-725	33	27
-715	37	29
-705	42	27
-695	27	18
-685	33	21
-675	22	17
-665	29	21
-655	26	19
-645	28	20
-635	20	17
-625	15	12
-615	22	19
-605	29	21
-595	26	21
-585	33	24
-575	34	26
-565	19	15
-555	25	21
-545	15	14
-535	15	12
-525	19	15
-515	24	22
-505	16	12
-495	15	14
-485	24	20
-475	20	15
-465	24	22
-455	30	22
-445	20	16
-435	23	19
-425	17	14
-415	11	8
-405	16	13
-395	8	8
-385	25	17
-375	17	14
-365	19	18
-355	28	20
-345	10	9
-335	22	16
-325	25	18
-315	26	19
-305	24	18
-295	25	20
-285	13	13
-275	21	16
-265	12	10
-255	19	15
-245	13	9
-235	20	15
-225	12	10
-215	31	27
-205	19	17
-195	19	15
-185	17	16
-175	26	20
-165	21	19
-155	18	17
-145	20	16
-135	27	23
-125	23	20
-115	22	13
-105	27	25
-95	23	19
-85	17	14
-75	28	18
-65	29	21
-55	25	20
-45	15	14
-35	30	24
-25	47	29
-15	28	25
-5	26	22
5	35	28
15	43	34
25	39	33
35	49	40
45	43	35
55	37	33
65	35	27
75	33	28
85	32	27
95	47	37
105	49	38
115	42	33
125	61	47
135	62	47
145	94	51
155	51	39
165	51	45
175	40	33
185	54	40
195	40	32
205	56	45
215	40	34
225	46	37
235	38	32
245	42	32
255	54	37
265	50	44
275	57	43
285	49	42
295	52	37
305	54	35
315	41	35
325	33	29
335	46	39
345	20	18
355	43	31
365	30	25
375	58	34
385	43	33
395	30	25
405	28	23
415	29	26
425	25	21
435	29	25
445	38	29
455	28	20
465	25	21
475	21	19
485	23	22
495	14	11
505	31	24
515	24	22
525	45	27
535	39	31
545	28	20
555	26	21
565	27	18
575	26	23
585	28	21
595	17	16
605	33	26
615	17	13
625	26	18
635	19	13
645	24	18
655	30	20
665	23	18
675	20	17
685	16	12
695	15	12
705	18	13
715	12	10
725	12	11
735	14	11
745	29	22
755	20	17
765	22	13
775	26	19
785	14	10
795	18	15
805	14	10
815	23	10
825	24	14
835	9	8
845	16	11
855	15	13
865	13	10
875	12	7
885	21	12
895	18	16
905	14	10
915	13	11
925	17	10
935	16	10
945	5	5
955	14	11
965	20	16
975	13	11
985	11	10
995	8	6
