rel_bp	reads_sum	sites_n
-995	11	9
-985	18	15
-975	21	14
-965	14	10
-955	14	10
-945	26	18
-935	18	12
-925	27	15
-915	27	14
-905	10	6
-895	14	9
-885	18	15
-875	41	22
-865	23	18
-855	23	18
-845	29	20
-835	29	15
-825	23	20
-815	27	20
-805	37	29
-795	15	14
-785	35	27
-775	27	20
-765	36	23
-755	25	18
-745	24	21
-735	34	23
-725	26	19
-715	33	18
-705	31	23
-695	41	28
-685	37	29
-675	29	21
-665	32	21
-655	33	26
-645	23	18
-635	36	24
-625	41	31
-615	31	23
-605	15	13
-595	30	25
-585	30	26
-575	50	32
-565	79	43
-555	51	35
-545	57	37
-535	42	33
-525	46	33
-515	37	29
-505	54	37
-495	55	34
-485	85	47
-475	322	41
-465	57	43
-455	46	32
-445	76	45
-435	75	45
-425	76	52
-415	62	37
-405	83	47
-395	72	43
-385	52	43
-375	69	50
-365	74	53
-355	76	53
-345	96	64
-335	58	42
-325	80	56
-315	70	52
-305	86	57
-295	85	52
-285	62	43
-275	62	53
-265	73	47
-255	69	53
-245	99	69
-235	57	45
-225	79	59
-215	74	51
-205	87	64
-195	74	63
-185	73	50
-175	82	56
-165	62	52
-155	74	53
-145	62	49
-135	65	52
-125	77	57
-115	78	51
-105	86	59
-95	58	43
-85	84	41
-75	77	28
-65	34	23
-55	40	26
-45	29	20
-35	24	15
-25	19	8
-15	9	9
-5	8	7
5	20	18
15	14	10
25	11	11
35	22	16
45	12	11
55	24	19
65	27	18
75	15	12
85	14	11
95	24	14
105	18	14
115	32	22
125	15	11
135	24	16
145	27	17
155	28	19
165	24	19
175	22	14
185	21	17
195	15	11
205	29	19
215	27	19
225	26	16
235	8	8
245	16	12
255	19	15
265	23	13
275	22	17
285	20	14
295	14	9
305	12	12
315	18	13
325	17	15
335	6	4
345	13	4
355	15	13
365	6	6
375	26	18
385	21	12
395	13	10
405	15	11
415	27	15
425	15	11
435	8	7
445	13	10
455	6	5
465	16	11
475	15	10
485	9	6
495	15	12
505	12	7
515	14	7
525	21	16
535	9	8
545	14	12
555	14	10
565	12	9
575	20	11
585	10	9
595	12	10
605	12	9
615	14	9
625	8	6
635	15	10
645	12	8
655	14	11
665	9	5
675	16	10
685	16	10
695	19	16
705	16	12
715	11	11
725	6	5
735	14	9
745	10	6
755	10	6
765	22	12
775	1	1
785	7	7
795	10	8
805	10	10
815	5	4
825	4	3
835	13	10
845	12	10
855	5	4
865	5	4
875	8	8
885	16	10
895	8	6
905	8	6
915	12	12
925	8	6
935	5	4
955	10	9
965	6	5
975	4	4
985	9	6
995	6	2
