rel_bp	reads_sum	sites_n
-995	23	19
-985	12	10
-975	19	17
-965	23	18
-955	16	12
-945	30	19
-935	32	15
-925	22	13
-915	20	13
-905	14	11
-895	9	6
-885	25	17
-875	20	14
-865	36	20
-855	14	12
-845	23	14
-835	26	16
-825	30	19
-815	32	23
-805	26	18
-795	18	14
-785	21	14
-775	16	13
-765	10	8
-755	27	19
-745	30	18
-735	17	10
-725	19	13
-715	22	20
-705	30	21
-695	27	19
-685	12	10
-675	9	7
-665	17	16
-655	56	22
-645	10	10
-635	16	10
-625	13	10
-615	22	12
-605	21	14
-595	18	17
-585	14	12
-575	33	16
-565	15	10
-555	20	14
-545	12	10
-535	16	12
-525	9	8
-515	9	7
-505	17	12
-495	10	9
-485	26	17
-475	16	12
-465	14	11
-455	25	17
-445	19	15
-435	16	14
-425	19	14
-415	20	14
-405	19	15
-395	15	12
-385	17	12
-375	22	13
-365	18	11
-355	20	13
-345	25	14
-335	26	20
-325	20	14
-315	15	13
-305	20	12
-295	13	9
-285	5	5
-275	16	11
-265	31	18
-255	12	11
-245	20	16
-235	21	17
-225	26	16
-215	18	15
-205	14	13
-195	17	11
-185	15	13
-175	18	14
-165	14	12
-155	20	13
-145	16	13
-135	17	12
-125	15	11
-115	16	9
-105	16	13
-95	23	18
-85	40	23
-75	22	14
-65	15	13
-55	28	23
-45	12	9
-35	24	20
-25	27	19
-15	16	10
-5	8	6
5	22	16
15	37	26
25	27	20
35	46	33
45	38	29
55	43	25
65	27	21
75	23	17
85	26	21
95	39	26
105	39	29
115	40	26
125	31	24
135	38	28
145	46	32
155	31	21
165	35	28
175	31	20
185	38	28
195	29	20
205	29	23
215	40	24
225	42	29
235	28	21
245	37	25
255	36	23
265	46	33
275	46	29
285	44	34
295	37	27
305	33	21
315	24	21
325	26	18
335	29	24
345	26	20
355	40	24
365	17	16
375	45	35
385	34	27
395	12	10
405	25	21
415	18	16
425	29	21
435	14	13
445	36	23
455	16	13
465	21	13
475	25	17
485	21	15
495	11	10
505	23	18
515	32	22
525	30	21
535	25	15
545	9	8
555	31	19
565	14	12
575	26	21
585	19	15
595	16	11
605	39	22
615	14	11
625	18	15
635	14	12
645	17	13
655	17	13
665	20	15
675	16	13
685	15	10
695	17	13
705	10	7
715	22	11
725	16	11
735	13	11
745	20	12
755	17	14
765	21	13
775	12	8
785	25	16
795	12	9
805	11	9
815	19	11
825	17	12
835	11	10
845	11	9
855	5	5
865	8	6
875	9	6
885	9	5
895	8	7
905	12	7
915	12	7
925	8	6
935	6	5
945	10	7
955	13	6
965	9	9
975	11	9
985	9	8
995	5	5
