target,target_tag,sample,condition,raw_hit_sites,normalized_hit_sites,hit_site_retention_fraction,hit_site_loss_fraction,raw_total_reads,normalized_total_reads,raw_percent_features_hit,normalized_percent_features_hit,normalized_hits_file,status,warning
20,T020,yH298-parent-pool1,parent,6986,6986,1.0,0.0,8733,8733,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
20,T020,yH298-parent-pool2,parent,6817,6817,1.0,0.0,8251,8251,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH298-parent-pool2/yH298-parent-pool2_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
20,T020,yH299-parent-pool3,parent,6233,6233,1.0,0.0,8473,8473,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH299-parent-pool3/yH299-parent-pool3_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
20,T020,yH299-parent-pool4,parent,4898,4898,1.0,0.0,6917,6917,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH299-parent-pool4/yH299-parent-pool4_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
30,T030,yH298-parent-pool1,parent,6986,6986,1.0,0.0,8733,8733,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
30,T030,yH298-parent-pool2,parent,6817,6817,1.0,0.0,8251,8251,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH298-parent-pool2/yH298-parent-pool2_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
30,T030,yH299-parent-pool3,parent,6233,6233,1.0,0.0,8473,8473,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH299-parent-pool3/yH299-parent-pool3_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
30,T030,yH299-parent-pool4,parent,4898,4898,1.0,0.0,6917,6917,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH299-parent-pool4/yH299-parent-pool4_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
40,T040,yH298-parent-pool1,parent,6986,6986,1.0,0.0,8733,8733,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
40,T040,yH298-parent-pool2,parent,6817,6817,1.0,0.0,8251,8251,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH298-parent-pool2/yH298-parent-pool2_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
40,T040,yH299-parent-pool3,parent,6233,6233,1.0,0.0,8473,8473,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH299-parent-pool3/yH299-parent-pool3_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
