rel_bp	reads_sum	sites_n
-995	64331	115
-985	48543	113
-975	56128	114
-965	73586	123
-955	53037	120
-945	51386	115
-935	112926	121
-925	77841	123
-915	47452	110
-905	52718	111
-895	37003	95
-885	49998	115
-875	71106	101
-865	109746	119
-855	59540	114
-845	51602	118
-835	58839	108
-825	108984	130
-815	80580	108
-805	67011	121
-795	49735	116
-785	59976	115
-775	63266	124
-765	49669	103
-755	42561	107
-745	67022	108
-735	44687	105
-725	65566	118
-715	49984	111
-705	89895	125
-695	77482	120
-685	41741	97
-675	46398	99
-665	73551	127
-655	66906	126
-645	63195	116
-635	46837	100
-625	43519	110
-615	50753	112
-605	41632	115
-595	57574	107
-585	51028	125
-575	68735	120
-565	41324	103
-555	29241	93
-545	36498	109
-535	33685	87
-525	42282	104
-515	60710	137
-505	45669	118
-495	44263	113
-485	55671	116
-475	54919	105
-465	59322	109
-455	64417	122
-445	46902	104
-435	47001	104
-425	36533	114
-415	74261	117
-405	71319	114
-395	47818	109
-385	46581	100
-375	64927	96
-365	51561	108
-355	54476	102
-345	39397	102
-335	40826	90
-325	54163	108
-315	53746	112
-305	44777	114
-295	46386	108
-285	37188	98
-275	59790	120
-265	51840	108
-255	53342	113
-245	59057	123
-235	46296	96
-225	47687	106
-215	73980	110
-205	41747	115
-195	73402	120
-185	47218	117
-175	62740	125
-165	67757	154
-155	59665	139
-145	37626	129
-135	55744	104
-125	59182	116
-115	59733	107
-105	69835	130
-95	43344	118
-85	56218	128
-75	48979	131
-65	61608	131
-55	65178	140
-45	45215	131
-35	58410	147
-25	66867	142
-15	46511	164
-5	49244	120
5	79492	160
15	58168	164
25	71696	189
35	81695	233
45	94636	244
55	90530	242
65	74062	219
75	77924	248
85	90646	259
95	99415	274
105	105966	242
115	105080	218
125	97077	221
135	116536	298
145	161818	273
155	94020	263
165	96523	249
175	92351	260
185	88545	243
195	101563	279
205	98344	246
215	95361	271
225	79912	249
235	102206	261
245	90590	224
255	101069	255
265	97625	238
275	102135	239
285	90245	243
295	90016	225
305	112061	244
315	84930	213
325	77472	191
335	87487	217
345	92829	200
355	94998	193
365	77223	199
375	100723	200
385	108114	203
395	64504	172
405	53419	165
415	71373	184
425	71084	163
435	58959	150
445	85412	162
455	70519	165
465	75848	174
475	51453	130
485	86041	152
495	62927	134
505	64688	142
515	70548	111
525	75525	150
535	72772	149
545	63403	139
555	52852	112
565	62627	131
575	69012	133
585	37188	128
595	60119	139
605	85260	133
615	38048	89
625	57071	120
635	60517	138
645	44449	113
655	57533	91
665	41684	88
675	38249	74
685	47924	106
695	46771	98
705	40626	96
715	38875	98
725	28462	66
735	27710	83
745	54368	102
755	38706	99
765	50665	94
775	50357	91
785	23556	54
795	25229	74
805	51878	87
815	60682	77
825	37276	77
835	40126	95
845	28007	71
855	29557	60
865	36292	80
875	26561	66
885	33116	70
895	32270	72
905	45034	75
915	24870	58
925	29717	63
935	27340	58
945	28176	71
955	28267	57
965	30594	61
975	35588	67
985	24319	58
995	19734	55
1005	897	3
