rel_bp	reads_sum	sites_n
-995	48617	123
-985	48561	121
-975	56240	124
-965	49477	134
-955	46452	135
-945	41654	120
-935	49042	142
-925	66726	136
-915	60819	134
-905	55725	148
-895	88415	166
-885	68379	151
-875	88918	159
-865	116018	173
-855	71118	163
-845	80175	194
-835	79550	169
-825	72651	163
-815	87404	201
-805	82222	205
-795	90379	199
-785	82982	189
-775	88377	215
-765	86228	198
-755	85908	211
-745	91370	203
-735	80518	226
-725	88842	231
-715	108036	238
-705	98935	251
-695	100731	247
-685	99798	245
-675	107692	265
-665	110676	299
-655	109879	276
-645	113791	286
-635	119832	309
-625	109801	268
-615	121022	283
-605	128011	301
-595	125248	314
-585	127274	349
-575	165526	329
-565	165112	347
-555	140168	306
-545	139035	350
-535	148454	330
-525	150385	350
-515	171631	368
-505	161877	387
-495	145269	409
-485	173769	393
-475	160360	420
-465	181376	439
-455	150229	424
-445	229902	462
-435	249206	478
-425	178385	449
-415	207881	493
-405	237268	501
-395	226787	453
-385	201017	508
-375	215917	491
-365	219210	546
-355	249974	548
-345	306973	541
-335	236955	594
-325	247954	591
-315	267795	589
-305	296393	612
-295	243108	579
-285	276893	619
-275	261938	628
-265	304155	679
-255	239520	684
-245	296149	705
-235	264921	679
-225	280262	675
-215	299655	746
-205	294263	713
-195	267290	728
-185	285277	721
-175	309886	732
-165	296623	725
-155	229983	620
-145	231609	607
-135	251514	613
-125	263201	591
-115	273569	653
-105	247790	562
-95	174531	489
-85	160843	467
-75	135430	410
-65	112009	329
-55	103146	288
-45	73191	216
-35	79486	215
-25	65855	184
-15	48960	153
-5	38906	103
5	63435	197
15	57950	180
25	55330	166
35	47989	196
45	47520	172
55	65389	234
65	64977	215
75	60370	208
85	52532	175
95	70717	232
105	70485	205
115	74886	208
125	61158	177
135	75683	226
145	68054	181
155	85536	181
165	72215	185
175	66499	165
185	75294	176
195	72145	152
205	50539	151
215	70965	185
225	74150	189
235	66541	163
245	57673	159
255	78472	186
265	60277	173
275	59344	155
285	55946	169
295	50319	150
305	63138	142
315	59802	147
325	50737	145
335	61398	142
345	64956	131
355	44526	153
365	40869	130
375	89930	176
385	41887	141
395	48581	157
405	66700	148
415	47507	128
425	79142	145
435	43913	143
445	47130	108
455	35714	106
465	39580	121
475	37720	104
485	41958	116
495	46131	110
505	44263	116
515	37517	105
525	37758	114
535	31942	103
545	44725	134
555	45224	119
565	47434	129
575	52934	122
585	42352	135
595	37593	124
605	40590	113
615	32344	115
625	31784	96
635	44340	119
645	35060	110
655	42776	128
665	47968	117
675	38849	100
685	41002	113
695	43723	103
705	51901	125
715	52942	128
725	31939	114
735	41651	100
745	35486	127
755	43065	123
765	36125	127
775	32649	96
785	29296	91
795	33372	95
805	20186	84
815	28804	100
825	33775	92
835	34109	95
845	29217	95
855	31731	100
865	25015	89
875	26071	87
885	30549	74
895	24032	72
905	22355	91
915	21755	80
925	17392	70
935	31460	103
945	18179	85
955	37415	95
965	25411	75
975	17945	67
985	22673	87
995	27486	74
1005	6812	6
