rel_bp	reads_sum	sites_n
-995	2699	11
-985	2244	5
-975	3638	13
-965	910	9
-955	1982	10
-945	15736	14
-935	15781	7
-925	5369	12
-915	222	2
-905	207	4
-895	471	6
-885	1553	8
-875	5508	7
-865	3378	8
-855	3551	11
-845	4241	11
-835	428	4
-825	2379	10
-815	1035	8
-805	407	7
-795	611	3
-785	1849	13
-775	2338	7
-765	4532	12
-755	6405	11
-745	1938	7
-735	4133	8
-725	2540	13
-715	3643	6
-705	3929	15
-695	1255	8
-685	1019	7
-675	5134	11
-665	10517	12
-655	4756	14
-645	4048	9
-635	2652	6
-625	3282	12
-615	1044	7
-605	742	4
-595	2978	10
-585	6298	14
-575	3784	7
-565	4590	15
-555	5064	16
-545	4478	11
-535	3761	16
-525	5109	18
-515	4182	14
-505	3653	16
-495	4194	15
-485	7808	28
-475	11772	30
-465	6947	24
-455	9116	17
-445	660	14
-435	6876	18
-425	2476	13
-415	9297	26
-405	6633	21
-395	5731	17
-385	3008	12
-375	5922	17
-365	5885	24
-355	5118	26
-345	13384	29
-335	10327	27
-325	6569	27
-315	4463	17
-305	8042	35
-295	4491	18
-285	5069	23
-275	6675	36
-265	8972	21
-255	5135	24
-245	4061	19
-235	3101	17
-225	9747	29
-215	7034	15
-205	5148	20
-195	9197	25
-185	13691	23
-175	22098	31
-165	30667	54
-155	25798	54
-145	14939	41
-135	19980	62
-125	17084	54
-115	9776	44
-105	16677	27
-95	9635	15
-85	1650	10
-75	1178	5
-65	2534	11
-55	1434	8
-45	3273	12
-35	3499	13
-25	6152	19
-15	4361	35
-5	2324	15
5	12052	35
15	3927	22
25	6214	32
35	5063	17
45	1923	8
55	4535	24
65	10719	44
75	19476	61
85	27549	74
95	38323	89
105	19070	62
115	15517	52
125	21985	82
135	28064	52
145	22820	43
155	32253	50
165	9134	41
175	14795	42
185	14701	32
195	7782	26
205	6572	27
215	9900	25
225	12586	30
235	8503	23
245	6986	26
255	11535	31
265	12430	30
275	12219	28
285	14844	27
295	12697	34
305	8848	18
315	4515	13
325	6423	21
335	10496	24
345	15522	24
355	13909	25
365	5741	16
375	2561	13
385	10321	17
395	12375	12
405	24790	23
415	7836	23
425	13126	22
435	3178	15
445	4432	13
455	3197	28
465	7401	22
475	2199	17
485	7494	14
495	5563	11
505	825	4
515	8284	13
525	1562	10
535	975	6
545	2168	13
555	7543	18
565	1434	8
575	2917	7
585	3374	11
595	5872	10
605	5298	14
615	4511	11
625	1488	7
635	5294	9
645	4239	13
655	6472	11
665	2005	11
675	6400	20
685	5429	14
695	4468	8
705	5388	10
715	1245	4
725	2292	12
735	4472	7
745	712	4
755	619	7
765	828	7
775	642	5
785	2546	9
795	2062	10
805	1331	6
815	2558	11
825	3510	12
835	1794	8
845	5443	11
855	4485	11
865	2035	8
875	4156	14
885	2498	11
895	2827	12
905	1960	10
915	1466	6
925	3051	11
935	3154	9
945	1349	8
955	3816	16
965	1260	10
975	4198	8
985	5482	14
995	497	6
1005	1339	2
