bin_start_bp	mean_reads_across_arms	n_arms
0	3846.14	22
1000	6602.18	22
2000	9626.36	22
3000	2979.82	22
4000	8778.32	22
5000	5284.23	22
6000	6103.14	22
7000	3929	22
8000	3436.23	22
9000	4735.95	22
10000	4802.41	22
11000	2893.82	22
12000	2754.82	22
13000	4504.86	22
14000	1047.18	22
15000	2891.82	22
16000	4583	22
17000	3627.36	22
18000	3647.18	22
19000	1812.32	22
20000	2818.73	22
21000	5322.36	22
22000	4757.27	22
23000	6065	22
24000	2782.77	22
25000	2062.32	22
26000	3323	22
27000	2942.77	22
28000	4856.64	22
29000	3149.18	22
30000	8519.05	22
31000	2898.91	22
32000	2958.95	22
33000	1820.73	22
34000	2329.86	22
35000	1950.59	22
36000	3261.59	22
37000	3533.95	22
38000	1547.86	22
39000	1191.41	22
40000	3796.5	22
41000	1463.32	22
42000	4228.14	22
43000	3480.59	22
44000	2031.86	22
45000	3369.95	22
46000	1330.82	22
47000	1682.14	22
48000	2741.23	22
49000	2666.32	22
50000	3602.27	22
51000	1255	22
52000	2322.45	22
53000	3144.5	22
54000	8679.73	22
55000	22832.4	22
56000	6664.59	22
57000	8767.82	22
58000	8664.95	22
59000	4384.95	22
60000	4789.59	22
61000	9512.14	22
62000	3678.64	22
63000	35658.2	22
64000	1798.32	22
65000	1987.27	22
66000	2614.32	22
67000	2478.73	22
68000	1931.14	22
69000	2671.32	22
70000	1639.45	22
71000	3904.77	22
72000	2559.82	22
73000	1246.18	22
74000	1065.32	22
75000	839.364	22
76000	1764.09	22
77000	619.864	22
78000	482.818	22
79000	1374.27	22
80000	2311.36	22
81000	5487.86	22
82000	4267.45	22
83000	2462.82	22
84000	2004.41	22
85000	3542	22
86000	1963.27	22
87000	1753.14	22
88000	302.864	22
89000	1013.32	22
90000	966.045	22
91000	2426.41	22
92000	930	22
93000	1484.73	22
94000	1039.45	22
95000	297.909	22
96000	995.955	22
97000	1291	22
98000	4450	22
99000	15496.6	22
100000	2566.41	22
101000	1897.68	22
102000	1136.14	22
103000	1105.41	22
104000	1673.5	22
105000	2447.55	22
106000	701.227	22
107000	387	22
108000	1029.5	22
109000	1348.82	22
110000	808.955	22
111000	1703.5	22
112000	1178.23	22
113000	1645.14	22
114000	2075.36	22
115000	404.864	22
116000	1814.95	22
117000	1762.86	22
118000	1319.91	22
119000	1070.09	22
120000	1028.5	22
121000	675.545	22
122000	799.909	22
123000	1259.32	22
124000	537.273	22
125000	939.636	22
126000	354.045	22
127000	2319.73	22
128000	1939	22
129000	1182.41	22
130000	606.909	22
131000	236	22
132000	1601.36	22
133000	650.682	22
134000	493.227	22
135000	781	22
136000	983.864	22
137000	2259.32	22
138000	524.364	22
139000	588.818	22
140000	2237.09	22
141000	696.091	22
142000	891.727	22
143000	684.545	22
144000	809.318	22
145000	602.182	22
146000	708.182	22
147000	523.909	22
148000	644.682	22
149000	2059.05	22
150000	1687.5	22
151000	710.136	22
152000	624	22
153000	729.364	22
154000	1382.05	22
155000	1301.82	22
156000	735.364	22
157000	1479.91	22
158000	1524.73	22
159000	342.136	22
160000	433.636	22
161000	651.136	22
162000	991.818	22
163000	1516.5	22
164000	1677.55	22
165000	864.409	22
166000	1084.91	22
167000	1238.55	22
168000	1073.27	22
169000	1131.86	22
170000	1496.09	22
171000	896.727	22
172000	1437.45	22
173000	1199.68	22
174000	1856.86	22
175000	2226.68	22
176000	2871.23	22
177000	1006.59	22
178000	1154.68	22
179000	1680.73	22
180000	1718.23	22
181000	805.136	22
182000	1030.45	22
183000	617.727	22
184000	2082	22
185000	932.455	22
186000	1359.86	22
187000	867.909	22
188000	1104.36	22
189000	1718.14	22
190000	1118.32	22
191000	890.409	22
192000	1118.55	22
193000	433.5	22
194000	1477.36	22
195000	1798.45	22
196000	992.318	22
197000	1241.59	22
198000	1028.68	22
199000	1194.32	22
200000	1181.36	22
201000	2492.18	22
202000	793.091	22
203000	2618.59	22
204000	1001.77	22
205000	801.045	22
206000	1405.91	22
207000	744.455	22
208000	1410.91	22
209000	1111.86	22
210000	297.909	22
211000	682.545	22
212000	554.5	22
213000	665.727	22
214000	654.591	22
215000	736.318	22
216000	1001.77	22
217000	747.091	22
218000	307.045	22
219000	1162.05	22
220000	1104.64	22
221000	1539.82	22
222000	372.682	22
223000	846.409	22
224000	412.818	22
225000	815.455	22
226000	1225.64	22
227000	752.909	22
228000	188.682	22
229000	441.5	22
230000	1028.23	22
231000	78.9091	22
232000	682.818	22
233000	1020	22
234000	591.5	22
235000	389.136	22
236000	1436.14	22
237000	635.5	22
238000	86.8636	22
239000	867.5	22
240000	1508.41	22
241000	909.409	22
242000	310.5	22
243000	156.545	22
244000	365.364	22
245000	525.5	22
246000	2055.45	22
247000	2292.36	22
248000	1774.91	22
249000	1357.41	22
250000	436.091	22
251000	604.818	22
252000	644.818	22
253000	357.545	22
254000	673.409	22
255000	299.636	22
256000	771.455	22
257000	450.636	22
258000	996.909	22
259000	1875.68	22
260000	558.455	22
261000	568.727	22
262000	192.136	22
263000	625.5	22
264000	598.545	22
265000	1120.09	22
266000	1656.09	22
267000	338.136	22
268000	624.455	22
269000	388.773	22
270000	304.091	22
271000	89.4091	22
272000	769.636	22
273000	331.636	22
274000	165	22
275000	329.364	22
276000	101.409	22
277000	268.364	22
278000	654.773	22
279000	355.409	22
280000	630.955	22
281000	211.591	22
282000	306.682	22
283000	146.455	22
284000	549	22
285000	151.182	22
286000	211.818	22
287000	2010.27	22
288000	435.455	22
289000	500.273	22
290000	370.909	22
291000	404.864	22
292000	556.364	22
293000	239.864	22
294000	170.227	22
295000	288.455	22
296000	459.818	22
297000	210.636	22
298000	62	22
299000	431.5	22
300000	714.045	22
301000	579.455	22
302000	747.182	22
303000	1593.55	22
304000	651.136	22
305000	1135.95	22
306000	828.682	22
307000	431.545	22
308000	931.773	22
309000	935.364	22
310000	382.182	22
311000	557.273	22
312000	323.227	22
313000	723.909	22
314000	411.227	22
315000	1174.77	22
316000	795.818	22
317000	576.364	22
318000	1173.45	22
319000	1073.36	22
320000	547.455	22
321000	179.318	22
322000	614.091	22
323000	150.182	22
324000	318.955	22
325000	641.864	22
326000	197.955	22
327000	243.227	22
328000	1150.91	22
329000	871.455	22
330000	484.409	22
331000	597.818	22
332000	351.955	22
333000	448.545	22
334000	420.682	22
335000	506.091	22
336000	362.045	22
337000	430.136	22
338000	718.5	22
339000	396.727	22
340000	127.636	22
341000	217.5	22
342000	147.455	22
343000	542.318	22
344000	307.909	22
345000	165.136	22
346000	346	22
347000	975.227	22
348000	696.682	22
349000	922.545	22
350000	370.545	22
351000	1341.86	22
352000	485.909	22
353000	844.409	22
354000	1874.73	22
355000	1221.45	22
356000	800.091	22
357000	248.773	22
358000	934.273	22
359000	873.682	22
360000	347.455	22
361000	717.409	22
362000	666.227	22
363000	952.091	22
364000	1106.82	22
365000	740.455	22
366000	1391.82	22
367000	590.818	22
368000	283.273	22
369000	723.364	22
370000	463.273	22
371000	574.273	22
372000	649.773	22
373000	1026.95	22
374000	442.182	22
375000	430.455	22
376000	1304.45	22
377000	446.455	22
378000	986.591	22
379000	87.7273	22
380000	413.273	22
381000	1458.95	22
382000	855.136	22
383000	395.773	22
384000	967.455	22
385000	635	22
386000	386.045	22
387000	670.909	22
388000	1610.68	22
389000	2150.45	22
390000	919.091	22
391000	375.409	22
392000	73.9091	22
393000	150.455	22
394000	958.227	22
395000	1083.86	22
396000	1114.55	22
397000	605.364	22
398000	749.364	22
399000	965.773	22
400000	289.091	22
401000	364.409	22
402000	596.091	22
403000	24.7273	22
404000	1326.68	22
405000	266.909	22
406000	208.545	22
407000	256.955	22
408000	209.773	22
409000	144.591	22
410000	448.818	22
411000	771.545	22
412000	66.2273	22
413000	554.136	22
414000	217.864	22
415000	135.545	22
416000	406	22
417000	199.773	22
418000	146.5	22
419000	260.909	22
420000	167.227	22
421000	903.091	22
422000	166.909	22
423000	679.5	22
424000	722.318	22
425000	387.727	22
426000	135.136	22
427000	253.636	22
428000	310.682	22
429000	255.273	22
430000	127.5	22
431000	479.909	22
432000	306.545	22
433000	124.045	22
434000	260.773	22
435000	385	22
436000	570.636	22
437000	696.909	22
438000	249.182	22
439000	631.409	22
440000	343.091	22
441000	640.682	22
442000	333.636	22
443000	363.455	22
444000	679.955	22
445000	157.227	22
446000	394.409	22
447000	182.455	22
448000	215.409	22
449000	45.7273	22
450000	154.682	22
451000	299.545	22
452000	512.182	22
453000	547.727	22
454000	142.5	22
455000	345.636	22
456000	343.091	22
457000	729.091	22
458000	178.273	22
459000	510.273	22
460000	447.364	22
461000	692.818	22
462000	582.5	22
463000	1245.09	22
464000	331.045	22
465000	245.182	22
466000	147.955	22
467000	440	22
468000	573.409	22
469000	741.227	22
470000	875.909	22
471000	369.955	22
472000	192.409	22
473000	535.045	22
474000	379.818	22
475000	794.091	22
476000	561.727	22
477000	661.409	22
478000	520.409	22
479000	481.682	22
480000	333.591	22
481000	70.1364	22
482000	429.591	22
483000	488.318	22
484000	529.318	22
485000	470.955	22
486000	628.273	22
487000	714.455	22
488000	968.455	22
489000	240.727	22
490000	347	22
491000	124.773	22
492000	89.0909	22
493000	201.318	22
494000	240.591	22
495000	582.182	22
496000	1489.32	22
497000	130.273	22
498000	326.545	22
499000	44.7273	22
500000	338.5	22
