rel_bp	reads_sum	sites_n
-995	5658	11
-985	1155	7
-975	2107	8
-965	4411	4
-955	964	5
-945	10295	12
-935	19137	8
-925	18586	8
-915	1766	10
-905	873	6
-895	4770	5
-885	2236	8
-875	630	6
-865	1590	6
-855	2943	3
-845	1301	4
-835	6611	6
-825	8934	9
-815	5085	7
-805	1438	4
-795	1018	6
-785	2008	5
-775	3396	8
-765	2478	8
-755	3123	7
-745	3969	8
-735	1984	7
-725	5409	10
-715	5368	9
-705	5539	11
-695	1993	8
-685	518	4
-675	3453	8
-665	7600	8
-655	3439	12
-645	9205	10
-635	1510	2
-625	1913	12
-615	1958	10
-595	119	1
-585	4843	11
-575	3654	8
-565	1319	7
-555	7278	14
-545	3067	7
-535	10544	12
-525	2916	8
-515	3019	12
-505	3624	10
-495	4848	10
-485	25764	23
-475	11432	20
-465	2126	11
-455	9812	19
-445	3069	8
-435	6319	15
-425	760	8
-415	9957	11
-405	2001	13
-395	12306	19
-385	8626	11
-375	4262	12
-365	4495	13
-355	11223	13
-345	14040	11
-335	12117	11
-325	10561	22
-315	5617	8
-305	5799	20
-295	3592	14
-285	6051	17
-275	5985	15
-265	7818	12
-255	9150	16
-245	3447	8
-235	5169	7
-225	8617	12
-215	8235	18
-205	4787	11
-195	4183	16
-185	24708	22
-175	19747	20
-165	27695	36
-155	19099	44
-145	11288	45
-135	20632	39
-125	21515	35
-115	18765	39
-105	13741	23
-95	5353	4
-85	2983	4
-75	115	2
-65	1078	4
-55	1731	5
-45	484	4
-35	1789	10
-25	6722	13
-15	2977	14
-5	3044	6
5	2768	13
15	4098	14
25	7849	22
35	2641	7
45	3599	6
55	5740	16
65	9455	30
75	19197	36
85	30534	42
95	29063	58
105	17943	39
115	14535	35
125	30393	47
135	32111	35
145	23741	36
155	29905	39
165	15527	18
175	16894	30
185	9287	22
195	12707	22
205	7641	23
215	14337	17
225	13350	22
235	17780	22
245	6641	18
255	7220	24
265	12405	20
275	18988	28
285	17028	27
295	10903	23
305	8615	18
315	4139	12
325	10253	22
335	16061	16
345	17017	20
355	9091	11
365	9599	11
375	4300	10
385	12528	18
395	17498	14
405	25425	19
415	9890	18
425	13455	21
435	5525	18
445	8075	16
455	7884	14
465	10543	17
475	4725	10
485	3399	12
495	3963	9
505	663	2
515	5052	9
525	2908	9
535	6340	8
545	1296	7
555	9079	11
565	2057	6
575	2610	7
585	2753	6
595	6826	10
605	8335	15
615	2053	6
625	3442	12
635	5985	8
645	3579	7
655	7327	6
665	2459	5
675	7317	10
685	6872	12
695	4244	7
705	2569	8
715	2717	5
725	4655	5
735	1343	3
745	1270	5
755	1118	3
765	1178	4
775	1145	2
785	6213	7
795	2343	7
805	719	4
815	778	2
825	560	4
835	2868	4
845	7810	10
855	6053	12
865	905	5
875	8690	11
885	4044	8
895	1987	7
905	2341	6
915	2460	6
925	7272	6
935	487	6
945	1680	6
955	4824	11
965	2399	14
975	4515	9
985	4069	10
995	3504	9
