rel_bp	reads_sum	sites_n
-995	81274	114
-985	82439	132
-975	55455	113
-965	79776	116
-955	62733	107
-945	74110	126
-935	105341	132
-925	106239	115
-915	62463	123
-905	55234	119
-895	68806	118
-885	47744	103
-875	101914	125
-865	98932	112
-855	68346	102
-845	80845	135
-835	78082	104
-825	121291	155
-815	104138	131
-805	84899	122
-795	69283	124
-785	59460	113
-775	61590	110
-765	51540	114
-755	62184	119
-745	116630	123
-735	89539	115
-725	62452	111
-715	58281	112
-705	115327	133
-695	112519	135
-685	63069	118
-675	80431	117
-665	71829	110
-655	88699	115
-645	69213	126
-635	73807	94
-625	71637	98
-615	85517	128
-605	45169	126
-595	50311	107
-585	82252	113
-575	125176	141
-565	63541	97
-555	67390	113
-545	50391	119
-535	58127	109
-525	81571	121
-515	73484	115
-505	62129	108
-495	63832	106
-485	67253	121
-475	85004	126
-465	48214	98
-455	82869	121
-445	84993	124
-435	61986	119
-425	50990	92
-415	42262	98
-405	73925	130
-395	62718	125
-385	61728	100
-375	91545	125
-365	43293	102
-355	51024	112
-345	66732	105
-335	87174	126
-325	68740	98
-315	90846	110
-305	69205	98
-295	55905	111
-285	48147	94
-275	48105	95
-265	61721	101
-255	85048	107
-245	65379	117
-235	55827	109
-225	64168	112
-215	95090	141
-205	59985	107
-195	74896	143
-185	60055	143
-175	75265	122
-165	82966	161
-155	81326	156
-145	56054	111
-135	78922	117
-125	79544	118
-115	65782	114
-105	77351	118
-95	72059	132
-85	67904	131
-75	74571	137
-65	77594	135
-55	74161	141
-45	52134	131
-35	95572	149
-25	80984	142
-15	58989	153
-5	62280	117
5	76428	155
15	101713	174
25	88066	173
35	105333	209
45	130544	234
55	113272	218
65	102384	234
75	118854	239
85	113698	230
95	128115	241
105	127282	253
115	136955	248
125	162264	245
135	130975	263
145	190640	279
155	149304	281
165	131902	245
175	129051	269
185	129736	248
195	142452	280
205	135403	246
215	120429	270
225	126294	248
235	144855	286
245	140011	242
255	127596	236
265	135398	272
275	115655	221
285	123228	242
295	123251	234
305	114375	236
315	125149	214
325	122836	220
335	98087	228
345	122608	225
355	122303	201
365	99513	191
375	125550	215
385	146976	198
395	88954	187
405	75794	162
415	89120	186
425	84587	164
435	85730	164
445	113691	156
455	81346	152
465	78618	156
475	82852	144
485	97948	142
495	58515	117
505	70355	139
515	87527	138
525	96898	177
535	116131	152
545	59546	120
555	59007	122
565	84216	135
575	89170	139
585	62031	108
595	79468	129
605	98711	128
615	41666	97
625	56320	124
635	67248	139
645	62125	127
655	67273	117
665	79461	98
675	66477	103
685	74757	104
695	49745	85
705	53941	96
715	39476	97
725	45515	98
735	44729	97
745	81155	89
755	47773	91
765	57715	102
775	47901	91
785	45101	73
795	45411	79
805	53943	78
815	71108	80
825	52866	95
835	49878	81
845	42142	85
855	44028	79
865	42663	81
875	39916	65
885	47825	74
895	40810	81
905	50239	75
915	27836	64
925	36096	64
935	33968	72
945	28819	55
955	39335	74
965	29003	56
975	29728	54
985	26359	55
995	26817	49
1005	2756	6
