bin_start_bp	mean_reads_across_arms	n_arms
0	3890.5	22
1000	6364.95	22
2000	11560	22
3000	3390.05	22
4000	9671.77	22
5000	7847.73	22
6000	6191.14	22
7000	4929.73	22
8000	2875.45	22
9000	5944.18	22
10000	4176.59	22
11000	3069.77	22
12000	3031.5	22
13000	5572.73	22
14000	1621.45	22
15000	2610.64	22
16000	4415.86	22
17000	3829.41	22
18000	4694.32	22
19000	2497.5	22
20000	2928.27	22
21000	5593.41	22
22000	5047.18	22
23000	7951.27	22
24000	2718	22
25000	2534.27	22
26000	4331.41	22
27000	2567.05	22
28000	4671.5	22
29000	2905.64	22
30000	7053.41	22
31000	3920.68	22
32000	3338.55	22
33000	1817.82	22
34000	3049.73	22
35000	2867.64	22
36000	2447.14	22
37000	3661.41	22
38000	1834.5	22
39000	1853.64	22
40000	4049.91	22
41000	1347.68	22
42000	6511.14	22
43000	4200.86	22
44000	2617.14	22
45000	3857.27	22
46000	1896.09	22
47000	1458.91	22
48000	4062	22
49000	2823.36	22
50000	4244.55	22
51000	1703.82	22
52000	2563.5	22
53000	3698.45	22
54000	2624.68	22
55000	2034.59	22
56000	2016.32	22
57000	1842.91	22
58000	1971.09	22
59000	1866.59	22
60000	2624.86	22
61000	3089.14	22
62000	2016.05	22
63000	3957.95	22
64000	1530.77	22
65000	2650.32	22
66000	3192.5	22
67000	2542.73	22
68000	2331.41	22
69000	2535.59	22
70000	1116.86	22
71000	4385.95	22
72000	2740.05	22
73000	1239.27	22
74000	937.045	22
75000	748.909	22
76000	1343.95	22
77000	641	22
78000	800.364	22
79000	2051.32	22
80000	1649.05	22
81000	7221.32	22
82000	5171.91	22
83000	3284.05	22
84000	2727.14	22
85000	2982.09	22
86000	2786.14	22
87000	2309.68	22
88000	373	22
89000	1298.77	22
90000	1510.05	22
91000	2762.45	22
92000	1727.95	22
93000	1236.5	22
94000	1056.23	22
95000	172.773	22
96000	1398.77	22
97000	778.955	22
98000	1704.32	22
99000	4035.82	22
100000	2157.64	22
101000	1719.86	22
102000	1262.5	22
103000	1024.14	22
104000	1840.55	22
105000	2487.27	22
106000	862.273	22
107000	550.545	22
108000	1126.05	22
109000	1887.55	22
110000	1135.32	22
111000	2112.27	22
112000	924.955	22
113000	1654.18	22
114000	1891.45	22
115000	237.727	22
116000	1076.32	22
117000	1926.95	22
118000	1228.68	22
119000	1131	22
120000	1177.55	22
121000	497.364	22
122000	1196.73	22
123000	980.318	22
124000	322.955	22
125000	1867.41	22
126000	272.227	22
127000	2573.36	22
128000	1819.32	22
129000	1453.09	22
130000	1289.82	22
131000	387.955	22
132000	2228.86	22
133000	1122.55	22
134000	541.682	22
135000	470.136	22
136000	1899.23	22
137000	2900.73	22
138000	861.591	22
139000	699.727	22
140000	2153.5	22
141000	487.5	22
142000	863.455	22
143000	496.636	22
144000	523.273	22
145000	528.636	22
146000	1050.32	22
147000	508.045	22
148000	1430.86	22
149000	1614.82	22
150000	2235.55	22
151000	873.136	22
152000	784.409	22
153000	845	22
154000	1450.5	22
155000	1176.5	22
156000	719.591	22
157000	1198.91	22
158000	1325.86	22
159000	654.636	22
160000	625.182	22
161000	1014.73	22
162000	1262.5	22
163000	1471.23	22
164000	1916.27	22
165000	664.227	22
166000	1555.55	22
167000	2185.36	22
168000	1076.45	22
169000	1579.27	22
170000	1590.09	22
171000	961.773	22
172000	1147.05	22
173000	1128.5	22
174000	1771.36	22
175000	3058.82	22
176000	2519.41	22
177000	1091.59	22
178000	912.455	22
179000	1917.77	22
180000	1387.91	22
181000	616.455	22
182000	1025.09	22
183000	683.182	22
184000	1661.82	22
185000	814.773	22
186000	1457.55	22
187000	896.091	22
188000	735.364	22
189000	1950.14	22
190000	1418.5	22
191000	1062.77	22
192000	906.182	22
193000	519.5	22
194000	1471.59	22
195000	1104.73	22
196000	1703.73	22
197000	1115.27	22
198000	984.182	22
199000	974.409	22
200000	1079.59	22
201000	1681.77	22
202000	981.318	22
203000	2270.95	22
204000	1309.64	22
205000	876.409	22
206000	942.818	22
207000	392.636	22
208000	1048.05	22
209000	1031.41	22
210000	494.591	22
211000	889.727	22
212000	734.318	22
213000	841.591	22
214000	1059.91	22
215000	881.909	22
216000	1087.73	22
217000	642.818	22
218000	612.409	22
219000	617.545	22
220000	1669.82	22
221000	1310.36	22
222000	510.455	22
223000	1392.27	22
224000	294.5	22
225000	880.727	22
226000	1026.55	22
227000	357.455	22
228000	14.1818	22
229000	471.409	22
230000	474.955	22
231000	279.409	22
232000	588.955	22
233000	1024.86	22
234000	745.682	22
235000	466.273	22
236000	1167.86	22
237000	763.955	22
238000	197.091	22
239000	557.091	22
240000	1766.86	22
241000	603.682	22
242000	216.818	22
243000	222.045	22
244000	250.727	22
245000	566.636	22
246000	375.136	22
247000	843.136	22
248000	1293.64	22
249000	878.455	22
250000	376	22
251000	777.364	22
252000	438.773	22
253000	316.227	22
254000	1217.77	22
255000	335.045	22
256000	628.409	22
257000	879.955	22
258000	1651.45	22
259000	2672.14	22
260000	600.136	22
261000	430	22
262000	319.591	22
263000	1167.95	22
264000	350.409	22
265000	949.864	22
266000	1688.73	22
267000	755.682	22
268000	611.727	22
269000	283	22
270000	245.273	22
271000	448.091	22
272000	572.136	22
273000	571.364	22
274000	227.273	22
275000	373.091	22
276000	227.045	22
277000	442.909	22
278000	1087.55	22
279000	588.364	22
280000	526.727	22
281000	503.909	22
282000	149.955	22
283000	244.409	22
284000	356.955	22
285000	217.5	22
286000	394.136	22
287000	2843.18	22
288000	282.636	22
289000	243.864	22
290000	698.818	22
291000	795.318	22
292000	242.227	22
293000	279.273	22
294000	226.591	22
295000	211.455	22
296000	377	22
297000	134.545	22
298000	177.091	22
299000	435.045	22
300000	722	22
301000	758.773	22
302000	891.909	22
303000	1262.77	22
304000	389.273	22
305000	932.5	22
306000	692.864	22
307000	733.682	22
308000	972.045	22
309000	844.773	22
310000	370.727	22
311000	626	22
312000	324.273	22
313000	1051.14	22
314000	485.727	22
315000	1019.55	22
316000	1206.27	22
317000	630	22
318000	1252.45	22
319000	651.955	22
320000	369.955	22
321000	316.864	22
322000	831.818	22
323000	322.864	22
324000	228.545	22
325000	473.045	22
326000	520.864	22
327000	254.636	22
328000	888.182	22
329000	631.636	22
330000	460.455	22
331000	498.5	22
332000	614.955	22
333000	443.818	22
334000	344.273	22
335000	278.545	22
336000	224.409	22
337000	480.455	22
338000	409.955	22
339000	786.727	22
340000	520.955	22
341000	358.545	22
342000	431.091	22
343000	1216.64	22
344000	470.045	22
345000	148.955	22
346000	757.455	22
347000	1458.18	22
348000	739.045	22
349000	594.136	22
350000	386.545	22
351000	1641.73	22
352000	579.364	22
353000	1016.41	22
354000	1586.05	22
355000	1303.55	22
356000	825	22
357000	196.955	22
358000	511.182	22
359000	823.818	22
360000	605.136	22
361000	454.364	22
362000	467.136	22
363000	1374.5	22
364000	1230.64	22
365000	1446.36	22
366000	1537.18	22
367000	1438.09	22
368000	615.909	22
369000	586.545	22
370000	351.864	22
371000	817.864	22
372000	366.682	22
373000	1405	22
374000	555.636	22
375000	465.955	22
376000	1583.45	22
377000	324.773	22
378000	1098.09	22
379000	238.909	22
380000	437.955	22
381000	1129.32	22
382000	659.227	22
383000	673.591	22
384000	1116.23	22
385000	620.136	22
386000	364.409	22
387000	504.364	22
388000	1266.82	22
389000	1655.41	22
390000	1049.68	22
391000	475.182	22
392000	61.2727	22
393000	163.455	22
394000	1273.86	22
395000	1735.68	22
396000	1137.32	22
397000	613.636	22
398000	1087.23	22
399000	880.182	22
400000	250.227	22
401000	222.227	22
402000	569.5	22
403000	165.318	22
404000	1736.68	22
405000	398.682	22
406000	365	22
407000	428.045	22
408000	130.455	22
409000	107.364	22
410000	457.773	22
411000	523	22
412000	303.636	22
413000	663.5	22
414000	370.364	22
415000	326.727	22
416000	816.045	22
417000	134.364	22
418000	345.409	22
419000	309.318	22
420000	176.545	22
421000	1267.82	22
422000	94.5	22
423000	682.318	22
424000	529.5	22
425000	214.955	22
426000	243.455	22
427000	355	22
428000	592.182	22
429000	19.0455	22
430000	135.682	22
431000	428.136	22
432000	209.455	22
433000	186.409	22
434000	467.591	22
435000	415.136	22
436000	324.955	22
437000	505.818	22
438000	278.591	22
439000	661.5	22
440000	494.773	22
441000	417.5	22
