bin_start_bp	mean_reads_across_arms	n_arms
0	7910.68	22
1000	11305.3	22
2000	19709.5	22
3000	6177.95	22
4000	15383.1	22
5000	12765.8	22
6000	10848.7	22
7000	8667.82	22
8000	5109.73	22
9000	10100.1	22
10000	7415.41	22
11000	5092.64	22
12000	4492.27	22
13000	8187.59	22
14000	5129.82	22
15000	5392.82	22
16000	8741.09	22
17000	6909.77	22
18000	7520.23	22
19000	3280	22
20000	5096.73	22
21000	9620.14	22
22000	8016.18	22
23000	12746.8	22
24000	5551.14	22
25000	2948.32	22
26000	6635.41	22
27000	5560.91	22
28000	10545.4	22
29000	6020.73	22
30000	9490.68	22
31000	6789.64	22
32000	6238.18	22
33000	3386.18	22
34000	6480.86	22
35000	7226.59	22
36000	4345.95	22
37000	6369.41	22
38000	3371.05	22
39000	3055.59	22
40000	6557.23	22
41000	4293.32	22
42000	7815.27	22
43000	6344.05	22
44000	3972.27	22
45000	8291.05	22
46000	3102.18	22
47000	2941.86	22
48000	5760.73	22
49000	5330.23	22
50000	8324.95	22
51000	2925.32	22
52000	4517.95	22
53000	6046.5	22
54000	3731.18	22
55000	3174.32	22
56000	3455.36	22
57000	3528.32	22
58000	3298.86	22
59000	3938.27	22
60000	4393.77	22
61000	4682.41	22
62000	4352.09	22
63000	4618.18	22
64000	2887.82	22
65000	4690.82	22
66000	5333.05	22
67000	4483.73	22
68000	4944.45	22
69000	4501.91	22
70000	2002.64	22
71000	6733.59	22
72000	5486.64	22
73000	2130.27	22
74000	1838.05	22
75000	1510.5	22
76000	2717.5	22
77000	1607.41	22
78000	1289	22
79000	3291.41	22
80000	3336.55	22
81000	10057.6	22
82000	8794.86	22
83000	5891.55	22
84000	4146.59	22
85000	5579.45	22
86000	4196.36	22
87000	3008.64	22
88000	823.955	22
89000	2255.18	22
90000	2948.64	22
91000	3876.64	22
92000	2718.23	22
93000	2134.91	22
94000	1933.73	22
95000	730.455	22
96000	2009.36	22
97000	1326.77	22
98000	3328.32	22
99000	4550.27	22
100000	3311.5	22
101000	2886	22
102000	2562.14	22
103000	1188.73	22
104000	3190.23	22
105000	5115.5	22
106000	1170.59	22
107000	1148.73	22
108000	2425.59	22
109000	4117	22
110000	2544.23	22
111000	2728.41	22
112000	1786.45	22
113000	3399.09	22
114000	3254.77	22
115000	1016.5	22
116000	2830.55	22
117000	2794.73	22
118000	2521.73	22
119000	2280.91	22
120000	1770.59	22
121000	1168.32	22
122000	1109.86	22
123000	1693.41	22
124000	865.318	22
125000	3538.73	22
126000	699.682	22
127000	4294.64	22
128000	3497.36	22
129000	3369.77	22
130000	1599.64	22
131000	774.455	22
132000	2674.64	22
133000	2110.86	22
134000	1027.14	22
135000	1032.45	22
136000	2330.09	22
137000	3122.95	22
138000	1056.41	22
139000	1369.45	22
140000	3967.5	22
141000	1683.36	22
142000	1664.91	22
143000	1473.27	22
144000	1030.05	22
145000	973.045	22
146000	1218	22
147000	1407.91	22
148000	1462.27	22
149000	2070.5	22
150000	3552	22
151000	1270.64	22
152000	1697.5	22
153000	1561.36	22
154000	2859.36	22
155000	2078.05	22
156000	1129.64	22
157000	2982.23	22
158000	2515.68	22
159000	809.182	22
160000	1450	22
161000	1172.68	22
162000	1773.09	22
163000	2481	22
164000	2899.91	22
165000	1502.05	22
166000	1931.09	22
167000	3173.68	22
168000	1964.82	22
169000	2847.77	22
170000	2252.18	22
171000	1146.59	22
172000	2034.55	22
173000	2483.55	22
174000	3933.36	22
175000	5332.32	22
176000	3085.77	22
177000	1679.73	22
178000	1743.95	22
179000	3107.23	22
180000	2554.95	22
181000	1491.86	22
182000	2557.95	22
183000	1147.05	22
184000	3509.36	22
185000	1695.77	22
186000	2323.86	22
187000	1697.45	22
188000	1376.73	22
189000	3208.23	22
190000	2168.73	22
191000	1639.32	22
192000	1347.68	22
193000	1410.14	22
194000	2663.18	22
195000	1949.18	22
196000	3073.64	22
197000	2587.5	22
198000	1536.77	22
