rel_bp	reads_sum	sites_n
-995	78161	180
-985	67568	179
-975	70678	183
-965	64938	197
-955	64435	182
-945	70031	192
-935	80926	211
-925	94692	196
-915	102730	200
-905	79843	213
-895	110685	220
-885	88660	208
-875	114341	230
-865	149934	229
-855	95936	220
-845	102037	271
-835	90894	237
-825	115188	236
-815	114959	284
-805	124314	294
-795	118148	287
-785	108017	282
-775	112646	301
-765	107557	273
-755	129669	303
-745	129885	282
-735	101269	309
-725	129658	319
-715	150246	330
-705	148265	337
-695	135958	344
-685	138997	340
-675	156335	353
-665	144380	395
-655	164089	367
-645	176692	398
-635	155618	408
-625	152337	392
-615	156434	390
-605	179130	436
-595	184910	443
-585	183960	481
-575	260438	443
-565	230701	469
-555	211630	429
-545	187246	499
-535	204106	454
-525	231111	470
-515	247828	525
-505	232608	550
-495	192412	544
-485	241532	553
-475	220776	573
-465	251529	597
-455	196820	580
-445	328829	651
-435	335027	685
-425	252692	647
-415	287243	678
-405	311629	679
-395	321736	626
-385	273456	719
-375	291485	702
-365	331212	758
-355	343336	751
-345	399307	789
-335	298215	800
-325	332739	815
-315	348348	813
-305	384239	812
-295	336191	823
-285	323988	887
-275	371919	880
-265	378346	948
-255	324762	921
-245	401608	959
-235	366643	925
-225	357117	931
-215	404141	1040
-205	392797	992
-195	359874	975
-185	399596	989
-175	395030	1038
-165	385289	997
-155	336370	884
-145	312097	869
-135	349771	879
-125	334974	849
-115	387984	914
-105	369721	847
-95	274196	716
-85	207546	667
-75	194046	606
-65	172066	472
-55	133457	407
-45	109454	318
-35	99338	315
-25	81348	275
-15	63120	224
-5	62402	175
5	82968	273
15	61382	244
25	77961	249
35	71096	277
45	81894	288
55	98418	332
65	106430	342
75	78546	320
85	79454	275
95	82310	326
105	121656	322
115	95728	292
125	101853	274
135	89504	308
145	100523	263
155	122159	265
165	107083	268
175	82465	251
185	120977	253
195	103788	242
205	76699	219
215	104258	274
225	85853	264
235	102612	246
245	92508	276
255	102580	273
265	88813	256
275	91143	239
285	66781	226
295	86882	199
305	79913	198
315	84167	201
325	84304	202
335	84589	208
345	109854	202
355	71829	209
365	62994	202
375	119419	242
385	70521	205
395	80762	231
405	85701	205
415	67644	187
425	105568	208
435	68757	209
445	57477	164
455	45775	148
465	72548	192
475	61784	149
485	67746	158
495	72536	168
505	63862	183
515	54140	159
525	57603	176
535	42562	165
545	70761	203
555	75360	181
565	65857	199
575	77509	194
585	64831	185
595	70414	175
605	61149	172
615	60434	163
625	52776	146
635	51133	161
645	62817	168
655	49816	181
665	52687	170
675	62648	143
685	66919	149
695	67807	155
705	75028	183
715	77593	209
725	51972	170
735	65296	162
745	41297	181
755	64363	189
765	43556	179
775	42236	149
785	36911	132
795	41992	146
805	39242	137
815	35396	140
825	43184	130
835	49892	133
845	39875	147
855	44134	152
865	41921	130
875	36245	132
885	40492	125
895	35743	129
905	33583	132
915	34910	116
925	24492	108
935	33614	145
945	28625	132
955	39735	136
965	42135	117
975	30502	103
985	35144	119
995	32859	109
1005	6874	13
