rel_bp	reads_sum	sites_n
-995	64779	165
-985	56210	144
-975	63592	150
-965	82152	154
-955	41258	134
-945	86518	184
-935	99159	170
-925	74888	148
-915	58128	167
-905	57262	157
-895	64792	173
-885	55047	165
-875	76593	157
-865	87849	168
-855	42162	150
-845	63676	162
-835	67927	156
-825	90238	167
-815	92306	184
-805	71990	167
-795	67478	164
-785	56979	145
-775	46687	144
-765	62912	146
-755	54957	158
-745	84078	187
-735	58812	158
-725	50660	144
-715	66304	143
-705	88938	172
-695	83128	170
-685	58652	141
-675	64320	138
-665	68208	178
-655	73990	188
-645	61738	166
-635	50230	146
-625	41482	144
-615	58277	155
-605	59437	169
-595	52061	153
-585	67306	161
-575	87198	192
-565	48942	144
-555	50921	164
-545	52850	151
-535	39559	141
-525	49445	164
-515	52827	175
-505	42389	148
-495	48754	139
-485	52366	160
-475	48790	144
-465	55813	169
-455	67084	162
-445	59131	158
-435	53473	141
-425	39797	134
-415	43714	141
-405	64824	167
-395	43527	136
-385	52169	177
-375	49074	154
-365	41498	135
-355	55383	144
-345	49260	144
-335	57977	148
-325	65624	154
-315	77857	193
-305	63409	166
-295	54426	172
-285	37322	122
-275	48143	154
-265	36125	127
-255	59962	159
-245	43319	143
-235	47465	152
-225	47637	162
-215	69116	175
-205	58128	150
-195	67177	178
-185	48572	169
-175	60737	179
-165	60475	186
-155	63342	202
-145	55367	159
-135	72855	166
-125	63329	158
-115	53892	162
-105	75345	200
-95	53032	177
-85	58239	192
-75	62854	175
-65	74247	179
-55	75061	223
-45	59772	213
-35	74214	216
-25	88166	228
-15	61485	221
-5	52406	160
5	86693	235
15	77960	236
25	100650	297
35	105474	315
45	110956	346
55	93223	305
65	91960	311
75	84046	307
85	94151	345
95	96990	350
105	115838	372
115	110344	336
125	155195	372
135	144736	415
145	250898	424
155	118174	380
165	111241	363
175	106690	355
185	130226	338
195	118115	370
205	115769	344
215	103895	346
225	128384	385
235	121502	335
245	109086	327
255	129780	362
265	127304	345
275	137926	353
285	118277	341
295	111789	305
305	129006	304
315	108760	324
325	95726	283
335	106761	310
345	102947	295
355	107796	278
365	75514	266
375	117887	288
385	87904	236
395	65129	217
405	63785	195
415	66603	220
425	78007	221
435	77350	215
445	106265	224
455	79473	222
465	70250	218
475	66038	198
485	70861	197
495	48137	183
505	69319	201
515	74474	168
525	80825	200
535	88038	192
545	67028	178
555	72468	182
565	70057	182
575	99261	212
585	59494	173
595	62128	168
605	84889	174
615	38405	145
625	58795	156
635	48568	163
645	51990	169
655	51618	134
665	48912	117
675	53037	134
685	59130	163
695	43899	117
705	45275	125
715	41313	137
725	34168	112
735	37563	137
745	72519	136
755	46099	119
765	45384	120
775	46421	131
785	36617	105
795	40714	118
805	40573	109
815	63866	109
825	42625	104
835	39144	112
845	33573	106
855	34833	81
865	34598	99
875	37671	97
885	44282	103
895	39342	119
905	33485	71
915	29303	85
925	29949	85
935	34466	91
945	28831	74
955	23832	72
965	39984	80
975	34204	80
985	29720	91
995	19512	71
1005	2153	7
