rel_bp	reads_sum	sites_n
-995	26585	65
-985	36658	65
-975	46499	56
-965	44793	70
-955	27835	67
-945	51029	70
-935	41997	69
-925	52754	74
-915	53865	84
-905	34945	70
-895	41917	89
-885	44911	64
-875	74117	89
-865	66382	89
-855	53603	85
-845	59849	97
-835	51619	71
-825	44278	85
-815	70836	111
-805	78026	107
-795	56351	116
-785	79897	116
-775	64952	98
-765	80470	106
-755	72455	107
-745	71246	126
-735	66453	106
-725	81548	130
-715	91345	99
-705	73179	124
-695	80900	132
-685	77774	129
-675	76755	122
-665	81010	167
-655	99507	165
-645	87997	125
-635	94871	144
-625	90450	134
-615	97104	154
-605	65094	145
-595	90664	143
-585	94410	168
-575	123735	161
-565	164575	167
-555	155503	162
-545	127114	175
-535	118904	172
-525	114906	155
-515	142298	173
-505	116384	189
-495	123748	183
-485	170949	200
-475	749839	227
-465	132516	221
-455	112494	202
-445	181397	217
-435	171640	232
-425	134872	229
-415	153935	230
-405	190263	244
-395	196886	258
-385	148815	237
-375	180367	285
-365	183391	282
-355	188572	279
-345	226406	288
-335	161327	265
-325	202504	292
-315	192853	294
-305	198764	305
-295	181551	300
-285	181286	296
-275	184736	298
-265	195002	317
-255	150515	305
-245	216427	329
-235	175619	303
-225	194089	320
-215	192858	360
-205	227643	339
-195	175406	355
-185	190144	331
-175	207730	348
-165	178809	330
-155	156807	285
-145	136833	242
-135	174038	287
-125	171796	317
-115	195257	304
-105	193842	276
-95	148162	245
-85	187932	220
-75	211161	167
-65	81950	135
-55	96800	130
-45	62870	102
-35	71649	104
-25	50921	80
-15	39209	73
-5	25490	63
5	47461	95
15	38131	75
25	26851	64
35	40455	87
45	37150	80
55	51129	103
65	56120	103
75	61115	102
85	50851	79
95	66842	100
105	62990	112
115	92789	116
125	44036	96
135	64200	92
145	44061	77
155	59591	82
165	44834	82
175	46941	76
185	50216	87
195	40924	71
205	36729	77
215	49219	82
225	68165	88
235	42760	78
245	53108	69
255	48725	97
265	40681	85
275	43320	65
285	62462	84
295	31951	60
305	26623	53
315	44903	70
325	36395	61
335	28943	55
345	33824	56
355	47851	58
365	32274	66
375	75036	88
385	41834	63
395	25683	57
405	43552	68
415	65005	68
425	57474	76
435	24210	44
445	29637	48
455	21647	39
465	37809	56
475	23736	50
485	21763	46
495	36474	51
505	30661	55
515	31098	54
525	35697	52
535	33764	57
545	30571	59
555	36104	53
565	33784	53
575	59782	57
585	21901	52
595	34823	55
605	21352	58
615	30457	49
625	30155	49
635	36310	48
645	33707	46
655	35372	55
665	25064	41
675	34939	56
685	42733	62
695	47024	57
705	40390	63
715	33215	64
725	32976	50
735	36942	42
745	34802	44
755	26910	49
765	37310	55
775	16633	43
785	13730	33
795	34105	56
805	15504	39
815	17992	39
825	26337	44
835	29624	42
845	34139	59
855	20438	42
865	11351	33
875	21298	48
885	32647	38
895	34495	44
905	18487	33
915	32962	45
925	16117	37
935	22043	35
945	11489	29
955	22637	41
965	23749	36
975	21718	37
985	21375	38
995	24880	35
1005	32	4
