stage,branch,status,completed,expected,successful,failed,skipped,blocked_reason,primary_output,manifest,last_updated,message
project_config,setup,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/config/project.yaml,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/config/project.yaml,,
reference,setup,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/resources/species/glabrata/reference_genome/GCA_014217725.1_ASM1421772v1_genomic.fna,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/config/reference_resolved.json,2026-08-05T17:30:06.734501+00:00,
mapfastq,core,imported_or_not_required,8,8,0,0,8,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/mapfastq,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/manifests/mapfastq/mapfastq_status.csv,2026-08-14T23:11:23.995527+00:00,
create_hit_file,core,imported_success,8,8,0,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/manifests/create_hit_file/create_hit_file_status.csv,2026-08-14T23:11:24.060523+00:00,
summary,core,success,8,8,2,0,6,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/summary,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/manifests/summary/summary_status.csv,2026-08-14T23:11:24.513496+00:00,
library_diagnostics,qc,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/library_diagnostics,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/manifests/library_diagnostics/library_diagnostics_status.csv,2026-08-14T23:11:24.656487+00:00,
sample_normalization,classifier,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/sample_normalization,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/manifests/sample_normalization/sample_normalization_status.csv,2026-08-14T23:11:24.705485+00:00,Available targets: T102400
summary_normalized,classifier,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/summary_normalized,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/manifests/summary_normalized/summary_normalized_status.csv,2026-08-14T23:11:24.971469+00:00,Available targets: T102400
combined_hits,classifier,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/combined_hits,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/manifests/combined_hits/combined_hits_status.csv,2026-08-14T23:11:25.025466+00:00,Available targets: T102400
summary_combined,classifier,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/summary_combined,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/manifests/summary_combined/summary_combined_status.csv,2026-08-14T23:11:25.074462+00:00,Available targets: T102400
classifier,classifier,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/classifier,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/manifests/classifier/classifier_status.csv,2026-08-14T23:11:25.117460+00:00,Available targets: T102400
comparison_design,fitness,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/config/comparison_design.csv,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/config/comparison_design_issues.csv,,
treated_vs_parent,fitness,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/treated_vs_parent,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/manifests/treated_vs_parent/treated_vs_parent_status.csv,2026-08-14T23:11:25.164457+00:00,Available analysis IDs: H2O2_vs_parent
