Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048230.1-0,2,1215
CP048230.1-1,2,1216
CP048230.1-2,0,1240
CP048230.1-3,29,524
CP048230.1-4,35,427
CP048230.1-5,77,108
CP048230.1-6,77,109
CP048230.1-7,157,18
CP048230.1-8,66,153
CP048230.1-9,153,21
CP048230.1-10,52,235
CP048230.1-11,11,1024
CP048230.1-12,135,29
CP048230.1-13,53,226
CP048230.1-14,112,46
CP048230.1-15,42,340
CP048230.1-16,40,368
CP048230.1-17,48,277
CP048230.1-18,109,48
CP048230.1-19,46,297
CP048230.1-20,42,341
CP048230.1-21,13,963
CP048230.1-22,3,1199
CP048230.1-23,45,304
CP048230.1-24,15,913
CP048230.1-25,52,236
CP048230.1-26,63,166
CP048230.1-27,48,278
CP048230.1-28,16,888
CP048230.1-29,21,742
CP048230.1-30,3,1200
CP048230.1-31,12,994
CP048230.1-32,31,499
CP048230.1-33,37,403
CP048230.1-34,44,315
CP048230.1-35,44,316
CP048230.1-36,17,858
CP048230.1-37,40,369
CP048230.1-38,21,743
CP048230.1-39,14,935
CP048230.1-40,20,772
CP048230.1-41,33,464
CP048230.1-42,14,936
CP048230.1-43,37,404
CP048230.1-44,67,147
CP048230.1-45,22,711
CP048230.1-46,24,653
CP048230.1-47,36,417
CP048230.1-48,35,428
CP048230.1-49,5,1157
CP048230.1-50,3,1201
CP048231.1-0,0,1241
CP048231.1-1,22,712
CP048231.1-2,25,628
CP048231.1-3,47,291
CP048231.1-4,41,354
CP048231.1-5,42,342
CP048231.1-6,30,516
CP048231.1-7,54,217
CP048231.1-8,35,429
CP048231.1-9,76,111
CP048231.1-10,23,675
CP048231.1-11,23,676
CP048231.1-12,5,1158
CP048231.1-13,20,773
CP048231.1-14,24,654
CP048231.1-15,17,859
CP048231.1-16,13,964
CP048231.1-17,18,826
CP048231.1-18,17,860
CP048231.1-19,18,827
CP048231.1-20,21,744
CP048231.1-21,10,1044
CP048231.1-22,28,549
CP048231.1-23,71,128
CP048231.1-24,29,525
CP048231.1-25,42,343
CP048231.1-26,40,370
CP048231.1-27,68,139
CP048231.1-28,98,53
CP048231.1-29,126,36
CP048231.1-30,83,92
CP048231.1-31,20,774
CP048231.1-32,15,914
CP048231.1-33,12,995
CP048231.1-34,50,260
CP048231.1-35,162,15
CP048231.1-36,21,745
CP048231.1-37,112,47
CP048231.1-38,167,13
CP048231.1-39,35,430
CP048231.1-40,45,305
CP048231.1-41,102,52
CP048231.1-42,81,100
CP048231.1-43,64,162
CP048231.1-44,175,10
CP048231.1-45,131,33
CP048231.1-46,77,110
CP048231.1-47,177,9
CP048231.1-48,146,25
CP048231.1-49,12,996
CP048231.1-50,0,1242
CP048231.1-51,3,1202
CP048232.1-0,0,1243
CP048232.1-1,9,1065
CP048232.1-2,22,713
CP048232.1-3,33,465
CP048232.1-4,29,526
CP048232.1-5,39,380
CP048232.1-6,24,655
CP048232.1-7,31,500
CP048232.1-8,22,714
CP048232.1-9,8,1090
CP048232.1-10,32,481
CP048232.1-11,23,677
CP048232.1-12,10,1045
CP048232.1-13,17,861
CP048232.1-14,23,678
CP048232.1-15,25,629
CP048232.1-16,57,197
CP048232.1-17,12,997
CP048232.1-18,49,266
CP048232.1-19,42,344
CP048232.1-20,15,915
CP048232.1-21,23,679
CP048232.1-22,26,599
CP048232.1-23,62,174
CP048232.1-24,79,103
CP048232.1-25,13,965
CP048232.1-26,28,550
CP048232.1-27,43,327
CP048232.1-28,64,163
CP048232.1-29,29,527
CP048232.1-30,27,579
CP048232.1-31,72,123
CP048232.1-32,49,267
CP048232.1-33,28,551
CP048232.1-34,53,227
CP048232.1-35,56,202
CP048232.1-36,81,101
CP048232.1-37,92,62
CP048232.1-38,95,57
CP048232.1-39,108,49
CP048232.1-40,144,26
CP048232.1-41,113,44
CP048232.1-42,122,40
CP048232.1-43,246,2
CP048232.1-44,93,59
CP048232.1-45,137,28
CP048232.1-46,58,195
CP048232.1-47,93,60
CP048232.1-48,51,245
CP048232.1-49,23,680
CP048232.1-50,51,246
CP048232.1-51,24,656
CP048232.1-52,26,600
CP048232.1-53,2,1217
CP048232.1-54,1,1227
CP048233.1-0,0,1244
CP048233.1-1,18,828
CP048233.1-2,84,88
CP048233.1-3,30,517
CP048233.1-4,14,937
CP048233.1-5,41,355
CP048233.1-6,33,466
CP048233.1-7,29,528
CP048233.1-8,45,306
CP048233.1-9,72,124
CP048233.1-10,54,218
CP048233.1-11,5,1159
CP048233.1-12,39,381
CP048233.1-13,28,552
CP048233.1-14,17,862
CP048233.1-15,8,1091
CP048233.1-16,34,451
CP048233.1-17,8,1092
CP048233.1-18,56,203
CP048233.1-19,12,998
CP048233.1-20,13,966
CP048233.1-21,17,863
CP048233.1-22,11,1025
CP048233.1-23,7,1118
CP048233.1-24,51,247
CP048233.1-25,16,889
CP048233.1-26,14,938
CP048233.1-27,11,1026
CP048233.1-28,5,1160
CP048233.1-29,14,939
CP048233.1-30,27,580
CP048233.1-31,19,796
CP048233.1-32,3,1203
CP048233.1-33,15,916
CP048233.1-34,14,940
CP048233.1-35,9,1066
CP048233.1-36,10,1046
CP048233.1-37,12,999
CP048233.1-38,24,657
CP048233.1-39,22,715
CP048233.1-40,29,529
CP048233.1-41,14,941
CP048233.1-42,33,467
CP048233.1-43,16,890
CP048233.1-44,29,530
CP048233.1-45,23,681
CP048233.1-46,19,797
CP048233.1-47,35,431
CP048233.1-48,14,942
CP048233.1-49,61,178
CP048233.1-50,29,531
