Standard name,Common name,Type,Lib yH298-parent-pool1
GWK60_A00011,EPA19,ORF,0
GWK60_A00033,EPA24,ORF,0
GWK60_A00055,GWK60_A00055,ORF,1
GWK60_A00077,GWK60_A00077,ORF,1
GWK60_A00099,GWK60_A00099,ORF,1
GWK60_A00121,GWK60_A00121,ORF,5
GWK60_A00143,GWK60_A00143,ORF,1
GWK60_A00165,GWK60_A00165,ORF,1
GWK60_A00187,GWK60_A00187,ORF,0
GWK60_A00209,GWK60_A00209,ORF,5
GWK60_A00231,GWK60_A00231,ORF,6
GWK60_A00253,GWK60_A00253,ORF,15
GWK60_A00275,GWK60_A00275,ORF,11
GWK60_A00297,SCL1,ORF,0
GWK60_A00319,ERG4,ORF,0
GWK60_A00341,PDR1,ORF,13
GWK60_A00363,GWK60_A00363,ORF,12
GWK60_A00385,PMA1,ORF,2
GWK60_A00407,GWK60_A00407,ORF,31
GWK60_A00429,GWK60_A00429,ORF,2
GWK60_A00451,GWK60_A00451,ORF,87
GWK60_A00473,GWK60_A00473,ORF,11
GWK60_A00495,GWK60_A00495,ORF,3
GWK60_A00517,GWK60_A00517,ORF,5
GWK60_A00539,GWK60_A00539,ORF,3
GWK60_A00583,GWK60_A00583,ORF,9
GWK60_A00605,GWK60_A00605,ORF,15
GWK60_A00627,GWK60_A00627,ORF,7
GWK60_A00649,GWK60_A00649,ORF,38
GWK60_A00671,GWK60_A00671,ORF,82
GWK60_A00693,GWK60_A00693,ORF,0
GWK60_A00715,GWK60_A00715,ORF,4
GWK60_A00737,GWK60_A00737,ORF,0
GWK60_A00759,EST2,ORF,9
GWK60_A00781,GWK60_A00781,ORF,3
GWK60_A00803,GWK60_A00803,ORF,6
GWK60_A00825,GWK60_A00825,ORF,0
GWK60_A00847,PEX23B,ORF,10
GWK60_A00869,GWK60_A00869,ORF,3
GWK60_A00891,GWK60_A00891,ORF,50
GWK60_A00913,GWK60_A00913,ORF,2
GWK60_A00935,GWK60_A00935,ORF,10
GWK60_A00957,GWK60_A00957,ORF,5
GWK60_A00979,GWK60_A00979,ORF,7
GWK60_A01001,GWK60_A01001,ORF,2
GWK60_A01023,GWK60_A01023,ORF,11
GWK60_A01045,GWK60_A01045,ORF,3
GWK60_A01067,GWK60_A01067,ORF,2
GWK60_A01089,GWK60_A01089,ORF,14
GWK60_A01111,DIP5,ORF,26
GWK60_A01133,GWK60_A01133,ORF,9
GWK60_A01155,GIT1,ORF,9
GWK60_A01177,EPA10,ORF,10
GWK60_A01199,PGD1,ORF,1
GWK60_A01221,EPA9,ORF,14
GWK60_A01243,GWK60_A01243,ORF,1
GWK60_A01265,TRP5,ORF,13
GWK60_A01287,CWH41,ORF,0
GWK60_A01309,GWK60_A01309,ORF,4
GWK60_A01353,GWK60_A01353,ORF,0
GWK60_A01375,GWK60_A01375,ORF,1
GWK60_A01397,GWK60_A01397,ORF,2
GWK60_A01419,GWK60_A01419,ORF,8
GWK60_A01441,MIG1,ORF,36
GWK60_A01463,GWK60_A01463,ORF,4
GWK60_A01485,GWK60_A01485,ORF,3
GWK60_A01507,GWK60_A01507,ORF,10
GWK60_A01529,GWK60_A01529,ORF,2
GWK60_A01551,GWK60_A01551,ORF,0
GWK60_A01573,GWK60_A01573,ORF,1
GWK60_A01595,HXT4,ORF,14
GWK60_A01617,HXT1,ORF,7
GWK60_A01639,HXT5,ORF,11
GWK60_A01661,GWK60_A01661,ORF,7
GWK60_A01683,GWK60_A01683,ORF,2
GWK60_A01705,GWK60_A01705,ORF,5
GWK60_A01727,GWK60_A01727,ORF,0
GWK60_A01771,GWK60_A01771,ORF,0
GWK60_A01793,GWK60_A01793,ORF,3
GWK60_A01815,GWK60_A01815,ORF,1
GWK60_A01837,GWK60_A01837,ORF,2
GWK60_A01859,GWK60_A01859,ORF,1
GWK60_A01903,GWK60_A01903,ORF,0
GWK60_A01925,GWK60_A01925,ORF,0
GWK60_A01947,GWK60_A01947,ORF,1
GWK60_A01969,GWK60_A01969,ORF,2
GWK60_A02013,GWK60_A02013,ORF,0
GWK60_A02035,HXT6/7,ORF,5
GWK60_A02057,HXT4/6/7,ORF,7
GWK60_A02079,GWK60_A02079,ORF,23
GWK60_A02101,GWK60_A02101,ORF,3
GWK60_A02123,HXT3,ORF,8
GWK60_A02145,GWK60_A02145,ORF,1
GWK60_A02167,GWK60_A02167,ORF,2
GWK60_A02189,GWK60_A02189,ORF,0
GWK60_A02211,GWK60_A02211,ORF,4
GWK60_A02233,YPS7,ORF,1
GWK60_A02277,GWK60_A02277,ORF,6
GWK60_A02299,GWK60_A02299,ORF,2
GWK60_A02321,GWK60_A02321,ORF,2
GWK60_A02343,GWK60_A02343,ORF,4
GWK60_A02365,GWK60_A02365,ORF,3
GWK60_A02387,GWK60_A02387,ORF,5
GWK60_A02409,GWK60_A02409,ORF,0
GWK60_A02431,GWK60_A02431,ORF,0
GWK60_A02453,GWK60_A02453,ORF,1
GWK60_A02475,GWK60_A02475,ORF,2
GWK60_A02497,GWK60_A02497,ORF,0
GWK60_A02519,GWK60_A02519,ORF,2
GWK60_A02541,GWK60_A02541,ORF,0
GWK60_A02563,GWK60_A02563,ORF,0
GWK60_A02585,GWK60_A02585,ORF,0
GWK60_A02607,GWK60_A02607,ORF,0
GWK60_A02629,GWK60_A02629,ORF,1
GWK60_A02651,GWK60_A02651,ORF,2
GWK60_A02673,GWK60_A02673,ORF,3
GWK60_A02695,GWK60_A02695,ORF,1
GWK60_A02717,GWK60_A02717,ORF,0
GWK60_A02739,GWK60_A02739,ORF,1
GWK60_A02761,GWK60_A02761,ORF,0
GWK60_A02783,GWK60_A02783,ORF,0
GWK60_A02805,GWK60_A02805,ORF,1
GWK60_A02827,GWK60_A02827,ORF,0
GWK60_A02849,GWK60_A02849,ORF,1
GWK60_A02871,GWK60_A02871,ORF,0
GWK60_A02893,GWK60_A02893,ORF,0
GWK60_A02915,GWK60_A02915,ORF,3
GWK60_A02937,GWK60_A02937,ORF,15
GWK60_A02959,GWK60_A02959,ORF,0
GWK60_A02981,ARO10,ORF,2
GWK60_A03003,GWK60_A03003,ORF,0
GWK60_A03025,GWK60_A03025,ORF,4
GWK60_A03047,GWK60_A03047,ORF,0
GWK60_A03069,GWK60_A03069,ORF,10
GWK60_A03091,GWK60_A03091,ORF,5
GWK60_A03113,EFT2,ORF,0
GWK60_A03135,GWK60_A03135,ORF,0
GWK60_A03157,GWK60_A03157,ORF,1
GWK60_A03179,GWK60_A03179,ORF,20
GWK60_A03201,GWK60_A03201,ORF,3
GWK60_A03223,GWK60_A03223,ORF,2
