Bin index,yH298-parent-pool2,yH298-parent-pool2 rank
CP048230.1-0,3,1226
CP048230.1-1,0,1254
CP048230.1-2,3,1227
CP048230.1-3,63,556
CP048230.1-4,62,567
CP048230.1-5,136,146
CP048230.1-6,194,60
CP048230.1-7,289,21
CP048230.1-8,141,133
CP048230.1-9,279,24
CP048230.1-10,99,285
CP048230.1-11,38,868
CP048230.1-12,262,29
CP048230.1-13,115,204
CP048230.1-14,234,38
CP048230.1-15,112,217
CP048230.1-16,62,568
CP048230.1-17,93,320
CP048230.1-18,212,48
CP048230.1-19,117,201
CP048230.1-20,103,264
CP048230.1-21,22,1084
CP048230.1-22,12,1173
CP048230.1-23,91,333
CP048230.1-24,29,993
CP048230.1-25,111,221
CP048230.1-26,122,186
CP048230.1-27,86,367
CP048230.1-28,51,692
CP048230.1-29,30,975
CP048230.1-30,6,1216
CP048230.1-31,26,1033
CP048230.1-32,69,497
CP048230.1-33,81,401
CP048230.1-34,90,346
CP048230.1-35,94,312
CP048230.1-36,31,964
CP048230.1-37,103,265
CP048230.1-38,51,693
CP048230.1-39,45,774
CP048230.1-40,50,709
CP048230.1-41,79,415
CP048230.1-42,54,661
CP048230.1-43,84,383
CP048230.1-44,128,165
CP048230.1-45,49,722
CP048230.1-46,67,512
CP048230.1-47,81,402
CP048230.1-48,83,392
CP048230.1-49,4,1222
CP048230.1-50,2,1232
CP048231.1-0,0,1255
CP048231.1-1,53,672
CP048231.1-2,55,651
CP048231.1-3,71,484
CP048231.1-4,81,403
CP048231.1-5,92,328
CP048231.1-6,73,462
CP048231.1-7,105,253
CP048231.1-8,53,673
CP048231.1-9,164,89
CP048231.1-10,56,640
CP048231.1-11,51,694
CP048231.1-12,24,1054
CP048231.1-13,25,1044
CP048231.1-14,44,785
CP048231.1-15,43,803
CP048231.1-16,30,976
CP048231.1-17,37,885
CP048231.1-18,47,747
CP048231.1-19,53,674
CP048231.1-20,44,786
CP048231.1-21,12,1174
CP048231.1-22,72,471
CP048231.1-23,176,72
CP048231.1-24,63,557
CP048231.1-25,105,254
CP048231.1-26,92,329
CP048231.1-27,138,142
CP048231.1-28,153,110
CP048231.1-29,223,42
CP048231.1-30,172,77
CP048231.1-31,66,517
CP048231.1-32,51,695
CP048231.1-33,48,734
CP048231.1-34,91,334
CP048231.1-35,246,32
CP048231.1-36,63,558
CP048231.1-37,185,66
CP048231.1-38,320,14
CP048231.1-39,114,208
CP048231.1-40,84,384
CP048231.1-41,157,104
CP048231.1-42,178,69
CP048231.1-43,162,92
CP048231.1-44,343,9
CP048231.1-45,284,23
CP048231.1-46,218,44
CP048231.1-47,296,16
CP048231.1-48,289,22
CP048231.1-49,21,1094
CP048231.1-50,0,1256
CP048231.1-51,9,1195
CP048232.1-0,2,1233
CP048232.1-1,24,1055
CP048232.1-2,44,787
CP048232.1-3,68,504
CP048232.1-4,49,723
CP048232.1-5,77,433
CP048232.1-6,66,518
CP048232.1-7,58,613
CP048232.1-8,65,529
CP048232.1-9,23,1073
CP048232.1-10,60,591
CP048232.1-11,49,724
CP048232.1-12,32,947
CP048232.1-13,39,855
CP048232.1-14,50,710
CP048232.1-15,46,758
CP048232.1-16,143,127
CP048232.1-17,32,948
CP048232.1-18,114,209
CP048232.1-19,72,472
CP048232.1-20,28,1010
CP048232.1-21,57,622
CP048232.1-22,50,711
CP048232.1-23,123,183
CP048232.1-24,173,74
CP048232.1-25,31,965
CP048232.1-26,52,682
CP048232.1-27,88,353
CP048232.1-28,91,335
CP048232.1-29,62,569
CP048232.1-30,52,683
CP048232.1-31,147,123
CP048232.1-32,98,291
CP048232.1-33,65,530
CP048232.1-34,135,147
CP048232.1-35,78,424
CP048232.1-36,168,84
CP048232.1-37,197,57
CP048232.1-38,178,70
CP048232.1-39,213,46
CP048232.1-40,274,26
CP048232.1-41,305,15
CP048232.1-42,255,30
CP048232.1-43,422,2
CP048232.1-44,235,37
CP048232.1-45,231,40
CP048232.1-46,97,298
CP048232.1-47,209,49
CP048232.1-48,96,302
CP048232.1-49,69,498
CP048232.1-50,99,286
CP048232.1-51,44,788
CP048232.1-52,49,725
CP048232.1-53,23,1074
CP048232.1-54,0,1257
CP048232.1-55,1,1240
CP048233.1-0,1,1241
CP048233.1-1,27,1021
CP048233.1-2,112,218
CP048233.1-3,52,684
CP048233.1-4,20,1109
CP048233.1-5,91,336
CP048233.1-6,54,662
CP048233.1-7,73,463
CP048233.1-8,96,303
CP048233.1-9,171,78
CP048233.1-10,140,136
CP048233.1-11,12,1175
CP048233.1-12,85,374
CP048233.1-13,64,547
CP048233.1-14,54,663
CP048233.1-15,20,1110
CP048233.1-16,63,559
CP048233.1-17,16,1152
CP048233.1-18,122,187
CP048233.1-19,46,759
CP048233.1-20,22,1085
CP048233.1-21,43,804
CP048233.1-22,20,1111
CP048233.1-23,19,1120
CP048233.1-24,88,354
CP048233.1-25,30,977
CP048233.1-26,30,978
CP048233.1-27,22,1086
CP048233.1-28,4,1223
CP048233.1-29,24,1056
CP048233.1-30,50,712
CP048233.1-31,26,1034
CP048233.1-32,8,1205
CP048233.1-33,40,837
CP048233.1-34,21,1095
CP048233.1-35,41,823
CP048233.1-36,27,1022
CP048233.1-37,25,1045
CP048233.1-38,65,531
CP048233.1-39,63,560
CP048233.1-40,49,726
CP048233.1-41,24,1057
CP048233.1-42,63,561
CP048233.1-43,63,562
CP048233.1-44,68,505
CP048233.1-45,60,592
CP048233.1-46,46,760
CP048233.1-47,92,330
CP048233.1-48,40,838
CP048233.1-49,115,205
CP048233.1-50,81,404
CP048233.1-51,62,570
CP048233.1-52,37,886
CP048233.1-53,156,105
CP048233.1-54,130,161
CP048233.1-55,208,50
CP048233.1-56,101,278
CP048233.1-57,173,75
CP048233.1-58,150,116
CP048233.1-59,171,79
CP048233.1-60,239,34
CP048233.1-61,129,163
CP048233.1-62,139,139
CP048233.1-63,110,224
CP048233.1-64,293,18
CP048233.1-65,65,532
CP048233.1-66,200,53
CP048233.1-67,82,393
CP048233.1-68,155,107
CP048233.1-69,7,1211
CP048233.1-70,3,1228
CP048234.1-0,1,1242
CP048234.1-1,13,1165
CP048234.1-2,3,1229
CP048234.1-3,1,1243
CP048234.1-4,33,933
CP048234.1-5,37,887
CP048234.1-6,35,907
CP048234.1-7,34,915
CP048234.1-8,53,675
CP048234.1-9,46,761
CP048234.1-10,31,966
CP048234.1-11,40,839
