Bin index,combined_parent_hits.T102400,combined_parent_hits.T102400 rank
CP048230.1-0,6,1227
CP048230.1-1,1,1251
CP048230.1-2,6,1228
CP048230.1-3,73,675
CP048230.1-4,91,525
CP048230.1-5,184,136
CP048230.1-6,234,70
CP048230.1-7,362,20
CP048230.1-8,175,157
CP048230.1-9,379,15
CP048230.1-10,133,292
CP048230.1-11,60,807
CP048230.1-12,322,32
CP048230.1-13,140,259
CP048230.1-14,308,34
CP048230.1-15,150,227
CP048230.1-16,88,549
CP048230.1-17,110,408
CP048230.1-18,274,47
CP048230.1-19,160,196
CP048230.1-20,148,231
CP048230.1-21,30,1106
CP048230.1-22,14,1199
CP048230.1-23,133,293
CP048230.1-24,38,1037
CP048230.1-25,154,213
CP048230.1-26,165,180
CP048230.1-27,111,404
CP048230.1-28,61,794
CP048230.1-29,40,1018
CP048230.1-30,13,1202
CP048230.1-31,39,1030
CP048230.1-32,95,492
CP048230.1-33,110,409
CP048230.1-34,115,378
CP048230.1-35,121,346
CP048230.1-36,47,929
CP048230.1-37,155,211
CP048230.1-38,63,776
CP048230.1-39,55,851
CP048230.1-40,66,751
CP048230.1-41,106,431
CP048230.1-42,69,716
CP048230.1-43,117,369
CP048230.1-44,175,158
CP048230.1-45,66,752
CP048230.1-46,83,589
CP048230.1-47,108,421
CP048230.1-48,125,329
CP048230.1-49,8,1222
CP048230.1-50,7,1225
CP048231.1-0,5,1231
CP048231.1-1,72,682
CP048231.1-2,67,732
CP048231.1-3,99,469
CP048231.1-4,114,384
CP048231.1-5,135,282
CP048231.1-6,94,504
CP048231.1-7,138,271
CP048231.1-8,86,568
CP048231.1-9,213,99
CP048231.1-10,81,606
CP048231.1-11,65,758
CP048231.1-12,37,1043
CP048231.1-13,44,965
CP048231.1-14,53,869
CP048231.1-15,58,824
CP048231.1-16,44,966
CP048231.1-17,52,882
CP048231.1-18,67,733
CP048231.1-19,72,683
CP048231.1-20,64,767
CP048231.1-21,13,1203
CP048231.1-22,93,509
CP048231.1-23,234,71
CP048231.1-24,88,550
CP048231.1-25,128,315
CP048231.1-26,131,309
CP048231.1-27,183,138
CP048231.1-28,222,81
CP048231.1-29,295,39
CP048231.1-30,235,69
CP048231.1-31,90,531
CP048231.1-32,74,660
CP048231.1-33,69,717
CP048231.1-34,123,338
CP048231.1-35,315,33
CP048231.1-36,82,599
CP048231.1-37,236,68
CP048231.1-38,409,13
CP048231.1-39,161,190
CP048231.1-40,110,410
CP048231.1-41,217,90
CP048231.1-42,224,76
CP048231.1-43,210,101
CP048231.1-44,421,10
CP048231.1-45,349,23
CP048231.1-46,276,46
CP048231.1-47,369,19
CP048231.1-48,349,24
CP048231.1-49,26,1134
CP048231.1-50,3,1242
CP048231.1-51,13,1204
CP048232.1-0,3,1243
CP048232.1-1,38,1038
CP048232.1-2,54,861
CP048232.1-3,86,569
CP048232.1-4,76,642
CP048232.1-5,102,452
CP048232.1-6,87,557
CP048232.1-7,82,600
CP048232.1-8,81,607
CP048232.1-9,34,1067
CP048232.1-10,87,558
CP048232.1-11,71,695
CP048232.1-12,49,906
CP048232.1-13,61,795
CP048232.1-14,79,623
CP048232.1-15,68,722
CP048232.1-16,187,132
CP048232.1-17,43,976
CP048232.1-18,151,222
CP048232.1-19,87,559
CP048232.1-20,42,990
CP048232.1-21,83,590
CP048232.1-22,77,637
CP048232.1-23,160,197
CP048232.1-24,224,77
CP048232.1-25,45,951
CP048232.1-26,72,684
CP048232.1-27,112,398
CP048232.1-28,123,339
CP048232.1-29,84,582
CP048232.1-30,67,734
CP048232.1-31,213,100
CP048232.1-32,138,272
CP048232.1-33,88,551
CP048232.1-34,169,174
CP048232.1-35,112,399
CP048232.1-36,222,82
CP048232.1-37,261,55
CP048232.1-38,214,96
CP048232.1-39,271,49
CP048232.1-40,344,26
CP048232.1-41,371,18
CP048232.1-42,347,25
CP048232.1-43,520,2
CP048232.1-44,298,38
CP048232.1-45,290,40
CP048232.1-46,132,297
CP048232.1-47,256,58
CP048232.1-48,120,350
CP048232.1-49,93,510
CP048232.1-50,134,286
CP048232.1-51,67,735
CP048232.1-52,74,661
