Bin index,yH298-parent-pool2_normalized,yH298-parent-pool2_normalized rank
CP048230.1-0,3,1219
CP048230.1-1,0,1250
CP048230.1-2,3,1220
CP048230.1-3,60,539
CP048230.1-4,57,568
CP048230.1-5,134,136
CP048230.1-6,187,61
CP048230.1-7,278,21
CP048230.1-8,135,132
CP048230.1-9,275,24
CP048230.1-10,94,283
CP048230.1-11,36,844
CP048230.1-12,255,29
CP048230.1-13,110,203
CP048230.1-14,229,36
CP048230.1-15,108,214
CP048230.1-16,58,558
CP048230.1-17,89,317
CP048230.1-18,203,47
CP048230.1-19,110,204
CP048230.1-20,98,262
CP048230.1-21,20,1069
CP048230.1-22,10,1177
CP048230.1-23,87,328
CP048230.1-24,25,1000
CP048230.1-25,106,220
CP048230.1-26,117,181
CP048230.1-27,78,392
CP048230.1-28,46,710
CP048230.1-29,25,1001
CP048230.1-30,4,1217
CP048230.1-31,21,1054
CP048230.1-32,64,496
CP048230.1-33,77,398
CP048230.1-34,85,341
CP048230.1-35,91,299
CP048230.1-36,27,970
CP048230.1-37,98,263
CP048230.1-38,49,664
CP048230.1-39,40,793
CP048230.1-40,44,737
CP048230.1-41,75,411
CP048230.1-42,48,679
CP048230.1-43,79,381
CP048230.1-44,119,177
CP048230.1-45,46,711
CP048230.1-46,63,504
CP048230.1-47,77,399
CP048230.1-48,79,382
CP048230.1-49,2,1228
CP048230.1-50,2,1229
CP048231.1-0,0,1251
CP048231.1-1,50,657
CP048231.1-2,51,644
CP048231.1-3,67,477
CP048231.1-4,74,423
CP048231.1-5,90,305
CP048231.1-6,69,462
CP048231.1-7,98,264
CP048231.1-8,50,658
CP048231.1-9,158,88
CP048231.1-10,49,665
CP048231.1-11,48,680
CP048231.1-12,21,1055
CP048231.1-13,23,1027
CP048231.1-14,41,783
CP048231.1-15,39,801
CP048231.1-16,24,1018
CP048231.1-17,34,874
CP048231.1-18,42,764
CP048231.1-19,48,681
CP048231.1-20,40,794
CP048231.1-21,11,1167
CP048231.1-22,68,463
CP048231.1-23,169,71
CP048231.1-24,58,559
CP048231.1-25,98,265
CP048231.1-26,88,322
CP048231.1-27,132,142
CP048231.1-28,148,106
CP048231.1-29,217,43
CP048231.1-30,167,75
CP048231.1-31,62,513
CP048231.1-32,44,738
CP048231.1-33,43,752
CP048231.1-34,87,329
CP048231.1-35,241,31
CP048231.1-36,59,551
CP048231.1-37,177,66
CP048231.1-38,306,14
CP048231.1-39,110,205
CP048231.1-40,77,400
CP048231.1-41,148,107
CP048231.1-42,172,68
CP048231.1-43,156,90
CP048231.1-44,330,9
CP048231.1-45,276,23
CP048231.1-46,212,44
CP048231.1-47,293,16
CP048231.1-48,278,22
CP048231.1-49,21,1056
CP048231.1-50,0,1252
CP048231.1-51,8,1192
CP048232.1-0,2,1230
CP048232.1-1,22,1038
CP048232.1-2,42,765
CP048232.1-3,62,514
CP048232.1-4,46,712
CP048232.1-5,73,430
CP048232.1-6,61,527
CP048232.1-7,54,609
CP048232.1-8,61,528
CP048232.1-9,19,1083
CP048232.1-10,57,569
CP048232.1-11,45,724
CP048232.1-12,29,946
CP048232.1-13,35,858
CP048232.1-14,46,713
CP048232.1-15,43,753
CP048232.1-16,134,137
CP048232.1-17,26,988
CP048232.1-18,105,226
CP048232.1-19,70,452
CP048232.1-20,22,1039
CP048232.1-21,51,645
CP048232.1-22,45,725
CP048232.1-23,116,185
CP048232.1-24,169,72
CP048232.1-25,30,928
CP048232.1-26,47,697
CP048232.1-27,80,372
CP048232.1-28,86,334
CP048232.1-29,56,587
CP048232.1-30,50,659
CP048232.1-31,144,115
CP048232.1-32,94,284
CP048232.1-33,60,540
CP048232.1-34,129,148
CP048232.1-35,72,437
CP048232.1-36,159,87
CP048232.1-37,191,55
CP048232.1-38,168,73
CP048232.1-39,203,48
CP048232.1-40,266,27
CP048232.1-41,298,15
CP048232.1-42,239,32
CP048232.1-43,411,2
CP048232.1-44,227,37
CP048232.1-45,224,40
CP048232.1-46,93,289
CP048232.1-47,202,49
CP048232.1-48,85,342
CP048232.1-49,64,497
CP048232.1-50,92,294
CP048232.1-51,40,795
CP048232.1-52,45,726
CP048232.1-53,23,1028
CP048232.1-54,0,1253
CP048232.1-55,1,1238
CP048233.1-0,1,1239
CP048233.1-1,24,1019
CP048233.1-2,98,266
CP048233.1-3,48,682
CP048233.1-4,18,1095
CP048233.1-5,89,318
CP048233.1-6,52,638
CP048233.1-7,70,453
CP048233.1-8,90,306
CP048233.1-9,167,76
CP048233.1-10,137,128
CP048233.1-11,11,1168
CP048233.1-12,80,373
CP048233.1-13,59,552
CP048233.1-14,49,666
CP048233.1-15,18,1096
CP048233.1-16,58,560
CP048233.1-17,12,1159
CP048233.1-18,112,196
CP048233.1-19,43,754
CP048233.1-20,20,1070
CP048233.1-21,38,814
CP048233.1-22,18,1097
CP048233.1-23,17,1111
CP048233.1-24,82,360
CP048233.1-25,26,989
CP048233.1-26,25,1002
CP048233.1-27,20,1071
CP048233.1-28,1,1240
CP048233.1-29,20,1072
CP048233.1-30,45,727
CP048233.1-31,25,1003
CP048233.1-32,8,1193
CP048233.1-33,36,845
CP048233.1-34,18,1098
CP048233.1-35,39,802
CP048233.1-36,21,1057
CP048233.1-37,22,1040
CP048233.1-38,59,553
CP048233.1-39,61,529
CP048233.1-40,44,739
CP048233.1-41,20,1073
CP048233.1-42,59,554
CP048233.1-43,56,588
CP048233.1-44,63,505
CP048233.1-45,53,625
CP048233.1-46,42,766
CP048233.1-47,85,343
CP048233.1-48,38,815
CP048233.1-49,110,206
CP048233.1-50,77,401
CP048233.1-51,54,610
CP048233.1-52,34,875
CP048233.1-53,147,109
CP048233.1-54,125,161
CP048233.1-55,202,50
CP048233.1-56,94,285
CP048233.1-57,168,74
CP048233.1-58,140,122
CP048233.1-59,165,78
CP048233.1-60,233,34
CP048233.1-61,122,165
CP048233.1-62,130,145
CP048233.1-63,104,229
CP048233.1-64,286,17
CP048233.1-65,63,506
CP048233.1-66,193,53
CP048233.1-67,79,383
CP048233.1-68,148,108
CP048233.1-69,5,1214
CP048233.1-70,3,1221
CP048234.1-0,1,1241
CP048234.1-1,13,1151
CP048234.1-2,2,1231
CP048234.1-3,1,1242
CP048234.1-4,31,914
CP048234.1-5,32,899
CP048234.1-6,31,915
CP048234.1-7,30,929
CP048234.1-8,47,698
CP048234.1-9,39,803
CP048234.1-10,28,954
CP048234.1-11,34,876
CP048234.1-12,112,197
CP048234.1-13,100,250
CP048234.1-14,98,267
CP048234.1-15,54,611
CP048234.1-16,37,828
CP048234.1-17,49,667
CP048234.1-18,42,767
CP048234.1-19,116,186
CP048234.1-20,134,138
CP048234.1-21,105,227
CP048234.1-22,154,96
CP048234.1-23,378,5
CP048234.1-24,151,103
CP048234.1-25,188,59
CP048234.1-26,226,38
CP048234.1-27,135,133
CP048234.1-28,121,168
CP048234.1-29,123,163
CP048234.1-30,153,99
CP048234.1-31,195,52
CP048234.1-32,120,174
CP048234.1-33,101,243
CP048234.1-34,24,1020
CP048234.1-35,37,829
CP048234.1-36,155,91
CP048234.1-37,84,351
CP048234.1-38,68,464
CP048234.1-39,137,129
CP048234.1-40,35,859
CP048234.1-41,70,454
CP048234.1-42,47,699
CP048234.1-43,123,164
CP048234.1-44,162,83
CP048234.1-45,62,515
CP048234.1-46,96,275
CP048234.1-47,80,374
CP048234.1-48,47,700
CP048234.1-49,128,152
CP048234.1-50,106,221
CP048234.1-51,14,1144
CP048234.1-52,79,384
CP048234.1-53,49,668
CP048234.1-54,13,1152
CP048234.1-55,35,860
CP048234.1-56,80,375
CP048234.1-57,115,188
CP048234.1-58,100,251
CP048234.1-59,50,660
CP048234.1-60,19,1084
CP048234.1-61,76,407
CP048234.1-62,153,100
CP048234.1-63,75,412
CP048234.1-64,77,402
CP048234.1-65,60,541
CP048234.1-66,88,323
CP048234.1-67,30,930
CP048234.1-68,7,1198
CP048234.1-69,0,1254
CP048234.1-70,3,1222
CP048235.1-0,6,1208
CP048235.1-1,0,1255
CP048235.1-2,7,1199
CP048235.1-3,86,335
CP048235.1-4,121,169
CP048235.1-5,164,81
CP048235.1-6,11,1169
CP048235.1-7,106,222
CP048235.1-8,165,79
CP048235.1-9,51,646
CP048235.1-10,72,438
CP048235.1-11,43,755
CP048235.1-12,51,647
CP048235.1-13,54,612
CP048235.1-14,180,65
CP048235.1-15,90,307
CP048235.1-16,273,25
CP048235.1-17,31,916
CP048235.1-18,121,170
CP048235.1-19,136,131
CP048235.1-20,157,89
CP048235.1-21,48,683
CP048235.1-22,76,408
CP048235.1-23,171,69
CP048235.1-24,386,4
CP048235.1-25,191,56
CP048235.1-26,90,308
CP048235.1-27,144,116
CP048235.1-28,52,639
CP048235.1-29,67,478
CP048235.1-30,160,85
CP048235.1-31,51,648
CP048235.1-32,38,816
CP048235.1-33,62,516
CP048235.1-34,101,244
CP048235.1-35,84,352
CP048235.1-36,39,804
CP048235.1-37,120,175
CP048235.1-38,18,1099
CP048235.1-39,30,931
CP048235.1-40,35,861
CP048235.1-41,57,570
CP048235.1-42,77,403
CP048235.1-43,171,70
CP048235.1-44,11,1170
CP048235.1-45,38,817
CP048235.1-46,76,409
CP048235.1-47,126,157
CP048235.1-48,90,309
CP048235.1-49,40,796
CP048235.1-50,90,310
CP048235.1-51,49,669
CP048235.1-52,15,1129
CP048235.1-53,104,230
CP048235.1-54,25,1004
CP048235.1-55,85,344
CP048235.1-56,21,1058
CP048235.1-57,29,947
CP048235.1-58,32,900
CP048235.1-59,18,1100
CP048235.1-60,80,376
CP048235.1-61,87,330
CP048235.1-62,68,465
CP048235.1-63,59,555
CP048235.1-64,42,768
CP048235.1-65,6,1209
CP048235.1-66,22,1041
CP048235.1-67,19,1085
CP048235.1-68,35,862
CP048235.1-69,80,377
CP048235.1-70,95,279
CP048235.1-71,28,955
CP048235.1-72,32,901
CP048235.1-73,45,728
CP048235.1-74,73,431
CP048235.1-75,121,171
CP048235.1-76,37,830
CP048235.1-77,34,877
CP048235.1-78,15,1130
CP048235.1-79,32,902
CP048235.1-80,62,517
CP048235.1-81,70,455
CP048235.1-82,49,670
CP048235.1-83,42,769
CP048235.1-84,31,917
CP048235.1-85,17,1112
CP048235.1-86,83,355
CP048235.1-87,27,971
CP048235.1-88,109,209
CP048235.1-89,51,649
CP048235.1-90,109,210
CP048235.1-91,61,530
CP048235.1-92,38,818
CP048235.1-93,7,1200
CP048236.1-0,6,1210
CP048236.1-1,0,1256
CP048236.1-2,11,1171
CP048236.1-3,133,140
CP048236.1-4,185,63
CP048236.1-5,315,13
CP048236.1-6,57,571
CP048236.1-7,122,166
CP048236.1-8,225,39
CP048236.1-9,193,54
CP048236.1-10,55,599
CP048236.1-11,190,57
CP048236.1-12,175,67
CP048236.1-13,129,149
CP048236.1-14,85,345
CP048236.1-15,90,311
CP048236.1-16,132,143
CP048236.1-17,57,572
CP048236.1-18,18,1101
CP048236.1-19,91,300
CP048236.1-20,127,153
CP048236.1-21,22,1042
CP048236.1-22,32,903
CP048236.1-23,78,393
CP048236.1-24,30,932
CP048236.1-25,44,740
CP048236.1-26,73,432
CP048236.1-27,91,301
CP048236.1-28,117,182
CP048236.1-29,63,507
CP048236.1-30,16,1123
CP048236.1-31,68,466
CP048236.1-32,37,831
CP048236.1-33,58,561
CP048236.1-34,9,1183
CP048236.1-35,42,770
CP048236.1-36,73,433
CP048236.1-37,40,797
CP048236.1-38,48,684
CP048236.1-39,112,198
CP048236.1-40,20,1074
CP048236.1-41,20,1075
CP048236.1-42,57,573
CP048236.1-43,30,933
CP048236.1-44,60,542
CP048236.1-45,14,1145
CP048236.1-46,32,904
CP048236.1-47,127,154
CP048236.1-48,23,1029
CP048236.1-49,27,972
CP048236.1-50,34,878
CP048236.1-51,107,217
CP048236.1-52,35,863
CP048236.1-53,59,556
CP048236.1-54,37,832
CP048236.1-55,72,439
CP048236.1-56,46,714
CP048236.1-57,99,256
CP048236.1-58,53,626
CP048236.1-59,62,518
CP048236.1-60,64,498
CP048236.1-61,9,1184
CP048236.1-62,36,846
CP048236.1-63,86,336
CP048236.1-64,93,290
CP048236.1-65,26,990
CP048236.1-66,57,574
CP048236.1-67,39,805
CP048236.1-68,22,1043
CP048236.1-69,28,956
CP048236.1-70,115,189
CP048236.1-71,38,819
CP048236.1-72,25,1005
CP048236.1-73,70,456
CP048236.1-74,47,701
CP048236.1-75,15,1131
