background,pool,contrast,call,n
yH298,1,yH298_pool1_treated_vs_parent,depleted,213
yH298,1,yH298_pool1_treated_vs_parent,none,4932
yH298,1,yH298_pool1_treated_vs_parent,enriched,89
yH298,2,yH298_pool2_treated_vs_parent,depleted,260
yH298,2,yH298_pool2_treated_vs_parent,none,4935
yH298,2,yH298_pool2_treated_vs_parent,enriched,39
yH299,3,yH299_pool3_treated_vs_parent,depleted,3
yH299,3,yH299_pool3_treated_vs_parent,none,5224
yH299,3,yH299_pool3_treated_vs_parent,enriched,7
yH299,4,yH299_pool4_treated_vs_parent,depleted,39
yH299,4,yH299_pool4_treated_vs_parent,none,5177
yH299,4,yH299_pool4_treated_vs_parent,enriched,18
