rel_bp	reads_sum	sites_n
-995	20	15
-985	21	19
-975	17	13
-965	10	10
-955	14	12
-945	12	9
-935	21	17
-925	22	14
-915	24	18
-905	17	13
-895	37	19
-885	27	17
-875	25	16
-865	28	21
-855	20	14
-845	23	16
-835	33	20
-825	21	16
-815	33	22
-805	46	27
-795	26	21
-785	27	19
-775	24	19
-765	27	23
-755	39	30
-745	33	23
-735	32	25
-725	27	21
-715	36	24
-705	40	28
-695	37	31
-685	28	24
-675	34	22
-665	43	33
-655	43	33
-645	51	33
-635	41	33
-625	34	23
-615	43	32
-605	45	38
-595	47	26
-585	40	33
-575	55	36
-565	65	37
-555	53	39
-545	42	28
-535	39	32
-525	53	42
-515	52	36
-505	68	47
-495	40	34
-485	56	40
-475	57	45
-465	47	38
-455	55	41
-445	88	62
-435	74	49
-425	46	37
-415	68	54
-405	104	65
-395	63	38
-385	69	53
-375	66	55
-365	74	52
-355	75	61
-345	85	58
-335	80	65
-325	68	56
-315	94	68
-305	109	74
-295	73	60
-285	75	56
-275	101	71
-265	73	58
-255	62	49
-245	103	76
-235	97	69
-225	85	62
-215	112	78
-205	95	74
-195	58	49
-185	101	76
-175	95	71
-165	84	62
-155	47	40
-145	72	59
-135	96	68
-125	99	79
-115	100	70
-105	78	47
-95	78	58
-85	57	43
-75	57	34
-65	37	28
-55	38	30
-45	29	19
-35	29	22
-25	26	13
-15	16	14
-5	19	9
5	23	17
15	18	14
25	20	17
35	19	15
45	20	17
55	13	13
65	31	23
75	28	23
85	18	14
95	16	14
105	24	21
115	20	19
125	20	14
135	24	20
145	14	12
155	27	20
165	24	14
175	15	13
185	19	12
195	32	19
205	17	10
215	17	15
225	26	19
235	26	20
245	25	16
255	30	20
265	20	14
275	27	20
285	17	15
295	22	17
305	31	18
315	11	10
325	14	12
335	20	14
345	18	12
355	9	7
365	21	14
375	32	21
385	26	17
395	22	11
405	25	17
415	14	13
425	37	25
435	15	11
445	20	17
455	13	11
465	22	16
475	14	13
485	17	9
495	19	14
505	22	15
515	20	12
525	12	11
535	6	4
545	11	10
555	24	16
565	13	9
575	16	12
585	20	14
595	16	9
605	15	12
615	14	12
625	13	12
635	10	9
645	8	7
655	14	11
665	5	3
675	12	8
685	16	9
695	15	11
705	15	11
715	14	12
725	14	12
735	19	12
745	16	10
755	14	12
765	17	9
775	8	7
785	5	5
795	11	11
805	13	10
815	11	9
825	11	10
835	2	2
845	7	5
855	12	9
865	8	6
875	7	7
885	12	8
895	11	9
905	5	5
915	9	8
925	9	8
935	7	7
945	5	5
955	8	5
965	16	9
975	9	7
985	16	13
995	10	8
