rel_bp	reads_sum	sites_n
-995	47	26
-985	21	17
-975	22	14
-965	39	22
-955	29	15
-945	37	24
-935	38	20
-925	20	13
-915	15	12
-905	24	19
-895	16	13
-885	18	15
-875	23	16
-865	29	18
-855	18	13
-845	22	17
-835	40	26
-825	35	22
-815	38	24
-805	24	19
-795	22	18
-785	22	16
-775	29	23
-765	20	16
-755	17	13
-745	26	14
-735	28	21
-725	28	19
-715	20	14
-705	28	18
-695	43	28
-685	15	14
-675	19	14
-665	14	11
-655	31	24
-645	20	15
-635	27	19
-625	23	20
-615	35	23
-605	15	13
-595	30	19
-585	34	24
-575	17	14
-565	37	24
-555	16	10
-545	24	20
-535	20	15
-525	29	17
-515	17	14
-505	25	14
-495	23	19
-485	29	18
-475	22	19
-465	27	19
-455	18	15
-445	31	20
-435	22	17
-425	20	15
-415	26	21
-405	21	15
-395	16	14
-385	22	17
-375	18	15
-365	20	14
-355	29	19
-345	16	15
-335	20	14
-325	24	19
-315	27	17
-305	16	10
-295	17	15
-285	16	12
-275	25	19
-265	20	15
-255	34	24
-245	32	17
-235	13	11
-225	12	10
-215	29	20
-205	16	13
-195	29	22
-185	21	16
-175	28	23
-165	33	28
-155	31	26
-145	25	17
-135	23	14
-125	27	19
-115	22	17
-105	30	23
-95	21	12
-85	22	14
-75	27	19
-65	23	18
-55	25	18
-45	24	21
-35	23	18
-25	39	25
-15	24	21
-5	16	14
5	25	18
15	19	15
25	25	23
35	44	32
45	38	34
55	34	25
65	34	26
75	46	32
85	21	18
95	41	33
105	30	26
115	46	32
125	45	32
135	50	43
145	68	44
155	54	38
165	30	26
175	59	45
185	44	33
195	43	37
205	47	30
215	37	31
225	50	40
235	42	33
245	42	32
255	39	29
265	43	37
275	28	23
285	37	33
295	41	25
305	34	30
315	38	32
325	28	23
335	35	29
345	43	30
355	42	30
365	25	22
375	33	24
385	32	23
395	31	24
405	18	14
415	24	17
425	30	24
435	30	24
445	35	27
455	21	18
465	29	25
475	16	13
485	37	26
495	21	13
505	21	17
515	30	19
525	32	24
535	34	24
545	23	19
555	27	18
565	21	19
575	32	25
585	30	24
595	32	21
605	34	21
615	35	24
625	22	19
635	29	24
645	27	21
655	13	12
665	18	14
675	21	17
685	23	12
695	23	12
705	23	17
715	12	12
725	14	11
735	16	15
745	20	18
755	26	20
765	13	10
775	23	14
785	9	6
795	21	16
805	18	14
815	21	9
825	14	11
835	20	13
845	11	11
855	16	14
865	7	6
875	14	12
885	15	9
895	13	12
905	11	8
915	18	13
925	18	13
935	15	9
945	13	11
955	15	14
965	5	5
975	14	10
985	13	11
995	12	8
1005	1	1
