rel_bp	reads_sum	sites_n
-985	1	1
-975	3	2
-965	1	1
-955	1	1
-945	1	1
-935	3	1
-925	5	3
-905	1	1
-895	1	1
-885	1	1
-875	1	1
-865	1	1
-855	1	1
-845	1	1
-825	2	2
-815	1	1
-775	1	1
-765	1	1
-755	1	1
-745	2	2
-725	2	2
-715	2	2
-705	1	1
-675	2	1
-665	2	2
-645	2	2
-615	2	2
-595	1	1
-575	5	4
-565	3	3
-555	4	3
-535	2	1
-525	2	2
-515	2	2
-505	2	2
-495	5	4
-485	2	2
-475	5	4
-465	2	2
-455	7	4
-445	1	1
-435	1	1
-425	2	2
-405	1	1
-395	3	3
-385	4	3
-375	1	1
-365	1	1
-355	4	4
-345	3	3
-335	11	5
-325	3	3
-315	2	2
-305	3	3
-285	1	1
-275	4	3
-265	1	1
-245	1	1
-235	1	1
-225	3	2
-215	4	3
-205	1	1
-195	4	3
-185	10	5
-175	14	4
-165	11	7
-155	13	11
-145	6	6
-135	3	2
-125	6	6
-115	10	9
-105	5	5
-95	2	1
-85	1	1
-45	1	1
-25	1	1
-15	1	1
5	5	5
15	4	3
25	3	3
35	1	1
45	4	4
55	4	4
65	3	3
75	7	7
85	12	10
95	13	11
105	9	8
115	4	4
125	10	8
135	9	5
145	6	4
155	8	5
165	6	4
175	4	4
185	6	5
195	4	3
205	4	3
215	1	1
225	10	7
235	6	4
245	3	3
255	4	3
265	3	3
275	7	5
285	5	4
295	7	5
305	4	3
315	1	1
325	2	2
335	5	4
345	6	4
355	4	3
365	1	1
385	1	1
395	7	2
405	6	3
415	1	1
425	2	2
435	6	3
445	3	3
455	4	4
465	3	3
475	4	4
485	1	1
495	2	2
505	1	1
515	2	2
525	3	2
535	1	1
545	1	1
555	7	5
595	2	2
605	2	2
615	2	1
625	2	2
635	1	1
645	1	1
655	1	1
665	3	2
675	1	1
685	7	4
715	1	1
735	2	2
785	2	2
825	2	2
835	1	1
845	2	2
855	4	4
875	1	1
885	2	2
895	2	2
925	2	1
945	5	3
955	1	1
965	2	1
985	1	1
995	2	2
