rel_bp	reads_sum	sites_n
-955	2	1
-945	8	3
-935	3	1
-915	1	1
-885	1	1
-875	1	1
-855	1	1
-825	2	1
-815	2	2
-795	1	1
-775	3	2
-765	1	1
-745	1	1
-725	2	1
-715	1	1
-665	3	2
-655	1	1
-645	3	2
-605	2	2
-595	4	3
-585	5	3
-575	3	3
-565	1	1
-555	2	2
-535	1	1
-525	3	3
-505	1	1
-485	1	1
-475	6	4
-465	3	2
-455	2	1
-445	1	1
-425	1	1
-415	3	1
-405	1	1
-395	3	2
-385	2	1
-365	1	1
-345	4	2
-335	6	3
-325	6	3
-305	2	2
-295	2	1
-285	1	1
-275	6	4
-265	2	1
-255	3	2
-245	1	1
-235	2	1
-225	3	2
-215	2	1
-205	2	2
-195	1	1
-185	9	4
-175	4	2
-165	7	6
-155	8	4
-145	4	4
-135	5	4
-125	6	4
-115	5	5
-105	6	5
-65	1	1
-45	2	2
-15	1	1
-5	1	1
5	3	3
15	3	3
25	5	4
55	2	2
65	4	4
75	3	3
85	15	9
95	14	10
105	8	7
115	4	3
125	9	8
135	12	6
145	4	3
155	7	5
165	6	4
175	5	4
185	7	4
205	1	1
215	5	3
225	4	4
235	6	3
245	3	3
255	4	4
265	4	4
275	3	3
285	7	5
295	2	2
305	4	3
325	1	1
335	8	3
345	2	2
355	3	2
365	1	1
375	5	4
385	3	1
395	3	2
405	8	4
415	1	1
425	4	3
435	2	1
455	3	3
475	6	5
485	2	2
495	1	1
505	1	1
515	2	2
525	2	1
535	3	2
545	3	3
555	7	3
565	1	1
585	1	1
595	2	1
615	3	2
625	1	1
665	3	2
675	3	1
685	5	2
695	2	1
755	1	1
795	1	1
805	1	1
825	2	1
835	1	1
845	1	1
855	4	2
875	1	1
895	2	2
905	3	2
915	1	1
945	3	2
955	4	3
965	4	2
975	3	2
985	5	2
995	1	1
