rel_bp	reads_sum	sites_n
-995	34	27
-985	27	15
-975	16	12
-965	22	18
-955	16	13
-945	16	11
-935	38	19
-925	44	22
-915	34	23
-905	14	12
-895	28	22
-885	14	11
-875	40	17
-865	35	20
-855	19	16
-845	18	15
-835	22	16
-825	36	20
-815	41	24
-805	26	16
-795	19	17
-785	23	18
-775	23	17
-765	15	13
-755	29	22
-745	31	18
-735	31	22
-725	17	15
-715	19	13
-705	32	23
-695	41	29
-685	12	9
-675	23	21
-665	21	18
-655	30	18
-645	26	22
-635	27	18
-625	16	16
-615	30	20
-605	14	12
-595	19	17
-585	23	18
-575	34	16
-565	17	12
-555	23	18
-545	16	13
-535	16	11
-525	24	18
-515	28	20
-505	20	13
-495	21	17
-485	22	17
-475	33	25
-465	14	9
-455	31	26
-445	27	21
-435	22	17
-425	19	15
-415	16	11
-405	25	21
-395	20	18
-385	20	14
-375	27	21
-365	17	13
-355	15	12
-345	19	13
-335	32	22
-325	22	16
-315	41	21
-305	21	15
-295	23	19
-285	22	17
-275	14	12
-265	17	11
-255	23	16
-245	19	15
-235	13	10
-225	23	16
-215	33	26
-205	19	15
-195	21	17
-185	20	15
-175	32	19
-165	31	23
-155	34	27
-145	23	18
-135	29	22
-125	30	20
-115	13	11
-105	18	14
-95	24	18
-85	20	15
-75	33	25
-65	30	18
-55	23	18
-45	18	13
-35	40	23
-25	23	17
-15	14	11
-5	17	15
5	27	26
15	27	21
25	23	20
35	30	25
45	43	32
55	42	30
65	33	27
75	37	28
85	37	24
95	34	26
105	44	33
115	41	32
125	53	40
135	53	43
145	66	43
155	64	46
165	40	31
175	40	33
185	35	32
195	45	38
205	53	37
215	46	38
225	50	37
235	43	37
245	40	21
255	53	39
265	62	45
275	32	29
285	40	29
295	39	32
305	41	34
315	45	32
325	45	32
335	32	23
345	38	33
355	35	26
365	27	21
375	38	26
385	49	31
395	33	24
405	23	17
415	28	26
425	31	21
435	30	24
445	40	27
455	31	22
465	16	12
475	29	19
485	27	18
495	26	18
505	21	13
515	27	22
525	31	21
535	34	26
545	19	14
555	18	16
565	28	23
575	27	22
585	30	20
595	22	17
605	35	25
615	14	13
625	23	19
635	27	20
645	27	21
655	16	14
665	33	19
675	24	19
685	26	18
695	15	11
705	16	16
715	17	11
725	12	7
735	17	14
745	19	13
755	8	7
765	17	13
775	15	10
785	12	9
795	11	8
805	22	12
815	25	12
825	13	12
835	13	12
845	25	14
855	18	10
865	12	11
875	10	7
885	20	14
895	18	12
905	20	11
915	8	7
925	6	4
935	8	7
945	5	4
955	14	10
965	5	4
975	7	7
985	4	4
995	7	5
1005	2	1
