rel_bp	reads_sum	sites_n
-995	11	8
-985	10	7
-975	20	12
-965	19	12
-955	9	8
-945	22	15
-935	15	12
-925	23	16
-915	18	13
-905	23	18
-895	21	18
-885	26	17
-875	26	17
-865	24	15
-855	6	5
-845	11	8
-835	30	21
-825	27	16
-815	28	21
-805	22	11
-795	29	20
-785	20	17
-775	26	16
-765	18	16
-755	19	14
-745	25	21
-735	28	20
-725	25	17
-715	38	22
-705	17	11
-695	25	20
-685	22	18
-675	33	23
-665	38	28
-655	24	20
-645	47	25
-635	27	21
-625	32	19
-615	33	22
-605	44	25
-595	41	30
-585	34	25
-575	50	31
-565	69	38
-555	37	28
-545	45	35
-535	35	29
-525	35	25
-515	56	37
-505	65	43
-495	44	33
-485	54	37
-475	36	27
-465	51	35
-455	38	26
-445	68	44
-435	76	43
-425	63	47
-415	48	34
-405	65	47
-395	48	38
-385	73	46
-375	66	42
-365	84	55
-355	72	54
-345	80	44
-335	58	42
-325	60	48
-315	61	40
-305	90	53
-295	58	43
-285	62	45
-275	73	50
-265	95	64
-255	57	46
-245	88	62
-235	85	58
-225	73	51
-215	69	50
-205	74	57
-195	86	59
-185	76	56
-175	75	54
-165	102	71
-155	57	47
-145	72	51
-135	49	38
-125	55	44
-115	88	59
-105	105	58
-95	53	37
-85	46	31
-75	49	34
-65	42	29
-55	24	19
-45	10	9
-35	34	23
-25	22	17
-15	19	12
-5	10	10
5	12	8
15	17	14
25	12	11
35	8	6
45	17	14
55	12	8
65	17	14
75	17	13
85	20	16
95	14	9
105	21	11
115	29	22
125	15	12
135	25	18
145	25	17
155	16	10
165	14	9
175	20	14
185	7	6
195	9	6
205	19	13
215	18	16
225	17	13
235	17	14
245	17	11
255	15	12
265	18	12
275	12	10
285	25	17
295	30	16
305	21	12
315	8	6
325	22	17
335	11	9
345	13	10
355	10	8
365	11	9
375	22	12
385	13	10
395	14	9
405	11	10
415	14	10
425	19	10
435	16	9
445	14	8
455	10	4
465	14	11
475	13	7
485	10	8
495	9	6
505	17	12
515	13	9
525	11	8
535	7	7
545	15	13
555	14	10
565	11	8
575	14	10
585	16	12
595	6	6
605	11	7
615	12	8
625	15	9
635	16	13
645	7	7
655	3	3
665	14	8
675	6	6
685	7	6
695	12	7
705	10	8
715	20	12
725	13	10
735	6	6
745	20	14
755	13	9
765	23	12
775	6	5
785	8	6
795	4	4
805	4	4
815	3	3
825	7	6
835	11	10
845	8	5
855	6	6
865	8	6
875	10	8
885	7	6
895	4	4
905	6	4
915	6	6
925	2	2
935	9	8
945	13	11
955	7	7
965	12	8
975	15	9
985	4	3
995	3	3
1005	2	1
