stage,branch,status,completed,expected,successful,failed,skipped,blocked_reason,primary_output,manifest,last_updated,message
project_config,setup,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/config/project.yaml,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/config/project.yaml,,
reference,setup,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/resources/species/glabrata/reference_genome/GCA_014217725.1_ASM1421772v1_genomic.fna,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/config/reference_resolved.json,2026-07-17T22:46:32.759494+00:00,
mapfastq,core,success,8,8,0,0,8,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/mapfastq,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/manifests/mapfastq/mapfastq_status.csv,2026-07-20T00:54:19.282900+00:00,
create_hit_file,core,success,8,8,0,0,8,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/manifests/create_hit_file/create_hit_file_status.csv,2026-07-20T00:54:26.645961+00:00,
summary,core,success,8,8,0,0,8,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/summary,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/manifests/summary/summary_status.csv,2026-07-20T00:54:35.587927+00:00,
library_diagnostics,qc,success,1,1,0,0,1,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/library_diagnostics,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/manifests/library_diagnostics/library_diagnostics_status.csv,2026-07-20T00:54:45.938934+00:00,
sample_normalization,classifier,success,9,9,9,0,1,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/manifests/sample_normalization/sample_normalization_status.csv,2026-07-18T19:07:22.922544+00:00,"Available targets: T020, T030, T040, T050, T059p7, T060, T080, T100, T6400"
summary_normalized,classifier,success,2,2,2,0,1,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/summary_normalized,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/manifests/summary_normalized/summary_normalized_status.csv,2026-07-18T19:24:26.692492+00:00,"Available targets: T059p7, T6400"
combined_hits,classifier,success,2,2,2,0,1,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/combined_hits,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/manifests/combined_hits/combined_hits_status.csv,2026-07-18T19:33:15.720444+00:00,"Available targets: T059p7, T6400"
summary_combined,classifier,success,2,2,2,0,1,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/summary_combined,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/manifests/summary_combined/summary_combined_status.csv,2026-07-18T19:43:53.990381+00:00,"Available targets: T059p7, T6400"
classifier,classifier,success,2,2,2,0,1,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/classifier,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/manifests/classifier/classifier_status.csv,2026-07-18T20:20:59.481174+00:00,"Available targets: T059p7, T6400"
comparison_design,fitness,success,1,1,1,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/config/comparison_design.csv,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/config/comparison_design_issues.csv,,
treated_vs_parent,fitness,success,2,2,2,0,0,,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/treated_vs_parent,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/manifests/treated_vs_parent/treated_vs_parent_status.csv,2026-07-20T00:01:10.102366+00:00,"Available analysis IDs: H2O2_vs_parent, smoke_yH298_pool1_treated_vs_parent"
