Bin index,yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1 rank
CP048230.1-0,0,1062
CP048230.1-1,0,1063
CP048230.1-2,0,1064
CP048230.1-3,5,365
CP048230.1-4,4,455
CP048230.1-5,7,244
CP048230.1-6,8,204
CP048230.1-7,36,7
CP048230.1-8,10,137
CP048230.1-9,19,42
CP048230.1-10,1,878
CP048230.1-11,1,879
CP048230.1-12,37,6
CP048230.1-13,12,98
CP048230.1-14,17,50
CP048230.1-15,10,138
CP048230.1-16,4,456
CP048230.1-17,7,245
CP048230.1-18,21,33
CP048230.1-19,5,366
CP048230.1-20,5,367
CP048230.1-21,1,880
CP048230.1-22,0,1065
CP048230.1-23,4,457
CP048230.1-24,1,881
CP048230.1-25,6,295
CP048230.1-26,8,205
CP048230.1-27,4,458
CP048230.1-28,2,692
CP048230.1-29,6,296
CP048230.1-30,0,1066
CP048230.1-31,1,882
CP048230.1-32,2,693
CP048230.1-33,9,163
CP048230.1-34,6,297
CP048230.1-35,6,298
CP048230.1-36,1,883
CP048230.1-37,6,299
CP048230.1-38,3,565
CP048230.1-39,4,459
CP048230.1-40,2,694
CP048230.1-41,7,246
CP048230.1-42,3,566
CP048230.1-43,9,164
CP048230.1-44,6,300
CP048230.1-45,0,1067
CP048230.1-46,4,460
CP048230.1-47,2,695
CP048230.1-48,7,247
CP048231.1-0,0,1068
CP048231.1-1,2,696
CP048231.1-2,0,1069
CP048231.1-3,5,368
CP048231.1-4,6,301
CP048231.1-5,5,369
CP048231.1-6,7,248
CP048231.1-7,6,302
CP048231.1-8,1,884
CP048231.1-9,12,99
CP048231.1-10,4,461
CP048231.1-11,0,1070
CP048231.1-12,3,567
CP048231.1-13,1,885
CP048231.1-14,3,568
CP048231.1-15,0,1071
CP048231.1-16,0,1072
CP048231.1-17,3,569
CP048231.1-18,1,886
CP048231.1-19,2,697
CP048231.1-20,2,698
CP048231.1-21,1,887
CP048231.1-22,2,699
CP048231.1-23,9,165
CP048231.1-24,9,166
CP048231.1-25,9,167
CP048231.1-26,3,570
CP048231.1-27,9,168
CP048231.1-28,12,100
CP048231.1-29,28,17
CP048231.1-30,14,69
CP048231.1-31,2,700
CP048231.1-32,0,1073
CP048231.1-33,1,888
CP048231.1-34,4,462
CP048231.1-35,23,26
CP048231.1-36,1,889
CP048231.1-37,21,34
CP048231.1-38,33,11
CP048231.1-39,6,303
CP048231.1-40,4,463
CP048231.1-41,13,82
CP048231.1-42,10,139
CP048231.1-43,10,140
CP048231.1-44,28,18
CP048231.1-45,19,43
CP048231.1-46,15,60
CP048231.1-47,18,47
CP048231.1-48,22,29
CP048232.1-0,0,1074
CP048232.1-1,0,1075
CP048232.1-2,2,701
CP048232.1-3,4,464
CP048232.1-4,4,465
CP048232.1-5,3,571
CP048232.1-6,2,702
CP048232.1-7,5,370
CP048232.1-8,6,304
CP048232.1-9,0,1076
CP048232.1-10,4,466
CP048232.1-11,7,249
CP048232.1-12,1,890
CP048232.1-13,2,703
CP048232.1-14,1,891
CP048232.1-15,4,467
CP048232.1-16,16,55
CP048232.1-17,2,704
CP048232.1-18,10,141
CP048232.1-19,4,468
CP048232.1-20,3,572
CP048232.1-21,2,705
CP048232.1-22,7,250
CP048232.1-23,11,123
CP048232.1-24,12,101
CP048232.1-25,2,706
CP048232.1-26,2,707
CP048232.1-27,4,469
CP048232.1-28,6,305
CP048232.1-29,1,892
CP048232.1-30,2,708
CP048232.1-31,20,38
CP048232.1-32,7,251
CP048232.1-33,6,306
CP048232.1-34,10,142
CP048232.1-35,9,169
CP048232.1-36,18,48
CP048232.1-37,16,56
CP048232.1-38,15,61
CP048232.1-39,17,51
CP048232.1-40,24,22
CP048232.1-41,33,12
CP048232.1-42,26,19
CP048232.1-43,41,4
CP048232.1-44,11,124
CP048232.1-45,14,70
CP048232.1-46,10,143
CP048232.1-47,20,39
CP048232.1-48,7,252
CP048232.1-49,3,573
CP048232.1-50,5,371
CP048232.1-51,1,893
CP048232.1-52,1,894
CP048233.1-0,0,1077
CP048233.1-1,1,895
CP048233.1-2,10,144
CP048233.1-3,8,206
CP048233.1-4,0,1078
CP048233.1-5,3,574
CP048233.1-6,5,372
CP048233.1-7,3,575
CP048233.1-8,3,576
CP048233.1-9,8,207
CP048233.1-10,3,577
CP048233.1-11,0,1079
CP048233.1-12,5,373
CP048233.1-13,5,374
CP048233.1-14,1,896
CP048233.1-15,1,897
CP048233.1-16,8,208
CP048233.1-17,1,898
CP048233.1-18,8,209
CP048233.1-19,6,307
CP048233.1-20,2,709
CP048233.1-21,0,1080
CP048233.1-22,3,578
CP048233.1-23,1,899
CP048233.1-24,4,470
CP048233.1-25,2,710
CP048233.1-26,1,900
CP048233.1-27,2,711
CP048233.1-28,0,1081
CP048233.1-29,2,712
CP048233.1-30,1,901
CP048233.1-31,0,1082
CP048233.1-32,0,1083
CP048233.1-33,1,902
CP048233.1-34,1,903
CP048233.1-35,2,713
CP048233.1-36,2,714
CP048233.1-37,3,579
CP048233.1-38,1,904
CP048233.1-39,4,471
CP048233.1-40,2,715
CP048233.1-41,0,1084
CP048233.1-42,5,375
CP048233.1-43,5,376
CP048233.1-44,7,253
CP048233.1-45,2,716
CP048233.1-46,0,1085
CP048233.1-47,5,377
CP048233.1-48,5,378
CP048233.1-49,3,580
CP048233.1-50,5,379
CP048233.1-51,3,581
CP048233.1-52,4,472
CP048233.1-53,12,102
CP048233.1-54,8,210
CP048233.1-55,36,8
CP048233.1-56,8,211
CP048233.1-57,8,212
CP048233.1-58,7,254
CP048233.1-59,14,71
CP048233.1-60,20,40
CP048233.1-61,10,145
CP048233.1-62,11,125
CP048233.1-63,1,905
CP048233.1-64,40,5
CP048233.1-65,7,255
CP048233.1-66,26,20
CP048233.1-67,4,473
CP048233.1-68,5,380
CP048234.1-0,0,1086
CP048234.1-1,1,906
CP048234.1-2,0,1087
CP048234.1-3,0,1088
CP048234.1-4,1,907
CP048234.1-5,0,1089
CP048234.1-6,1,908
CP048234.1-7,1,909
CP048234.1-8,2,717
CP048234.1-9,3,582
CP048234.1-10,3,583
CP048234.1-11,1,910
CP048234.1-12,11,126
CP048234.1-13,7,256
CP048234.1-14,3,584
CP048234.1-15,4,474
CP048234.1-16,1,911
CP048234.1-17,5,381
CP048234.1-18,4,475
CP048234.1-19,12,103
CP048234.1-20,6,308
CP048234.1-21,5,382
CP048234.1-22,12,104
CP048234.1-23,36,9
CP048234.1-24,9,170
CP048234.1-25,19,44
CP048234.1-26,12,105
CP048234.1-27,9,171
CP048234.1-28,7,257
CP048234.1-29,4,476
CP048234.1-30,14,72
CP048234.1-31,16,57
CP048234.1-32,12,106
CP048234.1-33,12,107
CP048234.1-34,1,912
CP048234.1-35,1,913
CP048234.1-36,9,172
CP048234.1-37,1,914
CP048234.1-38,2,718
CP048234.1-39,11,127
CP048234.1-40,1,915
CP048234.1-41,5,383
CP048234.1-42,1,916
CP048234.1-43,8,213
CP048234.1-44,13,83
CP048234.1-45,0,1090
CP048234.1-46,15,62
CP048234.1-47,8,214
CP048234.1-48,4,477
CP048234.1-49,9,173
CP048234.1-50,6,309
CP048234.1-51,0,1091
CP048234.1-52,13,84
CP048234.1-53,5,384
CP048234.1-54,1,917
CP048234.1-55,1,918
CP048234.1-56,5,385
CP048234.1-57,9,174
CP048234.1-58,6,310
CP048234.1-59,2,719
CP048234.1-60,3,585
CP048234.1-61,2,720
CP048234.1-62,8,215
