Bin index,yH298-parent-pool2,yH298-parent-pool2 rank
CP048230.1-0,0,1100
CP048230.1-1,0,1101
CP048230.1-2,0,1102
CP048230.1-3,3,636
CP048230.1-4,1,926
CP048230.1-5,19,48
CP048230.1-6,8,241
CP048230.1-7,46,4
CP048230.1-8,12,127
CP048230.1-9,19,49
CP048230.1-10,5,422
CP048230.1-11,1,927
CP048230.1-12,25,27
CP048230.1-13,13,101
CP048230.1-14,22,36
CP048230.1-15,10,171
CP048230.1-16,4,523
CP048230.1-17,6,356
CP048230.1-18,24,30
CP048230.1-19,9,201
CP048230.1-20,2,763
CP048230.1-21,1,928
CP048230.1-22,0,1103
CP048230.1-23,3,637
CP048230.1-24,1,929
CP048230.1-25,9,202
CP048230.1-26,9,203
CP048230.1-27,12,128
CP048230.1-28,5,423
CP048230.1-29,4,524
CP048230.1-30,1,930
CP048230.1-31,0,1104
CP048230.1-32,4,525
CP048230.1-33,6,357
CP048230.1-34,8,242
CP048230.1-35,9,204
CP048230.1-36,0,1105
CP048230.1-37,9,205
CP048230.1-38,1,931
CP048230.1-39,2,764
CP048230.1-40,1,932
CP048230.1-41,11,143
CP048230.1-42,1,933
CP048230.1-43,4,526
CP048230.1-44,9,206
CP048230.1-45,4,527
CP048230.1-46,7,293
CP048230.1-47,8,243
CP048230.1-48,10,172
CP048231.1-0,0,1106
CP048231.1-1,2,765
CP048231.1-2,5,424
CP048231.1-3,5,425
CP048231.1-4,4,528
CP048231.1-5,7,294
CP048231.1-6,4,529
CP048231.1-7,11,144
CP048231.1-8,2,766
CP048231.1-9,13,102
CP048231.1-10,6,358
CP048231.1-11,2,767
CP048231.1-12,1,934
CP048231.1-13,1,935
CP048231.1-14,5,426
CP048231.1-15,4,530
CP048231.1-16,2,768
CP048231.1-17,1,936
CP048231.1-18,2,769
CP048231.1-19,4,531
CP048231.1-20,1,937
CP048231.1-21,0,1107
CP048231.1-22,7,295
CP048231.1-23,20,44
CP048231.1-24,8,244
CP048231.1-25,8,245
CP048231.1-26,6,359
CP048231.1-27,13,103
CP048231.1-28,11,145
CP048231.1-29,27,22
CP048231.1-30,12,129
CP048231.1-31,1,938
CP048231.1-32,2,770
CP048231.1-33,2,771
CP048231.1-34,8,246
CP048231.1-35,17,64
CP048231.1-36,5,427
CP048231.1-37,25,28
CP048231.1-38,25,29
CP048231.1-39,7,296
CP048231.1-40,7,297
CP048231.1-41,13,104
CP048231.1-42,10,173
CP048231.1-43,15,77
CP048231.1-44,34,10
CP048231.1-45,23,33
CP048231.1-46,15,78
CP048231.1-47,20,45
CP048231.1-48,28,19
CP048231.1-49,1,939
CP048231.1-50,0,1108
CP048231.1-51,1,940
CP048232.1-0,0,1109
CP048232.1-1,0,1110
CP048232.1-2,5,428
CP048232.1-3,3,638
CP048232.1-4,7,298
CP048232.1-5,8,247
CP048232.1-6,5,429
CP048232.1-7,6,360
CP048232.1-8,5,430
CP048232.1-9,0,1111
CP048232.1-10,4,532
CP048232.1-11,4,533
CP048232.1-12,4,534
CP048232.1-13,5,431
CP048232.1-14,1,941
CP048232.1-15,0,1112
CP048232.1-16,15,79
CP048232.1-17,4,535
CP048232.1-18,11,146
CP048232.1-19,8,248
CP048232.1-20,2,772
CP048232.1-21,3,639
CP048232.1-22,2,773
CP048232.1-23,6,361
CP048232.1-24,8,249
CP048232.1-25,1,942
CP048232.1-26,4,536
CP048232.1-27,6,362
CP048232.1-28,7,299
CP048232.1-29,5,432
CP048232.1-30,3,640
CP048232.1-31,19,50
CP048232.1-32,8,250
CP048232.1-33,8,251
CP048232.1-34,10,174
CP048232.1-35,9,207
CP048232.1-36,14,91
CP048232.1-37,18,58
CP048232.1-38,14,92
CP048232.1-39,21,38
CP048232.1-40,28,20
CP048232.1-41,36,7
CP048232.1-42,31,15
