Bin index,combined_parent_hits.T059p7,combined_parent_hits.T059p7 rank
CP048230.1-0,1,1175
CP048230.1-1,0,1213
CP048230.1-2,1,1176
CP048230.1-3,9,753
CP048230.1-4,9,754
CP048230.1-5,40,95
CP048230.1-6,29,185
CP048230.1-7,98,7
CP048230.1-8,28,198
CP048230.1-9,69,27
CP048230.1-10,19,343
CP048230.1-11,7,856
CP048230.1-12,80,16
CP048230.1-13,36,117
CP048230.1-14,66,29
CP048230.1-15,22,293
CP048230.1-16,13,538
CP048230.1-17,20,324
CP048230.1-18,64,33
CP048230.1-19,26,225
CP048230.1-20,17,407
CP048230.1-21,2,1126
CP048230.1-22,0,1214
CP048230.1-23,12,591
CP048230.1-24,8,795
CP048230.1-25,21,308
CP048230.1-26,27,212
CP048230.1-27,26,226
CP048230.1-28,15,468
CP048230.1-29,11,644
CP048230.1-30,2,1127
CP048230.1-31,5,967
CP048230.1-32,27,213
CP048230.1-33,20,325
CP048230.1-34,19,344
CP048230.1-35,22,294
CP048230.1-36,1,1177
CP048230.1-37,28,199
CP048230.1-38,4,1020
CP048230.1-39,10,696
CP048230.1-40,5,968
CP048230.1-41,18,381
CP048230.1-42,6,919
CP048230.1-43,14,509
CP048230.1-44,35,124
CP048230.1-45,10,697
CP048230.1-46,15,469
CP048230.1-47,19,345
CP048230.1-48,24,251
CP048231.1-0,0,1215
CP048231.1-1,10,698
CP048231.1-2,10,699
CP048231.1-3,15,470
CP048231.1-4,10,700
CP048231.1-5,30,175
CP048231.1-6,18,382
CP048231.1-7,27,214
CP048231.1-8,8,796
CP048231.1-9,35,125
CP048231.1-10,20,326
CP048231.1-11,7,857
CP048231.1-12,6,920
CP048231.1-13,5,969
CP048231.1-14,12,592
CP048231.1-15,9,755
CP048231.1-16,4,1021
CP048231.1-17,3,1080
CP048231.1-18,14,510
CP048231.1-19,13,539
CP048231.1-20,9,756
CP048231.1-21,0,1216
CP048231.1-22,17,408
CP048231.1-23,58,45
CP048231.1-24,14,511
CP048231.1-25,24,252
CP048231.1-26,24,253
CP048231.1-27,39,98
CP048231.1-28,36,118
CP048231.1-29,74,21
CP048231.1-30,43,81
CP048231.1-31,7,858
CP048231.1-32,8,797
CP048231.1-33,9,757
CP048231.1-34,13,540
CP048231.1-35,65,32
CP048231.1-36,12,593
CP048231.1-37,70,26
CP048231.1-38,84,13
CP048231.1-39,25,239
CP048231.1-40,18,383
CP048231.1-41,39,99
CP048231.1-42,27,215
CP048231.1-43,47,65
CP048231.1-44,101,6
CP048231.1-45,71,24
CP048231.1-46,49,56
CP048231.1-47,66,30
CP048231.1-48,73,23
CP048231.1-49,3,1081
CP048231.1-50,0,1217
CP048231.1-51,3,1082
CP048232.1-0,0,1218
CP048232.1-1,0,1219
CP048232.1-2,10,701
CP048232.1-3,17,409
CP048232.1-4,16,442
CP048232.1-5,18,384
CP048232.1-6,13,541
CP048232.1-7,20,327
CP048232.1-8,13,542
CP048232.1-9,1,1178
CP048232.1-10,11,645
CP048232.1-11,10,702
CP048232.1-12,8,798
CP048232.1-13,14,512
CP048232.1-14,11,646
CP048232.1-15,8,799
CP048232.1-16,49,57
CP048232.1-17,9,758
CP048232.1-18,28,200
CP048232.1-19,18,385
CP048232.1-20,7,859
CP048232.1-21,15,471
CP048232.1-22,10,703
CP048232.1-23,22,295
CP048232.1-24,34,133
CP048232.1-25,6,921
CP048232.1-26,16,443
CP048232.1-27,19,346
CP048232.1-28,22,296
CP048232.1-29,13,543
CP048232.1-30,9,759
CP048232.1-31,49,58
CP048232.1-32,25,240
CP048232.1-33,16,444
CP048232.1-34,30,176
CP048232.1-35,29,186
CP048232.1-36,48,62
CP048232.1-37,52,53
CP048232.1-38,49,59
CP048232.1-39,47,66
CP048232.1-40,59,43
CP048232.1-41,94,8
CP048232.1-42,74,22
CP048232.1-43,142,2
CP048232.1-44,64,34
CP048232.1-45,62,41
CP048232.1-46,21,309
CP048232.1-47,64,35
CP048232.1-48,23,273
CP048232.1-49,15,472
CP048232.1-50,15,473
CP048232.1-51,6,922
CP048232.1-52,12,594
CP048232.1-53,1,1179
CP048233.1-0,0,1220
CP048233.1-1,4,1022
CP048233.1-2,29,187
