Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048230.1-0,0,1115
CP048230.1-1,0,1116
CP048230.1-2,0,1117
CP048230.1-3,6,352
CP048230.1-4,4,531
CP048230.1-5,14,90
CP048230.1-6,12,129
CP048230.1-7,38,4
CP048230.1-8,7,296
CP048230.1-9,29,23
CP048230.1-10,6,353
CP048230.1-11,2,791
CP048230.1-12,37,7
CP048230.1-13,16,67
CP048230.1-14,26,27
CP048230.1-15,7,297
CP048230.1-16,5,440
CP048230.1-17,5,441
CP048230.1-18,20,45
CP048230.1-19,12,130
CP048230.1-20,8,246
CP048230.1-21,0,1118
CP048230.1-22,0,1119
CP048230.1-23,3,662
CP048230.1-24,4,532
CP048230.1-25,7,298
CP048230.1-26,9,214
CP048230.1-27,9,215
CP048230.1-28,6,354
CP048230.1-29,1,940
CP048230.1-30,2,792
CP048230.1-31,4,533
CP048230.1-32,10,184
CP048230.1-33,6,355
CP048230.1-34,4,534
CP048230.1-35,11,153
CP048230.1-36,0,1120
CP048230.1-37,7,299
CP048230.1-38,1,941
CP048230.1-39,2,793
CP048230.1-40,3,663
CP048230.1-41,5,442
CP048230.1-42,1,942
CP048230.1-43,4,535
CP048230.1-44,13,108
CP048230.1-45,5,443
CP048230.1-46,1,943
CP048230.1-47,5,444
CP048230.1-48,6,356
CP048231.1-0,0,1121
CP048231.1-1,3,664
CP048231.1-2,4,536
CP048231.1-3,6,357
CP048231.1-4,2,794
CP048231.1-5,11,154
CP048231.1-6,10,185
CP048231.1-7,10,186
CP048231.1-8,1,944
CP048231.1-9,11,155
CP048231.1-10,9,216
CP048231.1-11,3,665
CP048231.1-12,1,945
CP048231.1-13,1,946
CP048231.1-14,5,445
CP048231.1-15,5,446
CP048231.1-16,2,795
CP048231.1-17,0,1122
CP048231.1-18,3,666
CP048231.1-19,4,537
CP048231.1-20,5,447
CP048231.1-21,0,1123
CP048231.1-22,7,300
CP048231.1-23,19,51
CP048231.1-24,9,217
CP048231.1-25,10,187
CP048231.1-26,8,247
CP048231.1-27,14,91
CP048231.1-28,11,156
CP048231.1-29,22,36
CP048231.1-30,23,33
CP048231.1-31,5,448
CP048231.1-32,2,796
CP048231.1-33,1,947
CP048231.1-34,1,948
CP048231.1-35,21,40
CP048231.1-36,5,449
CP048231.1-37,29,24
CP048231.1-38,32,14
CP048231.1-39,7,301
CP048231.1-40,6,358
CP048231.1-41,11,157
CP048231.1-42,8,248
CP048231.1-43,13,109
CP048231.1-44,32,15
CP048231.1-45,25,30
CP048231.1-46,14,92
CP048231.1-47,21,41
CP048231.1-48,20,46
CP048231.1-49,2,797
CP048231.1-50,0,1124
CP048231.1-51,1,949
CP048232.1-0,0,1125
CP048232.1-1,0,1126
CP048232.1-2,3,667
CP048232.1-3,4,538
CP048232.1-4,2,798
CP048232.1-5,3,668
CP048232.1-6,7,302
CP048232.1-7,6,359
CP048232.1-8,2,799
CP048232.1-9,0,1127
CP048232.1-10,1,950
CP048232.1-11,2,800
CP048232.1-12,2,801
CP048232.1-13,3,669
CP048232.1-14,4,539
CP048232.1-15,2,802
CP048232.1-16,20,47
CP048232.1-17,1,951
CP048232.1-18,9,218
CP048232.1-19,6,360
CP048232.1-20,2,803
CP048232.1-21,4,540
CP048232.1-22,5,450
CP048232.1-23,9,219
CP048232.1-24,13,110
CP048232.1-25,2,804
CP048232.1-26,4,541
CP048232.1-27,8,249
CP048232.1-28,7,303
CP048232.1-29,5,451
CP048232.1-30,1,952
CP048232.1-31,11,158
CP048232.1-32,8,250
CP048232.1-33,10,188
CP048232.1-34,13,111
CP048232.1-35,7,304
CP048232.1-36,15,75
CP048232.1-37,15,76
CP048232.1-38,23,34
CP048232.1-39,11,159
CP048232.1-40,26,28
CP048232.1-41,35,9
CP048232.1-42,16,68
CP048232.1-43,52,2
CP048232.1-44,24,31
CP048232.1-45,21,42
CP048232.1-46,7,305
CP048232.1-47,23,35
CP048232.1-48,6,361
CP048232.1-49,3,670
CP048232.1-50,5,452
CP048232.1-51,4,542
CP048232.1-52,1,953
CP048232.1-53,1,954
CP048233.1-0,0,1128
CP048233.1-1,0,1129
CP048233.1-2,7,306
CP048233.1-3,0,1130
CP048233.1-4,0,1131
CP048233.1-5,10,189
CP048233.1-6,5,453
CP048233.1-7,1,955
CP048233.1-8,3,671
CP048233.1-9,7,307
CP048233.1-10,6,362
CP048233.1-11,0,1132
CP048233.1-12,8,251
CP048233.1-13,4,543
CP048233.1-14,3,672
CP048233.1-15,3,673
CP048233.1-16,2,805
CP048233.1-17,2,806
CP048233.1-18,6,363
CP048233.1-19,2,807
CP048233.1-20,0,1133
CP048233.1-21,4,544
CP048233.1-22,0,1134
CP048233.1-23,2,808
CP048233.1-24,14,93
CP048233.1-25,1,956
CP048233.1-26,0,1135
CP048233.1-27,1,957
CP048233.1-28,0,1136
CP048233.1-29,1,958
CP048233.1-30,3,674
CP048233.1-31,2,809
CP048233.1-32,0,1137
CP048233.1-33,2,810
CP048233.1-34,1,959
CP048233.1-35,4,545
CP048233.1-36,1,960
CP048233.1-37,0,1138
CP048233.1-38,5,454
CP048233.1-39,4,546
CP048233.1-40,8,252
CP048233.1-41,0,1139
CP048233.1-42,12,131
CP048233.1-43,1,961
CP048233.1-44,5,455
CP048233.1-45,4,547
CP048233.1-46,2,811
CP048233.1-47,5,456
CP048233.1-48,4,548
CP048233.1-49,9,220
CP048233.1-50,12,132
CP048233.1-51,6,364
CP048233.1-52,1,962
CP048233.1-53,11,160
CP048233.1-54,9,221
CP048233.1-55,20,48
CP048233.1-56,8,253
CP048233.1-57,15,77
CP048233.1-58,12,133
CP048233.1-59,11,161
CP048233.1-60,28,25
CP048233.1-61,8,254
CP048233.1-62,13,112
CP048233.1-63,6,365
CP048233.1-64,38,5
CP048233.1-65,2,812
CP048233.1-66,19,52
CP048233.1-67,1,963
CP048233.1-68,12,134
CP048233.1-69,1,964
CP048234.1-0,0,1140
CP048234.1-1,2,813
CP048234.1-2,0,1141
CP048234.1-3,0,1142
CP048234.1-4,1,965
CP048234.1-5,1,966
CP048234.1-6,3,675
CP048234.1-7,1,967
CP048234.1-8,4,549
CP048234.1-9,7,308
CP048234.1-10,3,676
CP048234.1-11,4,550
CP048234.1-12,10,190
CP048234.1-13,8,255
CP048234.1-14,13,113
CP048234.1-15,5,457
CP048234.1-16,3,677
CP048234.1-17,4,551
CP048234.1-18,2,814
CP048234.1-19,14,94
CP048234.1-20,9,222
CP048234.1-21,10,191
CP048234.1-22,11,162
CP048234.1-23,34,10
CP048234.1-24,6,366
CP048234.1-25,17,64
CP048234.1-26,21,43
CP048234.1-27,13,114
CP048234.1-28,18,59
CP048234.1-29,5,458
CP048234.1-30,19,53
CP048234.1-31,31,20
CP048234.1-32,10,192
CP048234.1-33,6,367
CP048234.1-34,0,1143
CP048234.1-35,3,678
CP048234.1-36,11,163
CP048234.1-37,5,459
CP048234.1-38,2,815
CP048234.1-39,11,164
CP048234.1-40,4,552
CP048234.1-41,8,256
CP048234.1-42,6,368
CP048234.1-43,9,223
