background,pool,contrast,call,n
yH298,1,yH298_pool1_treated_vs_parent,depleted,43
yH298,1,yH298_pool1_treated_vs_parent,none,5157
yH298,1,yH298_pool1_treated_vs_parent,enriched,34
yH298,2,yH298_pool2_treated_vs_parent,depleted,39
yH298,2,yH298_pool2_treated_vs_parent,none,5183
yH298,2,yH298_pool2_treated_vs_parent,enriched,12
yH299,3,yH299_pool3_treated_vs_parent,depleted,15
yH299,3,yH299_pool3_treated_vs_parent,none,5203
yH299,3,yH299_pool3_treated_vs_parent,enriched,16
yH299,4,yH299_pool4_treated_vs_parent,depleted,57
yH299,4,yH299_pool4_treated_vs_parent,none,5167
yH299,4,yH299_pool4_treated_vs_parent,enriched,10
