feature_id,sample,condition,background,pool,reads,total_feature_reads,cpm
GWK60_A00011,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00011,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00011,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00011,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00011,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00011,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00011,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00011,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00033,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00033,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00033,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00033,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00033,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00033,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00033,yH299-parent-pool3,parent,yH299,3,1,2117,472.36655644780353
GWK60_A00033,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00055,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00055,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00055,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00055,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00055,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00055,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00055,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00055,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00077,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00077,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00077,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00077,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00077,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00077,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00077,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00077,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00099,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00099,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00099,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00099,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00099,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00099,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00099,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00099,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00121,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00121,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00121,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00121,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00121,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00121,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00121,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00121,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00143,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00143,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00143,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00143,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00143,yH299-H2O2-treated-facs-pool3,treated,yH299,3,4,2012,1988.0715705765406
GWK60_A00143,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00143,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00143,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00165,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00165,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00165,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00165,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00165,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00165,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00165,yH299-parent-pool3,parent,yH299,3,1,2117,472.36655644780353
GWK60_A00165,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00187,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00187,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00187,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00187,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00187,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00187,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00187,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00187,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00209,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00209,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00209,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00209,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00209,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00209,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00209,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00209,yH299-parent-pool4,parent,yH299,4,1,1572,636.1323155216286
GWK60_A00231,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00231,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00231,yH298-parent-pool1,parent,yH298,1,1,2000,500
GWK60_A00231,yH298-parent-pool2,parent,yH298,2,2,2013,993.5419771485346
GWK60_A00231,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00231,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00231,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00231,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00253,yH298-H2O2-treated-facs-pool1,treated,yH298,1,1,1828,547.0459518599562
GWK60_A00253,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00253,yH298-parent-pool1,parent,yH298,1,1,2000,500
GWK60_A00253,yH298-parent-pool2,parent,yH298,2,1,2013,496.7709885742673
GWK60_A00253,yH299-H2O2-treated-facs-pool3,treated,yH299,3,2,2012,994.0357852882703
GWK60_A00253,yH299-H2O2-treated-facs-pool4,treated,yH299,4,1,2244,445.63279857397504
GWK60_A00253,yH299-parent-pool3,parent,yH299,3,3,2117,1417.0996693434106
GWK60_A00253,yH299-parent-pool4,parent,yH299,4,2,1572,1272.2646310432572
