Chromosome,Position,Reads
CP048230.1,39272,2
CP048230.1,39279,5
CP048230.1,39290,1
CP048230.1,39453,1
CP048230.1,39462,2
CP048230.1,39666,1
CP048230.1,43314,1
CP048230.1,43321,1
CP048230.1,43522,1
CP048230.1,47835,1
CP048230.1,50503,1
CP048230.1,51149,2
CP048230.1,51172,1
CP048230.1,51236,4
CP048230.1,51243,1
CP048230.1,51529,1
CP048230.1,51563,1
CP048230.1,51625,1
CP048230.1,51632,2
CP048230.1,52037,1
CP048230.1,52044,3
CP048230.1,52067,1
CP048230.1,55281,2
CP048230.1,59007,1
CP048230.1,61114,1
CP048230.1,61300,1
CP048230.1,61377,1
CP048230.1,61605,1
CP048230.1,61614,1
CP048230.1,61619,1
CP048230.1,61621,4
CP048230.1,61634,1
CP048230.1,61644,1
CP048230.1,61703,1
CP048230.1,61815,1
CP048230.1,62211,1
CP048230.1,72659,1
CP048230.1,72666,1
CP048230.1,72712,3
CP048230.1,72934,1
CP048230.1,73115,2
CP048230.1,73148,1
CP048230.1,73200,1
CP048230.1,73219,1
CP048230.1,73224,1
CP048230.1,73239,1
CP048230.1,73458,1
CP048230.1,73780,6
CP048230.1,75809,1
CP048230.1,75946,1
CP048230.1,77155,1
CP048230.1,78023,1
CP048230.1,78087,2
CP048230.1,78232,1
CP048230.1,78347,2
CP048230.1,78354,1
CP048230.1,78379,2
CP048230.1,78422,1
CP048230.1,78429,2
CP048230.1,78438,2
CP048230.1,78445,1
CP048230.1,78522,2
CP048230.1,78531,5
CP048230.1,78621,1
CP048230.1,78629,1
CP048230.1,78720,1
CP048230.1,78767,1
CP048230.1,78894,1
CP048230.1,78901,1
CP048230.1,78927,1
CP048230.1,79045,2
CP048230.1,79116,1
CP048230.1,79223,1
CP048230.1,79338,1
CP048230.1,80158,2
CP048230.1,84071,1
CP048230.1,84078,1
CP048230.1,84187,1
CP048230.1,86029,2
CP048230.1,86036,1
CP048230.1,87557,3
CP048230.1,91220,1
CP048230.1,92108,1
CP048230.1,93204,1
CP048230.1,93931,1
CP048230.1,94809,1
CP048230.1,94884,1
CP048230.1,95041,1
CP048230.1,95058,1
CP048230.1,95113,3
CP048230.1,95120,2
