Chromosome,Position,Reads
CP048230.1,39207,2
CP048230.1,39279,1
CP048230.1,39666,1
CP048230.1,47976,2
CP048230.1,50510,1
CP048230.1,51156,1
CP048230.1,51233,1
CP048230.1,51236,4
CP048230.1,51563,1
CP048230.1,51625,1
CP048230.1,51757,1
CP048230.1,51765,1
CP048230.1,51889,1
CP048230.1,52037,1
CP048230.1,52044,3
CP048230.1,52067,1
CP048230.1,52108,1
CP048230.1,52266,1
CP048230.1,55357,3
CP048230.1,57022,1
CP048230.1,59046,1
CP048230.1,59053,1
CP048230.1,59457,1
CP048230.1,60038,1
CP048230.1,61361,1
CP048230.1,61536,1
CP048230.1,61744,1
CP048230.1,62262,1
CP048230.1,65206,1
CP048230.1,67965,1
CP048230.1,69026,1
CP048230.1,72659,1
CP048230.1,72791,1
CP048230.1,72934,1
CP048230.1,73179,1
CP048230.1,73200,1
CP048230.1,73219,2
CP048230.1,73224,1
CP048230.1,73279,1
CP048230.1,73417,2
CP048230.1,73429,1
CP048230.1,73466,2
CP048230.1,73717,1
CP048230.1,73780,2
CP048230.1,74675,1
CP048230.1,74682,1
CP048230.1,75235,1
CP048230.1,75292,1
CP048230.1,75809,1
CP048230.1,77995,1
CP048230.1,78039,1
CP048230.1,78087,2
CP048230.1,78094,1
CP048230.1,78147,1
CP048230.1,78232,1
CP048230.1,78347,1
CP048230.1,78396,1
CP048230.1,78415,3
CP048230.1,78445,2
CP048230.1,78478,1
CP048230.1,78522,2
CP048230.1,78531,1
CP048230.1,78621,2
CP048230.1,78629,1
CP048230.1,78636,1
CP048230.1,78665,1
CP048230.1,78855,1
CP048230.1,78894,2
CP048230.1,78907,1
CP048230.1,78921,1
CP048230.1,78927,1
CP048230.1,79109,2
CP048230.1,79116,1
CP048230.1,79195,1
CP048230.1,79223,1
CP048230.1,79759,1
CP048230.1,79983,1
CP048230.1,84035,2
CP048230.1,84078,2
CP048230.1,86208,1
CP048230.1,86212,1
CP048230.1,86215,1
CP048230.1,86221,1
CP048230.1,86313,2
CP048230.1,86538,1
CP048230.1,87371,1
CP048230.1,87557,2
CP048230.1,88541,1
CP048230.1,89294,1
CP048230.1,91206,1
CP048230.1,92108,1
CP048230.1,93047,1
CP048230.1,94809,1
CP048230.1,96684,1
CP048230.1,96763,1
CP048230.1,96867,1
CP048230.1,97260,2
CP048230.1,97289,1
CP048230.1,97494,1
CP048230.1,97583,1
CP048230.1,98150,1
CP048230.1,98308,1
CP048230.1,98363,1
CP048230.1,98414,1
CP048230.1,98879,1
CP048230.1,99391,1
CP048230.1,99398,1
CP048230.1,99409,1
CP048230.1,101262,1
CP048230.1,101650,1
CP048230.1,107705,1
CP048230.1,108849,2
CP048230.1,109570,2
CP048230.1,114452,1
CP048230.1,122336,1
CP048230.1,122624,3
CP048230.1,122713,1
CP048230.1,122726,2
CP048230.1,122735,1
CP048230.1,122812,1
CP048230.1,122877,1
CP048230.1,123029,2
CP048230.1,123154,2
CP048230.1,123161,2
CP048230.1,123363,1
CP048230.1,123375,2
CP048230.1,123392,2
CP048230.1,123438,1
CP048230.1,123450,2
CP048230.1,123480,1
CP048230.1,125453,2
CP048230.1,126506,1
CP048230.1,126629,1
CP048230.1,126985,1
CP048230.1,127036,1
CP048230.1,127606,2
CP048230.1,127608,1
CP048230.1,127801,1
CP048230.1,127973,1
CP048230.1,130298,1
CP048230.1,131262,2
CP048230.1,132288,1
CP048230.1,132329,1
CP048230.1,132355,1
CP048230.1,132400,1
CP048230.1,132401,2
CP048230.1,132593,1
CP048230.1,133072,1
CP048230.1,133349,1
CP048230.1,134032,2
CP048230.1,135055,1
CP048230.1,137963,1
CP048230.1,140951,2
CP048230.1,140956,1
CP048230.1,141088,1
CP048230.1,141229,1
CP048230.1,141783,1
CP048230.1,141828,1
CP048230.1,141830,1
CP048230.1,142110,1
CP048230.1,142344,1
CP048230.1,142428,2
CP048230.1,142435,4
CP048230.1,143569,1
CP048230.1,145418,1
CP048230.1,145709,1
CP048230.1,146012,1
CP048230.1,146045,1
CP048230.1,146109,1
CP048230.1,146440,1
CP048230.1,146743,1
CP048230.1,146858,1
CP048230.1,147215,1
CP048230.1,147271,1
CP048230.1,150064,1
CP048230.1,150073,1
CP048230.1,150201,1
CP048230.1,150272,1
CP048230.1,150633,1
CP048230.1,153317,2
CP048230.1,154916,1
CP048230.1,154957,1
CP048230.1,158690,1
CP048230.1,159996,2
CP048230.1,160888,1
CP048230.1,162185,1
CP048230.1,168332,1
CP048230.1,169436,1
CP048230.1,173507,1
CP048230.1,174573,1
CP048230.1,176385,1
CP048230.1,179451,1
CP048230.1,179458,1
CP048230.1,179690,1
CP048230.1,181030,1
CP048230.1,181262,1
CP048230.1,181417,1
CP048230.1,181670,1
CP048230.1,181879,1
CP048230.1,181968,1
CP048230.1,182051,1
CP048230.1,182127,1
CP048230.1,182332,1
CP048230.1,182427,2
CP048230.1,183390,1
CP048230.1,183500,1
CP048230.1,183540,1
CP048230.1,183579,1
CP048230.1,183679,1
CP048230.1,183755,1
CP048230.1,183977,1
CP048230.1,184056,1
CP048230.1,185132,1
CP048230.1,185230,1
CP048230.1,185558,2
CP048230.1,185565,1
CP048230.1,185687,1
CP048230.1,185786,1
CP048230.1,190280,1
CP048230.1,190411,1
CP048230.1,191543,1
CP048230.1,191544,1
CP048230.1,197437,1
CP048230.1,197528,1
CP048230.1,197605,1
