Standard name,Common name,Type,Sc ortholog,Sc ortholog gene name,Sc SGDID,Essential in Sc,Sc synthetic lethals,Sc fitness,Hits,Reads,Length,Insertion index,Neighborhood index,Reads NI,Max free region,Freedom index,Logit FI,Kornmann FI,Domain ratio,Hits in domains,Reads in domains,Domain coverage
GWK60_A00011,EPA19,ORF,,,,,,,0,0,13698,0.0,0.0,0.0,13698,1.0,1.0,0.0,0.43371295079573663,0,0,5941
GWK60_A00033,EPA24,ORF,,,,,,,0,0,2109,0.0,0.0,0.0,2109,1.0,0.9999999948794296,0.0,0.3276434329065908,0,0,691
GWK60_A00055,GWK60_A00055,ORF,,,,,,,2,135,840,0.002380952380952381,0.31700244200244204,0.04687067474916053,460,0.5476190476190477,0.5467106565513331,0.0,0.0,0,0,0
GWK60_A00077,GWK60_A00077,ORF,YGL023C,PIB2,S000002991,,,0.8708,1,16,2271,0.00044033465433729633,0.04768972733884494,0.0018567882028357628,2032,0.8947600176133862,0.8947600167066773,0.0,0.7217084984588287,1,16,1639
GWK60_A00099,GWK60_A00099,ORF,YGL022W,STT3,S000002990,,,,0,0,2181,0.0,0.0,0.0,2181,1.0,0.9999999975075509,0.0,0.948188904172398,0,0,2068
GWK60_A00121,GWK60_A00121,ORF,YBL009W,ALK2,S000000105,,No,1.0150,12,2150,2382,0.005037783375314861,0.24672384657079996,0.07338805180212668,1029,0.43198992443324935,0.43198992428898203,0.17785000747516633,0.8014273719563392,9,1689,1909
GWK60_A00143,GWK60_A00143,ORF,YGL020C,GET1,S000002988,,,0.9325,0,0,672,0.0,0.0,0.0,672,1.0,0.9911635995393923,0.0,0.8720238095238095,0,0,586
GWK60_A00165,GWK60_A00165,ORF,YGL019W,CKB1,S000002987,,No,0.8682,1,39,801,0.0012484394506866417,0.040608485967882614,0.0024682399562459822,656,0.818976279650437,0.8169713598923884,0.0,0.9188514357053683,1,39,736
GWK60_A00187,GWK60_A00187,ORF,YGL018C,JAC1,S000002986,,,,0,0,597,0.0,0.0,0.0,597,1.0,0.9814761750367006,0.0,0.88107202680067,0,0,526
GWK60_A00209,GWK60_A00209,ORF,YGL017W,ATE1,S000002985,,,1.0025,9,1207,1530,0.0058823529411764705,0.2015591778880227,0.04554330836530459,378,0.24705882352941178,0.24705840983178218,0.1499341360550644,0.5620915032679739,4,697,860
GWK60_A00231,GWK60_A00231,ORF,YGL010W,MPO1,S000002978,,,1.0220,11,2204,570,0.01929824561403509,0.6156949259375984,0.20821474773609314,119,0.20877192982456141,0.2037348850022761,0.2756352649126579,0.843859649122807,8,1953,481
GWK60_A00253,GWK60_A00253,ORF,YGL009C,LEU1,S000002977,,,1.0212,28,9578,2355,0.0118895966029724,0.37193971668232917,0.265765840729615,732,0.310828025477707,0.3108280253417273,0.27170849086624993,0.9953290870488323,28,9578,2344
GWK60_A00275,GWK60_A00275,ORF,YGL016W,KAP122,S000002984,,,0.9042,19,17640,3210,0.005919003115264798,0.15651396762167408,0.3227672241618515,684,0.2130841121495327,0.2130841121495147,0.1957787894818217,0.9984423676012462,19,17640,3205
GWK60_A00297,SCL1,ORF,YGL011C,SCL1,S000002979,,Yes,,0,0,765,0.0,0.0,0.0,765,1.0,0.9964948127799336,0.0,0.9856209150326798,0,0,754
GWK60_A00319,ERG4,ORF,YGL012W,ERG4,S000002980,,,0.8460,0,0,1395,0.0,0.0,0.0,1395,1.0,0.9999935408088644,0.0,0.9469534050179211,0,0,1321
GWK60_A00341,PDR1,ORF,YBL005W,PDR3,S000000101,,No,1.0365,20,3854,3324,0.006016847172081829,0.14157498137642544,0.06616799822554366,710,0.21359807460890493,0.21359807460889915,0.1394263733979607,0.8038507821901324,15,2987,2672
GWK60_A00363,GWK60_A00363,ORF,YGL014W,PUF4,S000002982,,,0.9610,18,2500,2361,0.007623888182973317,0.1680780897679782,0.051144751215865224,365,0.15459551037695893,0.1545955103132657,0.17996661264486952,0.8331215586615841,15,2178,1967
GWK60_A00385,PMA1,ORF,YGL008C,PMA1,S000002976,,Yes,,1,47,2709,0.00036913990402362494,0.007577266105620591,0.0006838021751312331,2686,0.9915097822074567,0.9915097821948717,0.0,0.9638242894056848,0,0,2611
GWK60_A00407,GWK60_A00407,ORF,YGL006W,PMC1,S000002974,,,1.0077,70,34900,3369,0.020777678836449986,0.45388877753425805,0.3982867969328285,423,0.12555654496883348,0.1255565449688313,0.22444713408956274,0.9441970911249629,68,34295,3181
GWK60_A00429,GWK60_A00429,ORF,YGL005C,COG7,S000002973,,,0.9487,10,980,810,0.012345679012345678,0.2792817059483726,0.04725474940235715,331,0.408641975308642,0.40772749646846607,0.2936710529401911,0.40617283950617283,2,373,329
GWK60_A00451,GWK60_A00451,ORF,YGL004C,RPN14,S000002972,,,1.0310,129,87885,1239,0.10411622276029056,2.559673919418216,3.110907921412981,65,0.052461662631154156,0.05246005009658391,0.0,0.8385794995964487,113,80620,1039
GWK60_A00473,GWK60_A00473,ORF,,,,,,,15,2108,1941,0.0077279752704791345,0.18429471889887483,0.04155090503217874,367,0.18907779495105614,0.18907778975619927,0.136994770719711,0.7825862957238536,13,1726,1519
GWK60_A00495,GWK60_A00495,ORF,YGL003C,CDH1,S000002971,,,0.5930,2,284,1923,0.0010400416016640667,0.02880803404179178,0.006993233535337626,1207,0.6276651066042642,0.6276650859583532,0.0,0.9739989599583984,2,284,1873
