Chromosome,Position,Reads
CP048230.1,506,1
CP048230.1,1261,160
CP048230.1,1774,2041
CP048230.1,2177,67
CP048230.1,2656,1100
CP048230.1,2682,44
CP048230.1,19195,95
CP048230.1,20266,143
CP048230.1,21047,105
CP048230.1,25975,51
CP048230.1,26244,214
CP048230.1,27213,254
CP048230.1,29632,550
CP048230.1,31697,11
CP048230.1,31751,104
CP048230.1,31789,578
CP048230.1,31811,1
CP048230.1,31927,26
CP048230.1,31929,82
CP048230.1,31936,51
CP048230.1,32398,22
CP048230.1,32577,700
CP048230.1,32766,146
CP048230.1,32939,414
CP048230.1,33227,157
CP048230.1,33638,355
CP048230.1,33645,498
CP048230.1,33647,1121
CP048230.1,33654,78
CP048230.1,33740,2
CP048230.1,33847,2
CP048230.1,33852,2
CP048230.1,33906,309
CP048230.1,33956,134
CP048230.1,33974,21
CP048230.1,34061,222
CP048230.1,36147,54
CP048230.1,36168,3292
CP048230.1,36171,28
CP048230.1,36489,1284
CP048230.1,38969,8
CP048230.1,39101,1
CP048230.1,39102,106
CP048230.1,39103,1229
CP048230.1,39147,170
CP048230.1,39199,487
CP048230.1,39205,259
CP048230.1,39207,1374
CP048230.1,39216,19
CP048230.1,39231,12
CP048230.1,39235,3879
CP048230.1,39241,1896
CP048230.1,39242,4221
CP048230.1,39248,18
CP048230.1,39255,132
CP048230.1,39266,935
CP048230.1,39272,15644
CP048230.1,39279,13587
CP048230.1,39283,1702
CP048230.1,39287,273
CP048230.1,39290,2317
CP048230.1,39291,1610
CP048230.1,39377,212
CP048230.1,39379,240
CP048230.1,39388,19
CP048230.1,39407,951
CP048230.1,39439,287
CP048230.1,39446,452
CP048230.1,39448,786
CP048230.1,39453,275
CP048230.1,39455,259
CP048230.1,39462,1005
CP048230.1,39480,4
CP048230.1,39523,168
CP048230.1,39565,84
CP048230.1,39574,1522
CP048230.1,39588,553
CP048230.1,39612,14
CP048230.1,39659,375
CP048230.1,39666,3341
CP048230.1,39690,574
CP048230.1,39692,144
CP048230.1,39805,563
CP048230.1,39849,610
CP048230.1,39876,13
CP048230.1,39943,443
CP048230.1,40067,503
CP048230.1,40071,1
CP048230.1,40074,478
CP048230.1,40087,19
CP048230.1,40102,706
CP048230.1,40181,1271
