RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00011,EPA19,ORF,CP048230.1,3287,16984,C,13698,0,0,0.0,0.0,0.0,13698,1.0,1.0,-26.598861059792174,0,0,0,0,0.0,9999,1157.6363636363637
GWK60_A00033,EPA24,ORF,CP048230.1,26433,28541,C,2109,1,254,0.000474158368895211,0.25785434557364384,0.26155377931430995,1328,0.6296823138928402,0.6296823106685077,-18.604507622933316,0,0,0,0,0.0,2109.0,543.8148148148148
GWK60_A00055,GWK60_A00055,ORF,CP048230.1,32665,33504,C,840,3,717,0.0035714285714285713,0.4694846292947559,0.11690060776644888,287,0.3416666666666667,0.3410999096309404,-17.111021025969123,0,0,0,0,0.0,280.0,131.45569620253164
GWK60_A00077,GWK60_A00077,ORF,CP048230.1,34115,36385,C,2271,3,3374,0.001321003963011889,0.1414795244385733,0.18256237046062557,2032,0.8947600176133862,0.8947600167066773,-14.878189272966619,0,0,0,0,0.0,757.0,107.1
GWK60_A00099,GWK60_A00099,ORF,CP048230.1,36888,39068,W,2181,1,8,0.0004585052728106373,0.03893986017952609,0.00037257051352336155,2081,0.9541494727189362,0.9541494703407672,-23.428936058349862,0,0,0,0,0.0,2181.0,84.9278350515464
GWK60_A00121,GWK60_A00121,ORF,CP048230.1,39869,42250,W,2382,14,7355,0.005877413937867338,0.28424643157010915,0.11738523508605919,1029,0.43198992443324935,0.43198992428898203,-13.754155295380235,2,0,0,0,0.0,170.14285714285714,48.3625
GWK60_A00143,GWK60_A00143,ORF,CP048230.1,42544,43215,C,672,2,544,0.002976190476190476,0.0991345551378446,0.020223316199987407,614,0.9136904761904762,0.9056167412458137,-17.508748640127884,2,0,0,0,0.0,336.0,33.30921052631579
GWK60_A00165,GWK60_A00165,ORF,CP048230.1,43698,44498,W,801,3,603,0.003745318352059925,0.1209967132920584,0.017882960281520484,567,0.7078651685393258,0.7061322577118662,-17.360456320467094,0,0,0,0,0.0,267.0,32.30612244897959
GWK60_A00187,GWK60_A00187,ORF,CP048230.1,44808,45404,C,597,0,0,0.0,0.0,0.0,597,1.0,0.9814761750367006,-26.598861059792174,4,0,0,0,0.0,9999,30.262820512820515
GWK60_A00209,GWK60_A00209,ORF,CP048230.1,45607,47136,W,1530,12,4245,0.00784313725490196,0.26713631560408596,0.0746964215412492,378,0.24705882352941178,0.24705840983178218,-14.546972403886796,1,0,0,0,0.0,127.5,34.05988023952096
GWK60_A00231,GWK60_A00231,ORF,CP048230.1,47685,48254,W,570,13,8020,0.02280701754385965,0.7233082706766918,0.3509737854848081,119,0.20877192982456141,0.2037348850022761,-13.629294662501662,0,0,0,0,0.0,43.84615384615385,31.714285714285715
GWK60_A00253,GWK60_A00253,ORF,CP048230.1,48624,50978,C,2355,32,27538,0.013588110403397028,0.41821793027874804,0.3568892559242735,666,0.28280254777070063,0.28280254764698143,-11.849672507161795,3,0,0,0,0.0,73.59375,30.778225806451612
GWK60_A00275,GWK60_A00275,ORF,CP048230.1,51806,55015,C,3210,21,46332,0.0065420560747663555,0.16910795590702135,0.4006489338881231,684,0.2130841121495327,0.2130841121495147,-11.099108582266084,1,0,0,0,0.0,152.85714285714286,25.849358974358974
GWK60_A00297,SCL1,ORF,CP048230.1,56199,56963,W,765,0,0,0.0,0.0,0.0,765,1.0,0.9964948127799336,-26.598861059792174,0,0,0,0,0.0,9999,23.76689189189189
GWK60_A00319,ERG4,ORF,CP048230.1,57279,58673,C,1395,0,0,0.0,0.0,0.0,1395,1.0,0.9999935408088644,-26.598861059792174,0,0,0,0,0.0,9999,24.79933110367893
GWK60_A00341,PDR1,ORF,CP048230.1,62211,65534,W,3324,23,8238,0.0069193742478941035,0.15856397914159648,0.06373070686405768,620,0.1865222623345367,0.18652226233453165,-13.590607532696124,2,0,0,0,0.0,144.52173913043478,22.91594202898551
GWK60_A00363,GWK60_A00363,ORF,CP048230.1,65791,68151,C,2361,22,8492,0.009318085556967387,0.20022072289731613,0.07821652652461629,365,0.15459551037695893,0.1545955103132657,-13.54680252516527,0,0,0,0,0.0,107.31818181818181,21.487323943661973
GWK60_A00385,PMA1,ORF,CP048230.1,69666,72374,C,2709,3,287,0.0011074197120708748,0.022240679217423405,0.0018790329512512562,2336,0.8623108157991879,0.8623108157882428,-18.428936058349862,0,0,0,0,0.0,903.0,20.083333333333332
GWK60_A00407,GWK60_A00407,ORF,CP048230.1,73476,76844,W,3369,76,107735,0.022558622736717125,0.4838661108745122,0.5446690888430121,393,0.11665182546749778,0.11665182546749575,-9.881720178155472,14,0,0,0,0.0,44.328947368421055,21.44927536231884
GWK60_A00429,GWK60_A00429,ORF,CP048230.1,77062,77871,C,810,13,4294,0.016049382716049384,0.35658289241622576,0.09228064550016811,143,0.1765432098765432,0.1761481329153796,-14.530418643766348,2,0,0,0,0.0,62.30769230769231,22.21785714285714
GWK60_A00451,GWK60_A00451,ORF,CP048230.1,78356,79594,C,1239,137,209639,0.11057304277643261,2.663123623479843,3.3143482694247157,50,0.04035512510088781,0.04035388468967993,-8.921306571266896,2,0,0,0,0.0,9.043795620437956,24.084745762711865
GWK60_A00473,GWK60_A00473,ORF,CP048230.1,79931,81871,W,1941,17,7607,0.008758371973209686,0.20548488090991957,0.06674620752756721,367,0.18907779495105614,0.18907778975619927,-13.70555952893161,0,0,0,0,0.0,114.17647058823529,23.46153846153846
GWK60_A00495,GWK60_A00495,ORF,CP048230.1,81926,83848,C,1923,4,1825,0.0020800832033281333,0.05660170068774583,0.020080510151229237,1207,0.6276651066042642,0.6276650859583532,-15.764390009807952,1,0,0,0,0.0,480.75,27.211267605633804
GWK60_A00517,GWK60_A00517,ORF,CP048230.1,84469,85122,W,654,9,2061,0.013761467889908258,0.4106853750674582,0.08583260252918433,168,0.25688073394495414,0.2541678966511427,-15.589032442424065,0,0,0,0,0.0,72.66666666666667,29.84313725490196
GWK60_A00539,GWK60_A00539,ORF,CP048230.1,85576,85959,W,384,6,2483,0.015625,0.4713727678571429,0.1815863302232004,121,0.3151041666666667,0.27191873332908695,-15.320411601571692,1,0,0,0,0.0,64.0,30.167857142857144
GWK60_A00583,GWK60_A00583,ORF,CP048230.1,87402,88226,W,825,17,27503,0.020606060606060607,0.6076727272727273,0.9267136233381018,486,0.5890909090909091,0.5879558872165126,-11.851507230314114,9,0,0,0,0.0,48.529411764705884,29.49
GWK60_A00605,GWK60_A00605,ORF,CP048230.1,89315,91915,W,2601,37,19854,0.014225297962322183,0.4393598948501308,0.24280278604575084,379,0.14571318723567858,0.14571318723023247,-12.321646319380342,2,0,0,0,0.0,70.29729729729729,30.885813148788927
GWK60_A00627,GWK60_A00627,ORF,CP048230.1,94544,94834,W,291,17,14937,0.058419243986254296,1.8055622152960922,1.7859836891216545,46,0.15807560137457044,0.11270792950723352,-12.732161676910144,3,0,0,0,0.0,17.11764705882353,30.906976744186046
GWK60_A00649,GWK60_A00649,ORF,CP048230.1,95979,97628,W,1650,84,108954,0.05090909090909091,1.5154066985645935,2.2273836758974106,106,0.06424242424242424,0.06424239184192408,-9.865488181378026,0,0,0,0,0.0,19.642857142857142,29.76691729323308
GWK60_A00671,GWK60_A00671,ORF,CP048230.1,98790,102578,W,3789,158,91266,0.041699656901557136,1.2576148861806062,0.8273272846591632,250,0.06598046978094484,0.06598046978094482,-10.12105537033386,6,0,0,0,0.0,23.981012658227847,30.1588785046729
GWK60_A00693,GWK60_A00693,ORF,CP048230.1,102637,106125,C,3489,1,79,0.00028661507595299513,0.007496086601847565,0.0006603355672745554,3463,0.9925480080252221,0.992548008025217,-20.276932964904812,3,0,0,0,0.0,3489.0,26.153846153846153
GWK60_A00715,GWK60_A00715,ORF,CP048230.1,106542,107636,W,1095,11,3121,0.01004566210045662,0.21817351598173515,0.06685776008669908,261,0.23835616438356164,0.23832524474314146,-14.990606237814264,5,0,0,0,0.0,99.54545454545455,21.71818181818182
GWK60_A00737,GWK60_A00737,ORF,CP048230.1,107762,108751,C,990,0,0,0.0,0.0,0.0,990,1.0,0.9996293938593735,-26.598861059792174,10,0,0,0,0.0,9999,21.6697247706422
GWK60_A00759,EST2,ORF,CP048230.1,109052,111607,W,2556,20,6980,0.00782472613458529,0.20311341734618238,0.08699537976349878,421,0.16471048513302033,0.16471048512336553,-13.829643063665667,0,0,0,0,0.0,127.8,25.957894736842107
GWK60_A00781,GWK60_A00781,ORF,CP048230.1,111705,113963,C,2259,7,2698,0.003098716246126605,0.06050975754252201,0.022448270421778042,1254,0.5551128818061088,0.5551128811718626,-15.200651798325323,2,0,0,0,0.0,322.7142857142857,19.5273631840796
GWK60_A00803,GWK60_A00803,ORF,CP048230.1,114196,118476,W,4281,17,5559,0.003971034804952114,0.07853165845614254,0.021463412902817138,1118,0.2611539359962626,0.2611539359962626,-14.157991892181306,6,0,0,0,0.0,251.8235294117647,19.776119402985074
