Chromosome	Source	Up feature type	Up feature name	Up gene name	Up feature dist	Down feature type	Down feature name	Down gene name	Down feature dist	IntergenicType	Hit position	Hit count
CP048230.1	W	None	None	None	1596	protein_coding	GWK60_A00011	EPA19	1690	 - -C	1597	499
CP048230.1	W	protein_coding	GWK60_A00033	EPA24	701	protein_coding	GWK60_A00055	GWK60_A00055	3423	C-C	29242	302
CP048230.1	W	protein_coding	GWK60_A00033	EPA24	4036	protein_coding	GWK60_A00055	GWK60_A00055	88	C-C	32577	308
CP048230.1	W	protein_coding	GWK60_A00055	GWK60_A00055	208	protein_coding	GWK60_A00077	GWK60_A00077	403	C-C	33712	35
CP048230.1	W	protein_coding	GWK60_A00055	GWK60_A00055	402	protein_coding	GWK60_A00077	GWK60_A00077	209	C-C	33906	537
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	28	protein_coding	GWK60_A00121	GWK60_A00121	773	W-W	39096	6
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	34	protein_coding	GWK60_A00121	GWK60_A00121	767	W-W	39102	159
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	139	protein_coding	GWK60_A00121	GWK60_A00121	662	W-W	39207	22
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	167	protein_coding	GWK60_A00121	GWK60_A00121	634	W-W	39235	2213
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	173	protein_coding	GWK60_A00121	GWK60_A00121	628	W-W	39241	6
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	204	protein_coding	GWK60_A00121	GWK60_A00121	597	W-W	39272	2031
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	215	protein_coding	GWK60_A00121	GWK60_A00121	586	W-W	39283	1522
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	223	protein_coding	GWK60_A00121	GWK60_A00121	578	W-W	39291	448
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	378	protein_coding	GWK60_A00121	GWK60_A00121	423	W-W	39446	56
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	387	protein_coding	GWK60_A00121	GWK60_A00121	414	W-W	39455	620
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	497	protein_coding	GWK60_A00121	GWK60_A00121	304	W-W	39565	450
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	562	protein_coding	GWK60_A00121	GWK60_A00121	239	W-W	39630	468
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	591	protein_coding	GWK60_A00121	GWK60_A00121	210	W-W	39659	74
CP048230.1	W	protein_coding	GWK60_A00121	GWK60_A00121	0	protein_coding	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	40174	47
CP048230.1	W	protein_coding	GWK60_A00121	GWK60_A00121	43	protein_coding	GWK60_A00143	GWK60_A00143	251	W-C	42293	1
CP048230.1	W	protein_coding	GWK60_A00121	GWK60_A00121	102	protein_coding	GWK60_A00143	GWK60_A00143	192	W-C	42352	1
CP048230.1	W	protein_coding	GWK60_A00143	GWK60_A00143	0	protein_coding	GWK60_A00143	GWK60_A00143	0	ORF(C)-ORF(C)	42845	1
CP048230.1	W	protein_coding	GWK60_A00143	GWK60_A00143	0	protein_coding	GWK60_A00143	GWK60_A00143	0	ORF(C)-ORF(C)	42847	1
CP048230.1	W	protein_coding	GWK60_A00143	GWK60_A00143	99	protein_coding	GWK60_A00165	GWK60_A00165	384	C-W	43314	1071
CP048230.1	W	protein_coding	GWK60_A00143	GWK60_A00143	168	protein_coding	GWK60_A00165	GWK60_A00165	315	C-W	43383	387
CP048230.1	W	protein_coding	GWK60_A00143	GWK60_A00143	259	protein_coding	GWK60_A00165	GWK60_A00165	224	C-W	43474	39
CP048230.1	W	protein_coding	GWK60_A00143	GWK60_A00143	278	protein_coding	GWK60_A00165	GWK60_A00165	205	C-W	43493	685
CP048230.1	W	protein_coding	GWK60_A00187	GWK60_A00187	32	protein_coding	GWK60_A00209	GWK60_A00209	171	C-W	45436	1112
CP048230.1	W	protein_coding	GWK60_A00209	GWK60_A00209	0	protein_coding	GWK60_A00209	GWK60_A00209	0	ORF(W)-ORF(W)	46889	91
CP048230.1	W	protein_coding	GWK60_A00209	GWK60_A00209	309	protein_coding	GWK60_A00231	GWK60_A00231	240	W-W	47445	492
CP048230.1	W	protein_coding	GWK60_A00231	GWK60_A00231	0	protein_coding	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	47835	957
CP048230.1	W	protein_coding	GWK60_A00231	GWK60_A00231	0	protein_coding	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	47976	234
CP048230.1	W	protein_coding	GWK60_A00231	GWK60_A00231	0	protein_coding	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	48134	7
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	0	protein_coding	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	48787	5
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	0	protein_coding	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	48975	152
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	0	protein_coding	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	49393	272
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	0	protein_coding	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50503	318
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	0	protein_coding	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50516	6
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	0	protein_coding	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50556	92
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	0	protein_coding	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50558	788
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	0	protein_coding	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50810	2
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	0	protein_coding	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50908	44
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	39	protein_coding	GWK60_A00275	GWK60_A00275	789	C-C	51017	132
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	171	protein_coding	GWK60_A00275	GWK60_A00275	657	C-C	51149	212
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	258	protein_coding	GWK60_A00275	GWK60_A00275	570	C-C	51236	4623
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	431	protein_coding	GWK60_A00275	GWK60_A00275	397	C-C	51409	261
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	489	protein_coding	GWK60_A00275	GWK60_A00275	339	C-C	51467	1
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	542	protein_coding	GWK60_A00275	GWK60_A00275	286	C-C	51520	172
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	544	protein_coding	GWK60_A00275	GWK60_A00275	284	C-C	51522	10
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	557	protein_coding	GWK60_A00275	GWK60_A00275	271	C-C	51535	75
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	571	protein_coding	GWK60_A00275	GWK60_A00275	257	C-C	51549	871
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	575	protein_coding	GWK60_A00275	GWK60_A00275	253	C-C	51553	1147
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	578	protein_coding	GWK60_A00275	GWK60_A00275	250	C-C	51556	1808
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	722	protein_coding	GWK60_A00275	GWK60_A00275	106	C-C	51700	1630
CP048230.1	W	protein_coding	GWK60_A00253	GWK60_A00253	758	protein_coding	GWK60_A00275	GWK60_A00275	70	C-C	51736	1047
CP048230.1	W	protein_coding	GWK60_A00275	GWK60_A00275	0	protein_coding	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52037	3195
CP048230.1	W	protein_coding	GWK60_A00275	GWK60_A00275	0	protein_coding	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52067	949
CP048230.1	W	protein_coding	GWK60_A00275	GWK60_A00275	0	protein_coding	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52239	1
CP048230.1	W	protein_coding	GWK60_A00275	GWK60_A00275	259	protein_coding	GWK60_A00297	SCL1	925	C-W	55274	66
