Chromosome	Source	Up feature type	Up feature name	Up gene name	Up feature dist	Down feature type	Down feature name	Down gene name	Down feature dist	IntergenicType	Hit position	Hit count
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	204	gene	GWK60_A00121	GWK60_A00121	597	W-W	39272	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	49695	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	646	gene	GWK60_A00275	GWK60_A00275	182	C-C	51624	2
CP048230.1	W	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52037	1
CP048230.1	W	gene	GWK60_A00319	ERG4	323	gene	GWK60_A00341	PDR1	3215	C-W	58996	1
CP048230.1	W	gene	GWK60_A00319	ERG4	951	gene	GWK60_A00341	PDR1	2587	C-W	59624	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2478	gene	GWK60_A00341	PDR1	1060	C-W	61151	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2941	gene	GWK60_A00341	PDR1	597	C-W	61614	1
CP048230.1	W	gene	GWK60_A00385	PMA1	734	gene	GWK60_A00407	GWK60_A00407	368	C-W	73108	1
CP048230.1	W	gene	GWK60_A00385	PMA1	1007	gene	GWK60_A00407	GWK60_A00407	95	C-W	73381	7
CP048230.1	W	gene	GWK60_A00407	GWK60_A00407	0	gene	GWK60_A00407	GWK60_A00407	0	ORF(W)-ORF(W)	73773	8
CP048230.1	W	gene	GWK60_A00407	GWK60_A00407	0	gene	GWK60_A00407	GWK60_A00407	0	ORF(W)-ORF(W)	75810	1
CP048230.1	W	gene	GWK60_A00429	GWK60_A00429	124	gene	GWK60_A00451	GWK60_A00451	361	C-C	77995	1
CP048230.1	W	gene	GWK60_A00451	GWK60_A00451	0	gene	GWK60_A00451	GWK60_A00451	0	ORF(C)-ORF(C)	78438	3
CP048230.1	W	gene	GWK60_A00451	GWK60_A00451	0	gene	GWK60_A00451	GWK60_A00451	0	ORF(C)-ORF(C)	78629	1
CP048230.1	W	gene	GWK60_A00451	GWK60_A00451	0	gene	GWK60_A00451	GWK60_A00451	0	ORF(C)-ORF(C)	78761	1
CP048230.1	W	gene	GWK60_A00451	GWK60_A00451	0	gene	GWK60_A00451	GWK60_A00451	0	ORF(C)-ORF(C)	79461	1
CP048230.1	W	gene	GWK60_A00451	GWK60_A00451	0	gene	GWK60_A00451	GWK60_A00451	0	ORF(C)-ORF(C)	79511	1
CP048230.1	W	gene	GWK60_A00495	GWK60_A00495	223	gene	GWK60_A00517	GWK60_A00517	398	C-W	84071	1
CP048230.1	W	gene	GWK60_A00495	GWK60_A00495	355	gene	GWK60_A00517	GWK60_A00517	266	C-W	84203	2
CP048230.1	W	gene	GWK60_A00539	GWK60_A00539	70	gene	GWK60_A00561	GWK60_A00561	237	W-C	86029	2
CP048230.1	W	gene	GWK60_A00539	GWK60_A00539	251	gene	GWK60_A00561	GWK60_A00561	56	W-C	86210	1
CP048230.1	W	gene	GWK60_A00605	GWK60_A00605	0	gene	GWK60_A00605	GWK60_A00605	0	ORF(W)-ORF(W)	91159	1
CP048230.1	W	gene	GWK60_A00605	GWK60_A00605	982	gene	GWK60_A00627	GWK60_A00627	1647	W-W	92897	1
CP048230.1	W	gene	GWK60_A00605	GWK60_A00605	1003	gene	GWK60_A00627	GWK60_A00627	1626	W-W	92918	1
CP048230.1	W	gene	GWK60_A00627	GWK60_A00627	628	gene	GWK60_A00649	GWK60_A00649	517	W-W	95462	1
CP048230.1	W	gene	GWK60_A00671	GWK60_A00671	0	gene	GWK60_A00671	GWK60_A00671	0	ORF(W)-ORF(W)	99244	1
