Chromosome,Position,Reads
CP048230.1,1774,2040
CP048230.1,21047,104
CP048230.1,36168,3292
CP048230.1,39101,1
CP048230.1,39102,1
CP048230.1,39235,477
CP048230.1,39241,1
CP048230.1,39248,18
CP048230.1,39272,3747
CP048230.1,39279,1526
CP048230.1,39283,10
CP048230.1,39290,1075
CP048230.1,39407,2
CP048230.1,39659,124
CP048230.1,39666,1
CP048230.1,40428,1025
CP048230.1,40625,147
CP048230.1,43314,58
CP048230.1,43493,185
CP048230.1,44723,62
CP048230.1,44732,447
CP048230.1,45436,1
CP048230.1,45872,705
CP048230.1,47477,1908
CP048230.1,47550,1
CP048230.1,47789,376
CP048230.1,47878,1111
CP048230.1,49192,1710
CP048230.1,49332,1
CP048230.1,49339,885
CP048230.1,49399,1
CP048230.1,49695,3640
CP048230.1,50503,1
CP048230.1,50510,2082
CP048230.1,50563,1
CP048230.1,50915,573
CP048230.1,51121,1524
CP048230.1,51160,1
CP048230.1,51236,180
CP048230.1,51243,2309
CP048230.1,51519,12
CP048230.1,51535,2
CP048230.1,51553,1128
CP048230.1,51556,1
CP048230.1,51624,565
CP048230.1,51625,2944
CP048230.1,51700,1
CP048230.1,51713,1
CP048230.1,51757,944
CP048230.1,51764,3331
CP048230.1,51772,1
CP048230.1,52037,2396
CP048230.1,52044,2992
CP048230.1,52074,1908
CP048230.1,52266,1
CP048230.1,52270,44
CP048230.1,53930,189
CP048230.1,55184,127
CP048230.1,55213,122
CP048230.1,55280,1155
CP048230.1,55281,1
CP048230.1,55377,371
CP048230.1,57138,2662
CP048230.1,57172,942
CP048230.1,58889,1
CP048230.1,58940,493
CP048230.1,58956,1445
CP048230.1,58996,147
CP048230.1,59007,222
CP048230.1,59014,1
CP048230.1,59129,310
CP048230.1,59145,1
CP048230.1,59496,51
CP048230.1,59624,1939
CP048230.1,59998,1
CP048230.1,60428,1083
CP048230.1,60475,42
CP048230.1,60927,879
CP048230.1,60988,2
CP048230.1,61053,381
CP048230.1,61060,610
CP048230.1,61088,437
CP048230.1,61113,610
CP048230.1,61117,217
CP048230.1,61119,201
CP048230.1,61121,61
CP048230.1,61151,365
CP048230.1,61242,50
CP048230.1,61361,77
CP048230.1,61384,1
CP048230.1,61469,2
CP048230.1,61475,654
CP048230.1,61536,460
CP048230.1,61612,530
CP048230.1,61614,2936
CP048230.1,61621,3486
CP048230.1,61641,665
CP048230.1,61690,137
CP048230.1,61699,1637
CP048230.1,61721,44
CP048230.1,61815,1
CP048230.1,61819,321
CP048230.1,61884,1
CP048230.1,62090,1035
CP048230.1,63259,155
CP048230.1,65613,311
CP048230.1,66037,145
CP048230.1,67279,113
CP048230.1,67972,23
CP048230.1,68950,2
CP048230.1,68951,2317
CP048230.1,68963,767
CP048230.1,69023,1
CP048230.1,69066,556
CP048230.1,69073,162
CP048230.1,69353,8
CP048230.1,69449,815
CP048230.1,69650,1
CP048230.1,72666,409
CP048230.1,72675,1
CP048230.1,72734,8
CP048230.1,72823,1617
CP048230.1,73089,2
CP048230.1,73096,1820
CP048230.1,73098,4385
CP048230.1,73103,4
CP048230.1,73108,3539
CP048230.1,73115,3
CP048230.1,73117,4
CP048230.1,73148,128
CP048230.1,73155,5
CP048230.1,73162,4205
CP048230.1,73164,1
CP048230.1,73219,1
CP048230.1,73224,6
CP048230.1,73246,1759
CP048230.1,73381,7267
CP048230.1,73429,1
CP048230.1,73434,1248
CP048230.1,73436,86
CP048230.1,73606,1
CP048230.1,73750,1199
CP048230.1,73751,1
CP048230.1,73773,17578
CP048230.1,73776,1
CP048230.1,73780,11613
CP048230.1,74087,275
