Chromosome	Source	Up feature type	Up feature name	Up gene name	Up feature dist	Down feature type	Down feature name	Down gene name	Down feature dist	IntergenicType	Hit position	Hit count
CP048230.1	W				505	protein_coding	GWK60_A00011	EPA19	2781	 - -C	506	1
CP048230.1	W				1260	protein_coding	GWK60_A00011	EPA19	2026	 - -C	1261	160
CP048230.1	C				1773	protein_coding	GWK60_A00011	EPA19	1513	 - -C	1774	2041
CP048230.1	W				2176	protein_coding	GWK60_A00011	EPA19	1110	 - -C	2177	67
CP048230.1	W				2655	protein_coding	GWK60_A00011	EPA19	631	 - -C	2656	1100
CP048230.1	W				2681	protein_coding	GWK60_A00011	EPA19	605	 - -C	2682	44
CP048230.1	C	protein_coding	GWK60_A00011	EPA19	2211	protein_coding	GWK60_A00033	EPA24	7238	C-C	19195	95
CP048230.1	W	protein_coding	GWK60_A00011	EPA19	3282	protein_coding	GWK60_A00033	EPA24	6167	C-C	20266	143
CP048230.1	C	protein_coding	GWK60_A00011	EPA19	4063	protein_coding	GWK60_A00033	EPA24	5386	C-C	21047	105
CP048230.1	C	protein_coding	GWK60_A00011	EPA19	8991	protein_coding	GWK60_A00033	EPA24	458	C-C	25975	51
CP048230.1	C	protein_coding	GWK60_A00011	EPA19	9260	protein_coding	GWK60_A00033	EPA24	189	C-C	26244	214
CP048230.1	C	protein_coding	GWK60_A00033	EPA24	0	protein_coding	GWK60_A00033	EPA24	0	ORF(C)-ORF(C)	27213	254
CP048230.1	C	protein_coding	GWK60_A00033	EPA24	1091	protein_coding	GWK60_A00055	GWK60_A00055	3033	C-C	29632	550
CP048230.1	W	protein_coding	GWK60_A00033	EPA24	3156	protein_coding	GWK60_A00055	GWK60_A00055	968	C-C	31697	11
CP048230.1	C	protein_coding	GWK60_A00033	EPA24	3210	protein_coding	GWK60_A00055	GWK60_A00055	914	C-C	31751	104
CP048230.1	C;W	protein_coding	GWK60_A00033	EPA24	3248	protein_coding	GWK60_A00055	GWK60_A00055	876	C-C	31789	578
CP048230.1	W	protein_coding	GWK60_A00033	EPA24	3270	protein_coding	GWK60_A00055	GWK60_A00055	854	C-C	31811	1
CP048230.1	W	protein_coding	GWK60_A00033	EPA24	3386	protein_coding	GWK60_A00055	GWK60_A00055	738	C-C	31927	26
CP048230.1	W	protein_coding	GWK60_A00033	EPA24	3388	protein_coding	GWK60_A00055	GWK60_A00055	736	C-C	31929	82
CP048230.1	C	protein_coding	GWK60_A00033	EPA24	3395	protein_coding	GWK60_A00055	GWK60_A00055	729	C-C	31936	51
