Chromosome	Source	Up feature type	Up feature name	Up gene name	Up feature dist	Down feature type	Down feature name	Down gene name	Down feature dist	IntergenicType	Hit position	Hit count
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	139	gene	GWK60_A00121	GWK60_A00121	662	W-W	39207	2
CP048230.1	W	gene	GWK60_A00231	GWK60_A00231	0	gene	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	47976	2
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	255	gene	GWK60_A00275	GWK60_A00275	573	C-C	51233	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	258	gene	GWK60_A00275	GWK60_A00275	570	C-C	51236	4
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	647	gene	GWK60_A00275	GWK60_A00275	181	C-C	51625	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	779	gene	GWK60_A00275	GWK60_A00275	49	C-C	51757	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	787	gene	GWK60_A00275	GWK60_A00275	41	C-C	51765	1
CP048230.1	W	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52037	1
CP048230.1	W	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52067	1
CP048230.1	W	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52266	1
CP048230.1	W	gene	GWK60_A00297	SCL1	59	gene	GWK60_A00319	ERG4	257	W-C	57022	1
CP048230.1	W	gene	GWK60_A00319	ERG4	373	gene	GWK60_A00341	PDR1	3165	C-W	59046	1
CP048230.1	W	gene	GWK60_A00319	ERG4	784	gene	GWK60_A00341	PDR1	2754	C-W	59457	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2688	gene	GWK60_A00341	PDR1	850	C-W	61361	1
CP048230.1	W	gene	GWK60_A00341	PDR1	0	gene	GWK60_A00341	PDR1	0	ORF(W)-ORF(W)	65206	1
CP048230.1	W	gene	GWK60_A00363	GWK60_A00363	0	gene	GWK60_A00363	GWK60_A00363	0	ORF(C)-ORF(C)	67965	1
CP048230.1	W	gene	GWK60_A00385	PMA1	285	gene	GWK60_A00407	GWK60_A00407	817	C-W	72659	1
CP048230.1	W	gene	GWK60_A00385	PMA1	805	gene	GWK60_A00407	GWK60_A00407	297	C-W	73179	1
CP048230.1	W	gene	GWK60_A00385	PMA1	845	gene	GWK60_A00407	GWK60_A00407	257	C-W	73219	2
CP048230.1	W	gene	GWK60_A00385	PMA1	1043	gene	GWK60_A00407	GWK60_A00407	59	C-W	73417	2
CP048230.1	W	gene	GWK60_A00385	PMA1	1055	gene	GWK60_A00407	GWK60_A00407	47	C-W	73429	1
CP048230.1	W	gene	GWK60_A00385	PMA1	1092	gene	GWK60_A00407	GWK60_A00407	10	C-W	73466	2
CP048230.1	W	gene	GWK60_A00407	GWK60_A00407	0	gene	GWK60_A00407	GWK60_A00407	0	ORF(W)-ORF(W)	74675	1
