Chromosome	Source	Up feature type	Up feature name	Up gene name	Up feature dist	Down feature type	Down feature name	Down gene name	Down feature dist	IntergenicType	Hit position	Hit count
CP048230.1	W	gene	GWK60_A00033	EPA24	2315	gene	GWK60_A00055	GWK60_A00055	1809	C-C	30856	113
CP048230.1	W	gene	GWK60_A00033	EPA24	3386	gene	GWK60_A00055	GWK60_A00055	738	C-C	31927	2
CP048230.1	W	gene	GWK60_A00055	GWK60_A00055	150	gene	GWK60_A00077	GWK60_A00077	461	C-C	33654	246
CP048230.1	W	gene	GWK60_A00055	GWK60_A00055	402	gene	GWK60_A00077	GWK60_A00077	209	C-C	33906	6
CP048230.1	W	gene	GWK60_A00055	GWK60_A00055	452	gene	GWK60_A00077	GWK60_A00077	159	C-C	33956	1
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	167	gene	GWK60_A00121	GWK60_A00121	634	W-W	39235	3884
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	188	gene	GWK60_A00121	GWK60_A00121	613	W-W	39256	1
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	204	gene	GWK60_A00121	GWK60_A00121	597	W-W	39272	10242
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	215	gene	GWK60_A00121	GWK60_A00121	586	W-W	39283	2755
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	359	gene	GWK60_A00121	GWK60_A00121	442	W-W	39427	23
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	371	gene	GWK60_A00121	GWK60_A00121	430	W-W	39439	3921
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	380	gene	GWK60_A00121	GWK60_A00121	421	W-W	39448	32
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	387	gene	GWK60_A00121	GWK60_A00121	414	W-W	39455	4
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	472	gene	GWK60_A00121	GWK60_A00121	329	W-W	39540	1
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	557	gene	GWK60_A00121	GWK60_A00121	244	W-W	39625	1407
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	591	gene	GWK60_A00121	GWK60_A00121	210	W-W	39659	5951
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	630	gene	GWK60_A00121	GWK60_A00121	171	W-W	39698	1
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	683	gene	GWK60_A00121	GWK60_A00121	118	W-W	39751	1021
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	39869	1
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	40174	1
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	40618	707
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	41960	48
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	42120	57
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	221	gene	GWK60_A00143	GWK60_A00143	73	W-C	42471	26
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	0	gene	GWK60_A00143	GWK60_A00143	0	ORF(C)-ORF(C)	42836	160
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	99	gene	GWK60_A00165	GWK60_A00165	384	C-W	43314	1
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	163	gene	GWK60_A00165	GWK60_A00165	320	C-W	43378	1549
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	256	gene	GWK60_A00165	GWK60_A00165	227	C-W	43471	4087
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	278	gene	GWK60_A00165	GWK60_A00165	205	C-W	43493	1
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	300	gene	GWK60_A00165	GWK60_A00165	183	C-W	43515	469
CP048230.1	W	gene	GWK60_A00187	GWK60_A00187	167	gene	GWK60_A00209	GWK60_A00209	36	C-W	45571	3148
CP048230.1	W	gene	GWK60_A00209	GWK60_A00209	0	gene	GWK60_A00209	GWK60_A00209	0	ORF(W)-ORF(W)	46903	4944
CP048230.1	W	gene	GWK60_A00209	GWK60_A00209	327	gene	GWK60_A00231	GWK60_A00231	222	W-W	47463	20
CP048230.1	W	gene	GWK60_A00231	GWK60_A00231	0	gene	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	47858	3689
CP048230.1	W	gene	GWK60_A00231	GWK60_A00231	0	gene	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	47976	1
CP048230.1	W	gene	GWK60_A00231	GWK60_A00231	0	gene	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	48009	1042
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	49695	3
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	49926	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50278	348
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50290	1
