Chromosome,Position,Reads
CP048230.1,1774,845
CP048230.1,21047,43
CP048230.1,39101,1
CP048230.1,39235,188
CP048230.1,39248,7
CP048230.1,39272,1452
CP048230.1,39279,604
CP048230.1,39283,4
CP048230.1,39290,423
CP048230.1,39659,55
CP048230.1,39666,1
CP048230.1,40625,61
CP048230.1,43314,23
CP048230.1,43493,72
CP048230.1,44723,22
CP048230.1,44732,203
CP048230.1,47477,771
CP048230.1,47550,1
CP048230.1,47789,141
CP048230.1,49192,685
CP048230.1,49332,1
CP048230.1,49339,314
CP048230.1,50510,828
CP048230.1,50915,229
CP048230.1,51121,620
CP048230.1,51160,1
CP048230.1,51236,85
CP048230.1,51243,950
CP048230.1,51519,4
CP048230.1,51535,1
CP048230.1,51553,459
CP048230.1,51624,253
CP048230.1,51625,1150
CP048230.1,51700,1
CP048230.1,51757,376
CP048230.1,51764,1303
CP048230.1,52037,934
CP048230.1,52074,788
CP048230.1,52270,18
CP048230.1,53930,68
CP048230.1,55184,45
CP048230.1,55213,64
CP048230.1,55280,466
CP048230.1,55281,1
CP048230.1,55377,159
CP048230.1,57138,1070
CP048230.1,57172,362
CP048230.1,58940,188
CP048230.1,58956,576
CP048230.1,58996,54
CP048230.1,59007,83
CP048230.1,59129,128
CP048230.1,59496,14
CP048230.1,59624,793
CP048230.1,60428,412
CP048230.1,60475,19
CP048230.1,60927,357
CP048230.1,60988,2
CP048230.1,61053,147
CP048230.1,61060,244
CP048230.1,61088,152
CP048230.1,61113,237
CP048230.1,61117,82
CP048230.1,61119,77
CP048230.1,61121,24
CP048230.1,61151,142
CP048230.1,61242,24
CP048230.1,61361,27
CP048230.1,61469,2
CP048230.1,61475,251
CP048230.1,61536,198
CP048230.1,61612,213
CP048230.1,61614,1143
CP048230.1,61621,1387
CP048230.1,61641,269
CP048230.1,61690,48
CP048230.1,61699,667
CP048230.1,61721,14
CP048230.1,61819,135
CP048230.1,62090,410
CP048230.1,65613,121
CP048230.1,67279,45
CP048230.1,67972,8
CP048230.1,68950,1
CP048230.1,68951,943
CP048230.1,68963,314
CP048230.1,69066,219
CP048230.1,69073,77
CP048230.1,69449,325
CP048230.1,72666,158
CP048230.1,72675,1
CP048230.1,72734,4
CP048230.1,72823,634
CP048230.1,73089,1
CP048230.1,73096,750
CP048230.1,73098,1775
CP048230.1,73103,1
CP048230.1,73108,1397
CP048230.1,73117,2
CP048230.1,73148,50
CP048230.1,73155,2
CP048230.1,73162,1637
CP048230.1,73164,1
CP048230.1,73224,3
CP048230.1,73246,719
CP048230.1,73381,2951
CP048230.1,73429,1
CP048230.1,73434,500
CP048230.1,73436,39
CP048230.1,73750,481
CP048230.1,73780,4715
CP048230.1,74087,108
CP048230.1,74736,965
CP048230.1,75810,606
CP048230.1,76661,198
CP048230.1,76803,1
CP048230.1,77696,151
CP048230.1,77840,222
CP048230.1,77995,717
CP048230.1,78016,224
CP048230.1,78023,158
CP048230.1,78071,1064
CP048230.1,78094,900
CP048230.1,78225,610
CP048230.1,78347,1092
CP048230.1,78361,10
CP048230.1,78387,314
CP048230.1,78415,50
CP048230.1,78422,70
CP048230.1,78438,1475
CP048230.1,78445,1359
CP048230.1,78519,717
CP048230.1,78522,1194
CP048230.1,78524,241
CP048230.1,78621,189
CP048230.1,78629,1055
CP048230.1,78652,4
CP048230.1,78706,70
CP048230.1,78756,561
CP048230.1,78761,696
CP048230.1,78830,5
CP048230.1,78856,5
CP048230.1,78860,14
CP048230.1,78915,134
CP048230.1,79000,47
CP048230.1,79004,711
CP048230.1,79038,410
CP048230.1,79116,197
CP048230.1,79224,9
CP048230.1,79230,1139
CP048230.1,79434,119
CP048230.1,79461,512
CP048230.1,79511,236
CP048230.1,79578,279
CP048230.1,79585,17
CP048230.1,79698,1
CP048230.1,79708,177
CP048230.1,79752,947
CP048230.1,79759,321
CP048230.1,81454,4
CP048230.1,81498,24
CP048230.1,84035,293
CP048230.1,84042,28
CP048230.1,84063,477
CP048230.1,84071,835
CP048230.1,84078,1995
CP048230.1,84203,571
CP048230.1,84272,1
CP048230.1,86029,1100
CP048230.1,86036,219
CP048230.1,86163,38
CP048230.1,86184,261
CP048230.1,86208,42
CP048230.1,86210,180
CP048230.1,86215,3
CP048230.1,86221,1
CP048230.1,86224,1
CP048230.1,86371,1
CP048230.1,86445,434
CP048230.1,86459,93
CP048230.1,86529,694
CP048230.1,86531,810
CP048230.1,87294,68
CP048230.1,87382,940
CP048230.1,87408,77
CP048230.1,87488,1
CP048230.1,87550,850
CP048230.1,87665,504
CP048230.1,88966,292
CP048230.1,90840,2
CP048230.1,90877,213
CP048230.1,91159,100
CP048230.1,91208,103
CP048230.1,92897,478
CP048230.1,92918,304
CP048230.1,92985,885
CP048230.1,93033,910
CP048230.1,93040,8
CP048230.1,93047,506
CP048230.1,93080,7
CP048230.1,93087,18
CP048230.1,93148,27
CP048230.1,93198,8
CP048230.1,93369,458
CP048230.1,93566,106
CP048230.1,93584,36
CP048230.1,94449,35
CP048230.1,94563,402
CP048230.1,94663,56
CP048230.1,94882,4
CP048230.1,94899,20
CP048230.1,94918,93
CP048230.1,94923,659
CP048230.1,95025,571
CP048230.1,95032,326
CP048230.1,95052,36
CP048230.1,95113,405
CP048230.1,95119,493
CP048230.1,95133,141
CP048230.1,95185,20
CP048230.1,95259,18
CP048230.1,95307,1470
CP048230.1,95462,42
CP048230.1,96024,482
CP048230.1,96376,530
CP048230.1,96432,6
CP048230.1,96536,828
CP048230.1,96632,1
CP048230.1,96679,52
CP048230.1,96686,208
CP048230.1,97027,563
CP048230.1,97031,26
CP048230.1,97041,990
CP048230.1,97104,2
CP048230.1,97260,1
CP048230.1,97271,1
CP048230.1,97544,62
CP048230.1,97576,304
CP048230.1,97583,1243
CP048230.1,97868,405
CP048230.1,98059,599
CP048230.1,98066,148
CP048230.1,98127,37
CP048230.1,98134,934
CP048230.1,98248,100
CP048230.1,98308,516
CP048230.1,98356,323
CP048230.1,98363,24
CP048230.1,98395,474
CP048230.1,98407,543
CP048230.1,98414,1755
CP048230.1,98635,241
CP048230.1,98653,502
CP048230.1,98689,392
CP048230.1,98690,149
CP048230.1,99007,317
CP048230.1,99061,32
CP048230.1,99112,20
CP048230.1,99240,45
CP048230.1,99242,43
CP048230.1,99244,354
CP048230.1,99251,760
CP048230.1,99266,102
CP048230.1,99284,6
CP048230.1,99292,27
CP048230.1,99387,207
CP048230.1,99391,6
CP048230.1,99398,14
CP048230.1,99406,133
CP048230.1,99413,1
CP048230.1,99429,249
CP048230.1,99475,1
CP048230.1,99684,470
CP048230.1,99713,399
CP048230.1,99786,15
CP048230.1,99849,654
CP048230.1,99861,30
CP048230.1,99949,832
CP048230.1,100319,442
CP048230.1,100570,449
CP048230.1,100714,1
