Standard name,Common name,Type,Sc ortholog,Sc ortholog gene name,Sc SGDID,Essential in Sc,Sc synthetic lethals,Sc fitness,Hits,Reads,Length,Insertion index,Neighborhood index,Reads NI,Max free region,Freedom index,Logit FI,Kornmann FI,Domain ratio,Hits in domains,Reads in domains,Domain coverage
GWK60_A00011,EPA19,ORF,,,,,,,0,0,13698,0.0,0.0,0.0,13698,1.0,1.0,0.0,0.0,0,0,0
GWK60_A00033,EPA24,ORF,,,,,,,0,0,2109,0.0,0.0,0.0,2109,1.0,0.9999999948794296,0.0,0.0,0,0,0
GWK60_A00055,GWK60_A00055,ORF,,,,,,,0,0,840,0.0,0.0,0.0,840,1.0,0.9983411989198255,0.0,0.0,0,0,0
GWK60_A00077,GWK60_A00077,ORF,YGL023C,PIB2,S000002991,,,0.8708,0,0,2271,0.0,0.0,0.0,2271,1.0,0.9999999989866457,0.0,0.0,0,0,0
GWK60_A00099,GWK60_A00099,ORF,YGL022W,STT3,S000002990,,,,0,0,2181,0.0,0.0,0.0,2181,1.0,0.9999999975075509,0.0,0.0,0,0,0
GWK60_A00121,GWK60_A00121,ORF,YBL009W,ALK2,S000000105,,No,1.0150,1,1,2382,0.00041981528127623844,0.3248530646515533,0.24988697280888716,1286,0.5398824517212426,0.5398824515409435,0.0,0.0,0,0,0
GWK60_A00143,GWK60_A00143,ORF,YGL020C,GET1,S000002988,,,0.9325,0,0,672,0.0,0.0,0.0,672,1.0,0.9911635995393923,0.0,0.0,0,0,0
GWK60_A00165,GWK60_A00165,ORF,YGL019W,CKB1,S000002987,,No,0.8682,0,0,801,0.0,0.0,0.0,801,1.0,0.9975519196246999,0.0,0.0,0,0,0
GWK60_A00187,GWK60_A00187,ORF,YGL018C,JAC1,S000002986,,,,0,0,597,0.0,0.0,0.0,597,1.0,0.9814761750367006,0.0,0.0,0,0,0
GWK60_A00209,GWK60_A00209,ORF,YGL017W,ATE1,S000002985,,,1.0025,1,1,1530,0.00065359477124183,0.33796791443850266,0.24784313725490195,1095,0.7156862745098039,0.7156850761000039,0.0,0.0,0,0,0
GWK60_A00231,GWK60_A00231,ORF,YGL010W,MPO1,S000002978,,,1.0220,1,1,570,0.0017543859649122807,0.8497607655502393,0.6231578947368421,419,0.7350877192982456,0.7173522421508712,0.0,0.0,0,0,0
GWK60_A00253,GWK60_A00253,ORF,YGL009C,LEU1,S000002977,,,1.0212,1,1,2355,0.0004246284501061571,0.27009907997169147,0.20257430997876857,1579,0.670488322717622,0.6704883224242998,0.0,0.0,0,0,0
