Chromosome	Source	Up feature type	Up feature name	Up gene name	Up feature dist	Down feature type	Down feature name	Down gene name	Down feature dist	IntergenicType	Hit position	Hit count
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	204	gene	GWK60_A00121	GWK60_A00121	597	W-W	39272	2
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	99	gene	GWK60_A00165	GWK60_A00165	384	C-W	43314	1
CP048230.1	W	gene	GWK60_A00231	GWK60_A00231	0	gene	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	47835	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50503	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	171	gene	GWK60_A00275	GWK60_A00275	657	C-C	51149	2
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	258	gene	GWK60_A00275	GWK60_A00275	570	C-C	51236	4
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	647	gene	GWK60_A00275	GWK60_A00275	181	C-C	51625	1
CP048230.1	W	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52037	1
CP048230.1	W	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52067	1
CP048230.1	W	gene	GWK60_A00319	ERG4	334	gene	GWK60_A00341	PDR1	3204	C-W	59007	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2441	gene	GWK60_A00341	PDR1	1097	C-W	61114	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2704	gene	GWK60_A00341	PDR1	834	C-W	61377	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2932	gene	GWK60_A00341	PDR1	606	C-W	61605	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2941	gene	GWK60_A00341	PDR1	597	C-W	61614	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2946	gene	GWK60_A00341	PDR1	592	C-W	61619	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2961	gene	GWK60_A00341	PDR1	577	C-W	61634	1
CP048230.1	W	gene	GWK60_A00319	ERG4	3030	gene	GWK60_A00341	PDR1	508	C-W	61703	1
CP048230.1	W	gene	GWK60_A00341	PDR1	0	gene	GWK60_A00341	PDR1	0	ORF(W)-ORF(W)	62211	1
CP048230.1	W	gene	GWK60_A00385	PMA1	285	gene	GWK60_A00407	GWK60_A00407	817	C-W	72659	1
CP048230.1	W	gene	GWK60_A00385	PMA1	774	gene	GWK60_A00407	GWK60_A00407	328	C-W	73148	1
CP048230.1	W	gene	GWK60_A00385	PMA1	845	gene	GWK60_A00407	GWK60_A00407	257	C-W	73219	1
CP048230.1	W	gene	GWK60_A00385	PMA1	865	gene	GWK60_A00407	GWK60_A00407	237	C-W	73239	1
CP048230.1	W	gene	GWK60_A00407	GWK60_A00407	0	gene	GWK60_A00407	GWK60_A00407	0	ORF(W)-ORF(W)	75946	1
CP048230.1	W	gene	GWK60_A00429	GWK60_A00429	0	gene	GWK60_A00429	GWK60_A00429	0	ORF(C)-ORF(C)	77155	1
CP048230.1	W	gene	GWK60_A00429	GWK60_A00429	216	gene	GWK60_A00451	GWK60_A00451	269	C-C	78087	2
CP048230.1	W	gene	GWK60_A00429	GWK60_A00429	476	gene	GWK60_A00451	GWK60_A00451	9	C-C	78347	2
CP048230.1	W	gene	GWK60_A00451	GWK60_A00451	0	gene	GWK60_A00451	GWK60_A00451	0	ORF(C)-ORF(C)	78429	2
