cagl_id,gwk60_id_clean,qng_id,cgla_gene_name_from_deseq,cgla_common_name,cg_to_sc_relationship,pre_WGD_Ancestor,scer_gene_id,scer_gene_name,SGD_essentiality,SGD_description
CAGL0A00099g,GWK60_A00011,QNG12107.1,EPA19,,,,,,,
CAGL0A00143g,GWK60_A00033,QNG12108.1,EPA24,,,,,,,
CAGL0A00165g,GWK60_A00055,QNG12109.1,GWK60_A00055,,1-to-0,Anc_4.094,,,,
CAGL0A00187g,GWK60_A00077,QNG12110.1,GWK60_A00077,,1-to-1,Anc_4.097,YGL023C,PIB2,,Protein of unknown function; contains FYVE domain; similar to Fab1 and Vps27
CAGL0A00209g,GWK60_A00099,QNG12111.1,GWK60_A00099,,1-to-1,Anc_4.098,YGL022W,STT3,inviable,Subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; forms a subcomplex with Ost3p and Ost4p and is directly involved in catalysis
CAGL0A00231g,GWK60_A00121,QNG12112.1,GWK60_A00121,,1-to-2,Anc_4.100,YGL021W,ALK1,,"Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; ALK1 has a paralog, ALK2, that arose from the whole genome duplication; similar to mammalian haspins"
CAGL0A00253g,GWK60_A00143,QNG12113.1,GWK60_A00143,,1-to-1,Anc_4.101,YGL020C,GET1,,Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for normal mitochondrial morphology and inheritance
CAGL0A00275g,GWK60_A00165,QNG12114.1,GWK60_A00165,,1-to-1,Anc_4.102,YGL019W,CKB1,,"Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases"
CAGL0A00297g,GWK60_A00187,QNG12115.1,GWK60_A00187,,1-to-1,Anc_4.103,YGL018C,JAC1,inviable,Specialized J-protein that functions in Fe-S cluster biogenesis; functions with Hsp70 in Fe-S cluster biogenesis in mitochondria; involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix
CAGL0A00319g,GWK60_A00209,QNG12116.1,GWK60_A00209,,1-to-1,Anc_4.104,YGL017W,ATE1,,Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway
